"@authors","Iris Schäfer, Dennis Kogel, Mascha Camino, Maschinen-Mensch"
"@vars","$er=er|sie, $ihm=ihm|ihr, $ihn=ihn|sie, $sein=sein|ihr, $seine=seine|ihre, $seinem=seinem|ihrem, $seinen=seinen|ihren, $seiner=seiner|ihrer, $seines=seines|ihres"

"name-consonants","bcdfghjklmnpqrstvwxyz"
"name-vowels","aeiouöäü"
"act-barter-action","Handeln"
"act-cancelTravel-action","Reise beenden"
"act-endgame-action","Zurück zum Hauptmenü"
"act-loot-action","Ansehen"
"act-mapShot-action","Screenshot speichern"
"act-open-camp-action","Lager aufschlagen"
"act-report-action","Bericht ansehen"
"act-returnhome-action","Expedition abschließen!"
"act-showStats-action","Karte ansehen"
"act-stopRest-action","Nicht länger ausruhen"
"act-stopWait-action","Nicht länger warten"
"act-travel-action","Reisen!"
"anm-camel-title","Kamel"
"anm-camel","Ein stoisches Kamel. Kann viele Kisten tragen."
"anm-chasmosaurus-title","Chasmosaurus"
"anm-chasmosaurus","Ein überaus großer aber langsamer, pflanzenfressender Dinosaurier."
"anm-dog-hunting-title","Jagdhund"
"anm-dog-hunting","Der beste Freund des Menschen"
"anm-dog-husky-title","Husky"
"anm-dog-luis-name","Luis"
"anm-dog-luis-title","Spürhund"
"anm-dog-luis","Ein kleiner, gerissener Hund. Der treue vierbeinige Begleiter von Tim Timster, dem Journalist."
"anm-dog-pug-title","Mops"
"anm-dog-pug","Kjellbergs bester Freund und heimlicher Therapeut. Liebt Gedichte und Twerking."
"anm-donkey-title","Esel"
"anm-donkey","Esel sind in der Lage viele zusätzliche Kisten zu tragen."
"anm-elephant-title","Elefant"
"anm-gorilla-title","Gorilla"
"anm-gorilla","Ein nur mit Mühe und Not gezähmter Gorilla. Ein wildes Tier, dass uns ohne seine Kette sofort davonlaufen oder anfallen würde."
"anm-hyena-title","Hyäne"
"anm-hyena","Eine nur mit Mühe und Not gezähmte Hyäne. Ein wildes Tier, dass uns ohne seine Kette sofort davonlaufen oder anfallen würde."
"anm-parasaurolophus-title","Parasaurolophus"
