"@authors","Versión 1.2, Dr. Jones, Jorge Gisbert, Javier Vázquez, Rafael Sales Cantó, Javier Almagro, SJ Otero, Alejandro Johannes, Carlos Rodriguez, NeHoMaR, Franciscogt, juanandreslara98, fucho, luifer_gf, karpacho, Miguel Dos Reis, Santiago Medina, beatriz7, Jonathan C. White, pirluit, Pablo ""gasgarage"" Díaz"
"@vars","$he=él|ella,$him=él|ella,$his=su|su,$o=o|a,$al=al|a la,$le=le|la,$lo=lo|la,$los=los|las,$el=él|ella,$la=el|la,$un=un|una,$uno=uno|una,$unos=unos|unas,$r=r|ra,$es=és|esa,$e=e|a,$enfermo=enfermo|enferma,$molesto=molesto|molesta,$decidido=decidido|decidida,$desolado=desolado|desolada,$sustituido=sustituido|sustituida,$suplantado=suplantado|suplantada,$intercambiado=intercambiado|intercambiada,$transformado=transformado|transformada,$nuestro=nuestro|nuestra,$herido=herido|herida,$mordido=mordido|mordida,$preparado=preparado|preparada,$agradecido=agradecido|agradecida,$olvidado=olvidado|olvidada,$aterrorizado=aterrorizado|aterrorizada,$salvarle=salvarle|salvarla,$obligado=obligado|obligada,$pesimo=pésimo|pésima,$nuevo=nuevo|nueva,$talentoso=talentoso|talentosa,$apasionado=apasionado|apasionada,$habilidoso=habilidoso|habilidosa,$descuidado=descuidado|descuidada,$virtuoso=virtuoso|virtuosa,$maestro=maestro|maestra,$diestro=diestro|diestra,$beduino=beduino|beduina,$cocinero=cocinero|cocinera,$entendido=entendido|entendida,$diestro=diestro|diestra,$considerado=considerado|considerada,$experto=experto|experta,$respetado=respetado|respetada,$encogido=encogido|encogida,$culinario=culinario|culinaria,$sectario=sectario|sectaria,$ingenioso=ingenioso|ingeniosa,$fervoroso=fervoroso|fervorosa,$subirle=subirle|subirla,$malo=malo|mala,$mal=mal|mala,$contento=contento|contenta,$impávido=impávido|impávida,$misionero=misionero|misionera,$religioso=religioso|religiosa,$siervo=siervo|sierva,$apasionado=apasionado|apasionada,$discípulo=discípulo|discípula,$enviado=enviado|enviada,$astuto=astuto|astuta,$espabilado=espabilado|espabilada,$avispado=avispado|avispada,$avezado=avezado|avezada,$marinero=marinero|marinera,$marino=marino|marina,$curtido=curtido|curtida,$experimentado=experimentado|experimentada,$lobo=lobo|loba,$bravo=bravo|brava,$forjado=forjado|forjada,$compañero=compañero|compañera,$versado=versado|versada,$fiero=fiero|fiera,$impetuoso=impetuoso|impetuosa,$diplomatico=diplomático|diplomática,$entusiasmado=entusiasmado|entusiasmada,$deseoso=deseoso|deseosa,$engullido=engullido|engullida,$ansioso=ansioso|ansiosa,$orgulloso=orgulloso|orgullosa,$encolerizado=encolerizado|encolerizada,$lunatico=lunático|lunática,$guerrero=guerrero|guerrera,$halagado=halagado|halagada,$ufano=ufano|ufana,$incomodo=incómodo|incómoda,$descontento=descontento|descontenta,$indignado=indignado|indignada,$furioso=furioso|furiosa$irritado=irritado|irritada,$consumido=consumido|consumida,$cuidadoso=cuidadoso|cuidadosa,$enfadado=enfadado|enfadada,$agotado=agotado|agotada,$enojado=enojado|enojada,$solo=solo|sola,$distraido=distraído|distraída,$veterano=veterano|veterana,$ducho=ducho|ducha,$llamarlo=llamarlo|llamarla,$supersticioso=supersticioso|supersticiosa,$nervioso=nervioso|nerviosa,$destripado=destripado|destripada,$asado=asado|asada,$pintor=pintor|pintora,$seguidor=seguidor|seguidora,$evangelizador=evangelizador|evangelizadora,$predicador=predicador|predicadora,$negociador=negociador|negociadora,$vendedor=vendedor|vendedora,$traductor=traductor|traductora,$luchador=luchador|luchadora,$gales=galés|galesa,$irlandes=irlandés|irlandesa,$ingles=inglés|inglesa,$britanico=británico|británica,$escoces=escocés|escocesa,$escalador=escalador|escaladora,$conocedor=conocedor|conocedora,$explorador=explorador|exploradora,$adiestrador=adiestrador|adiestradora,$morador=morador|moradora,$hacerle=hacerle|hacerla,$calmarle=calmarle|calmarla,$tranquilizarle=tranquilizarle|tranquilizarla,$tranquilizarle=tranquilizarle|tranquilizarla,$tranquilizarle=tranquilizarle|tranquilizarla,$grosero=grosero|grosera,$fascinado=fascinado|fascinada,$otro=otro|otra,$tenso=tenso|tensa,$encontrarlo=encontrarlo|encontrarla,$derrumbado=derrumbado|derrumbada,$buscandolo=buscándolo|buscándola,$fugado=fugado|fugada,$lastimado=lastimado|lastimada,$cachorrillo=cachorrillo|cachorrilla,$afligido=afligido|afligida,$zoroastriano=zoroastriano|zoroastriana,$estricto=estricto|estricta,$derecho=derecho|derecha,$acurrucado=acurrucado|acurrucada,$desnudo=desnudo|desnuda,$atrapado=atrapado|atrapada,$bienvenido=bienvenido|bienvenida,$insultarle=insultarle|insultarla,$disuadirle=disuadirle|disuadirla,$estupefacto=estupefacto|estupefacta,$venderlo=venderlo|venderla,$esclavo=esclavo|esclava,$encadenado=encadenado|encadenada,$encerrado=encerrado|encerrada,$destinatario=destinatario|destinataria,$empapado=empapado|empapada,$arrollado=arrollado|arrollada,$critico=crítico|crítica,$nombrado=nombrado|nombrada,$vigilarlo=vigilarlo|vigilarla,$ayudarle=ayudarle|ayudarla,$buen=buen|buena,$amigo=amigo|amiga,$haberlo=haberlo|haberla,$abandonarle=abandonarle|abandonarla,$lento=lento|lenta,$susodicho=susodicho|susodicha,$tranquilo=tranquilo|tranquila,$sano=sano|sana,$nuevo=nuevo|nueva,$mismo=mismo|misma,$insatisfecho=insatisfecho|insatisfecha,$atacado=atacado|atacada,$muerto=muerto|muerta,$primero=primero|primera,$famoso=famoso|famosa,$decepcionado=decepcionado|decepcionada,$llevarle=llevarle|llevarla,$seguro=seguro|segura"

"name-consonants","bcdfghjklmnñpqrstvwxyz"
"name-vowels","aeiou"
"act-barter-action","Comerciar"
"act-cancelTravel-action","Detener viaje"
"act-endgame-action","Menú principal"
"act-loot-action","Ver objetos"
"act-mapShot-action","Captura de pantalla"
