"@authors","Traduction – *Curious Expedition* : Baptiste Zapirain – Damn3d – Targus, Traduction DLC – *The Arctic Expanse* : Damn3d, Traduction – *RIVALS* : Damn3d, Correction : Baptiste Zapirain – Killpower – Malys – Targus, Version de la traduction – 1.4.0"
"@vars","$il=il|elle,$Il=Il|Elle,$ils=ils|elles,$lui=lui|elle,$le=le|la"

"name-consonants","bcdfghjklmnpqrstvwxz"
"name-vowels","aeiouy"
"act-barter-action","Faire du troc"
"act-cancelTravel-action","Arrêter le voyage"
"act-endgame-action","Retour au menu principal"
"act-loot-action","Voir les objets"
"act-mapShot-action","Sauvegarder la capture d'écran"
"act-open-camp-action","Camper"
"act-report-action","Voir le rapport"
"act-returnhome-action","Expédition terminée !"
"act-showStats-action","Voir la carte"
"act-stopRest-action","Ne plus se reposer"
"act-stopWait-action","Ne plus attendre"
"act-travel-action","En route !"
"anm-camel-title","Chameau"
"anm-camel","Un chameau endurant qui peut porter de nombreuses caisses supplémentaires."
"anm-chasmosaurus-title","Chasmosaurus"
"anm-chasmosaurus","Un grand dinosaure herbivore, plutôt lent."
"anm-dog-hunting-title","Chien de chasse"
"anm-dog-hunting","Le meilleur ami de l'homme. Brave et fidèle, il vous suivra partout ! Enfin... presque partout !"
"anm-dog-husky-title","Husky"
"anm-dog-luis-name","Luis"
"anm-dog-luis-title","Fox-terrier"
"anm-dog-luis","Un petit chien plein d'esprit. Le loyal et fidèle compagnon du journaliste Tim Timster."
"anm-dog-pug-title","Carlin"
"anm-dog-pug","Le meilleur ami et le thérapeute secret de Kjellberg. Il adore la poésie et danser le twerk."
"anm-donkey-title","Âne"
"anm-donkey","Un âne peut transporter de nombreuses caisses supplémentaires."
"anm-elephant-title","Éléphant"
"anm-gorilla-title","Gorille"
"anm-gorilla","Un gorille à peine apprivoisé. Un animal sauvage qui sans sa chaîne autour du cou pourrait s'enfuir ou bien nous attaquer."
"anm-hyena-title","Hyène"
"anm-hyena","Une hyène à peine apprivoisé. Un animal sauvage qui sans sa chaîne autour du cou pourrait s'enfuir ou bien nous attaquer."
"anm-parasaurolophus-title","Parasaurolophus"
"anm-parasaurolophus","Un dinosaure herbivore habituellement très calme, reconnaissable à sa grande crête crânienne flamboyante."
"anm-raptor-title","Raptor"
"anm-raptor","Un dinosaure carnivore très intelligent, mais très agressif."
"anm-tiger-battle-title","Tigre de combat"
"anm-tiger-battle","Un tigre de combat à peine apprivoisé. Un animal sauvage qui sans sa chaîne autour du cou pourrait s'enfuir ou bien nous attaquer."
"anm-tiger-title","Tigre"
"anm-tiger-white-title","Tigre blanc"
"anm-sabertooth-title","Tigre à dents de sabre"
"anm-tiger-white","Un tigre blanc à peine apprivoisé. Un animal sauvage qui sans sa chaîne autour du cou pourrait s'enfuir ou bien nous attaquer."
"anm-tiger","Un tigre à peine apprivoisé. Un animal sauvage qui sans sa chaîne autour du cou pourrait s'enfuir ou bien nous attaquer."
"anm-tortoise-title","Tortue géante"
"anm-tortoise","Une très grande tortue qui peut transporter un grand nombre de caisses."
"anm-waterBuffalo-title","Buffle d'eau"
"anm-waterBuffalo","Un buffle d'eau qui peut transporter plusieurs caisses."
"attack-loki-name-1","Faisceau stable de Loki"
"attack-loki-name-2","Faisceau défensif de Loki"
"attack-loki-name","Faisceau alternatif de Loki"
"attack-name-10","Coup perforant"
"attack-name-11","Éventrement"
"attack-name-12","Contournement"
"attack-name-13","Défense"
"attack-name-14","Défense renforcée"
"attack-name-15","Défense maximale"
"attack-name-16","Position stable"
"attack-name-17","Avantage tactique"
"attack-name-18","Esquive"
"attack-name-19","Manœuvre défensive"
"attack-name-1","Double attaque"
"attack-name-20","Tactique imparable"
"attack-name-21","Observation"
"attack-name-22","Protection"
"attack-name-23","Feinte"
"attack-name-24","Tir rapide"
"attack-name-26","Coup de fusil"
"attack-name-27","Coup puissant de fusil"
"attack-name-28","Tir à bout portant"
"attack-name-29","Tir stable"
"attack-name-2","Triple attaque"
"attack-name-30","Tir d'arrêt"
"attack-name-31","Tir de barrage"
"attack-name-32","Tir à la tête"
"attack-name-33","Tir précis"
"attack-name-34","Tir planifié"
"attack-name-35","Tir magistral"
"attack-name-36","Coup de fouet"
"attack-name-37","Fouet entravant"
"attack-name-38","Fouet coupant"
"attack-name-39","Rituel de guérison"
"attack-name-3","Riposte"
"attack-name-40","Rituel d'unité"
"attack-name-41","Malédiction du Poison"
"attack-name-42","Faisceau alternatif"
"attack-name-43","Faisceau stable"
"attack-name-44","Faisceau défensif"
"attack-name-45","Décharge rapide"
"attack-name-46","Attaque à la lance"
"attack-name-47","Lancer de lance"
"attack-name-48","Lance de défense"
"attack-name-49","Lance puissante"
"attack-name-4","Riposte mordante"
"attack-name-50","Dynamitage"
"attack-name-51","Explosion précise"
"attack-name-52","Explosion planifiée"
"attack-name-53","Coup de griffes"
"attack-name-54","Griffes puissantes"
"attack-name-55","Griffes féroces"
"attack-name-56","Coup de crocs"
"attack-name-57","Coup violent"
"attack-name-58","Piétiner"
"attack-name-59","Grand coup de bec"
"attack-name-5","Coup de bouclier"
"attack-name-60","Petit coup de bec"
"attack-name-61","Coup de queue"
"attack-name-62","Coup de sabot"
"attack-name-63","Coup de bélier"
"attack-name-64","Coup de cornes"
"attack-name-65","Carapace"
"attack-name-66","Morsure d'araignée"
"attack-name-67","Pattes perforantes"
"attack-name-68","Tentacule flagellante"
"attack-name-69","Tentacule perforante"
"attack-name-6","Riposte mortelle"
