"@authors","Translator: Lauren Lim(Karma_L)"
"@vars","$그=그|그녀,$그는=그는|그녀는,$그가=그가|그녀가,$그를=그를|그녀를,$그에게=그에게|그녀에게,$그와=그와|그녀와,$그에=그에|그녀에,$그의=그의|그녀의,$그였다=그였다|그녀였다,$그로=그로|그녀로"

"name-consonants","bcdfghjklmnpqrstvwxyz"
"name-vowels","aeiou"
"act-barter-action","거래한다"
"act-cancelTravel-action","여행을 중지한다"
"act-endgame-action","메인 메뉴로"
"act-loot-action","물건들을 본다"
"act-mapShot-action","스크린샷을 저장했습니다"
"act-open-camp-action","캠핑한다"
"act-report-action","보고서를 본다"
"act-returnhome-action","탐험을 끝마친다!"
"act-showStats-action","지도를 본다"
"act-stopRest-action","휴식을 마친다"
"act-stopWait-action","다시 이동한다"
"act-travel-action","출발!"
"anm-camel-title","낙타"
"anm-camel","인내심이 강한 낙타입니다. 더 많은 짐을 나를 수 있습니다."
"anm-chasmosaurus-title","카스모사우루스"
"anm-chasmosaurus","큼지막하고 다소 느린 초식 공룡입니다."
"anm-dog-hunting-title","사냥개"
"anm-dog-hunting","인간의 가장 좋은 친구입니다."
"anm-dog-husky-title","허스키"
"anm-dog-luis-name","루이스"
"anm-dog-luis-title","탐사견"
"anm-dog-luis","작지만 영리한 개입니다. 저널리스트 Tim Timster의 충성스러운 네발달린 동물입니다."
"anm-dog-pug-title","퍼그"
"anm-dog-pug","Kjellberg의 가장 좋은 친구이자 비밀스러운 치료사입니다. 시 읽기와 춤추기를 즐깁니다."
"anm-donkey-title","당나귀"
"anm-donkey","당나귀는 더 많은 짐을 나를 수 있습니다."
"anm-elephant-title","코끼리"
"anm-gorilla-title","고릴라"
"anm-gorilla","간신히 조련된 고릴라입니다. 사나운 동물이므로 목에 걸린 쇠사슬이 없다면 도망가거나 일행을 공격할지도 모릅니다."
"anm-hyena-title","하이에나"
"anm-hyena","간신히 조련된 하이에나입니다. 사나운 동물이므로 목에 걸린 쇠사슬이 없다면 도망가거나 일행을 공격할지도 모릅니다."
"anm-parasaurolophus-title","파라사우롤로푸스"
"anm-parasaurolophus","대체적으로 매우 온순하고 친근한 직립보행하는 초식공룡으로 머리에 달린 크고 아름다운 볏으로 유명합니다."
"anm-raptor-title","랩터"
"anm-raptor","아주 영리하지만 매우 공격적인 육식공룡입니다."
"anm-tiger-battle-title","전투용 호랑이"
"anm-tiger-battle","간신히 조련된 전투용 호랑이입니다. 사나운 동물이므로 목에 걸린 쇠사슬이 없다면 도망가거나 일행을 공격할지도 모릅니다."
"anm-tiger-title","호랑이"
"anm-tiger-white-title","백호"
"anm-sabertooth-title","검치 호랑이"
"anm-tiger-white","간신히 조련된 백호입니다. 사나운 동물이므로 목에 걸린 쇠사슬이 없다면 도망가거나 일행을 공격할지도 모릅니다."
"anm-tiger","간신히 조련된 호랑이입니다. 사나운 동물이므로 목에 걸린 쇠사슬이 없다면 도망가거나 일행을 공격할지도 모릅니다."
"anm-tortoise-title","거대 거북"
"anm-tortoise","아주 큰 거북입니다. 더 많은 짐을 나를 수 있습니다."
"anm-waterBuffalo-title","물소"
