"@authors","Rômulo Wehling Magalhães, Macalango"
"@vars","$he=ele|ela,$him=ele|ela,$his=dele|dela,$ele=ele|ela,$dele=dele|dela"

"name-consonants","bcdfghjklmnpqrstvwxyz"
"name-vowels","aeiou"
"act-barter-action","Negociar"
"act-cancelTravel-action","Parar viagem"
"act-endgame-action","Voltar ao Menu Principal"
"act-loot-action","Ver Items"
"act-mapShot-action","Salvar Captura de Tela"
"act-open-camp-action","Acampar"
"act-report-action","Ver relatório"
"act-returnhome-action","Finalizar Expedição!"
"act-showStats-action","Ver mapa"
"act-stopRest-action","Parar descanso"
"act-stopWait-action","Parar espera"
"act-travel-action","Viajar!"
"anm-camel-title","Camelo"
"anm-camel","Um camelo estóico. Pode carregar várias caixas adicionais."
"anm-chasmosaurus-title","Chasmossauro"
"anm-chasmosaurus","Um gigante dinossauro herbívoro e bem lento."
"anm-dog-hunting-title","Cão de caça"
"anm-dog-hunting","O melhor amigo do homem"
"anm-dog-husky-title","Husky"
"anm-dog-luis-name","Luis"
"anm-dog-luis-title","Cachorro de escolta"
"anm-dog-luis","Um cachorro pequeno, mas espirituoso. O leal parceiro de quatro patas do jornalista Tim Timster."
"anm-dog-pug-title","Pug"
"anm-dog-pug","O melhor amigo e terapeuta secreto de Kjellberg. Gosta de poesia e rebolar."
"anm-donkey-title","Jumento"
"anm-donkey","Jumentos podem carregar várias caixas adicionais."
"anm-elephant-title","Elefante"
"anm-gorilla-title","Gorila"
"anm-gorilla","Um gorila mal domesticado. Um animal selvagem que sem correntes pode fugir ou nos atacar na mesma hora."
"anm-hyena-title","Hiena"
"anm-hyena","Uma hiena mal domesticada. Um animal selvagem que sem correntes pode ou fugir ou nos atacar na mesma hora."
"anm-parasaurolophus-title","Parassauro"
"anm-parasaurolophus","Um dinossauro bípede normalmente amigável e herbívoro conhecido pelo crânio grande."
"anm-raptor-title","Velociraptor"
"anm-raptor","Um dinossauro muito inteligente porém altamente agressivo."
"anm-tiger-battle-title","Tigre de Batalha"
"anm-tiger-battle","Um tigre mal domesticado. Um animal selvagem que sem correntes pode fugir ou nos atacar na mesma hora."
"anm-tiger-title","Tigre"
"anm-tiger-white-title","Tigre Branco"
"anm-sabertooth-title","Tigre dentes-de-sabre"
"anm-tiger-white","Um tigre branco mal domesticado. Um animal selvagem que sem correntes pode fugir ou nos atacar na mesma hora."
"anm-tiger","Uma tigre mal domesticado. Um animal selvagem que sem correntes pode ou fugir ou nos atacar na mesma hora."
"anm-tortoise-title","Tartaruga Gigante"
"anm-tortoise","Uma tartaruga muito grande. Pode transportar várias caixas adicionais."
"anm-waterBuffalo-title","Búfalo d'agua"
"anm-waterBuffalo","Um búfalo d'agua. Pode transportar várias caixas."
"attack-loki-name-1","Raio Constante de Loki"
"attack-loki-name-2","Raio Defensivo de Loki"
"attack-loki-name","Raio Alternado de Loki"
"attack-name-10","Pontuação"
"attack-name-11","Salto do Estripador"
"attack-name-12","Flanquear"
