"pl-arcticHunter-title","Arktischer Jäger"
"st-pathfinder-1-title","Wegbereiter 1"
"st-pathfinder-2-title","Wegbereiter 2"
"st-pathfinder-3-title","Wegbereiter 3"
"st-pathfinder-4-title","Wegbereiter 4"
"st-pathfinder-description","Reduzierte Bewegungskosten in arktischem Gelände."
"evt-harbor-recruit-arcticHunter-action","$name der Jäger"
"evt-harbor-recruit-arcticHunter","[Wissen über die Arktis ist schwer zu bekommen |Ich war mir sicher, dass ein Führer eine große Hilfe wäre|Wir waren uns sicher, dass wir früher oder später in der Arktis landen würden], also hieß ich $name in unserer Gruppe willkommen."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name der Jäger"
"evt-village-recruit-select-humanoid-arcticHunter","[Wissen über dieses gefrorene Land ist schwer zu bekommen |Ich war mir sicher, dass ein Führer eine große Hilfe wäre|Wir waren uns sicher, dass wir Zeit in der Arktis verbringen würden], also hieß ich $name in unserer Gruppe willkommen."
"st-goodReputation-title","Guter Ruf"
"st-goodReputation-description","Verleiht einen Ansehensbonus zu Beginn jeder Expedition."
"mod-arcticHunter-desc","Mein erster offizieller Mod als Teil von Maschinen-Mensch. Fügt einen Charakter hinzu, der dir hilft, die Arktis zu entdecken, rekrutierbar im Hafen und in arktischen Dörfern. Als Pfadfinder mit Kampferfahrung hilft dir der Arktische Jäger dich zügig durch das Eis zu bewegen und wird wertvolle Assistenz bei dem Jagen nach den Trophäen des hohen Norden leisten."
