"pl-arcticHunter-title","Arktyczny łowca"
"st-pathfinder-1-title","Pionier 1"
"st-pathfinder-2-title","Pionier 2"
"st-pathfinder-3-title","Pionier 3"
"st-pathfinder-4-title","Pionier 4"
"st-pathfinder-description","Zredukowane koszty ruchu na terenach arktycznych."
"evt-harbor-recruit-arcticHunter-action","$name łowca"
"evt-harbor-recruit-arcticHunter","[Znajomość Arktyki jest trudna do zdobycia|Byłem pewien, że przewodnik bardzo by nam pomógł|Byliśmy pewni, że zagubilibyśmy się na Arktyce prędzej czy później], więc powitałem $name w naszej drużynie."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name myśliwy"
"evt-village-recruit-select-humanoid-arcticHunter","[Wiedza tego lodowego lądu jest trudna do zdobycia|Byłem pewien, że przewodnik bardzo nam pomoże w tej sytuacji|Mieliśmy pewność, że spędzimy trochę czasu w Arktyce], więc powitałem $name w naszym zespole."
"st-goodReputation-title","Dobra Reputacja"
"st-goodReputation-description","Rozpoczynaj każdą ekspedycję z bonusem reputacji."
"mod-arcticHunter-desc","Moja pierwsza oficjalna modyfikacja jako część Maschinen-Mensch. Dodaje postać, która pomaga eksplorować Arktykę, postać, którą możemy zrekrutować w porcie oraz arktyczne wioski. Arktyczny łowca, który jest pionierem w doświadczeniu w walce, pomoże Ci szybko przemieszczać się przez lód i zapewni drogocenną pomoc podczas polowania na zdobycze z dalekiej północy."
