"pl-arcticHunter-title","Eskimo"
"st-pathfinder-1-title","Yol bulucu 1"
"st-pathfinder-2-title","Yol bulucu 2"
"st-pathfinder-3-title","Yol bulucu 3"
"st-pathfinder-4-title","Yol bulucu 4"
"st-pathfinder-description","Buzullarda hareket maliyeti düşürüldü."
"evt-harbor-recruit-arcticHunter-action","$name avcı"
"evt-harbor-recruit-arcticHunter","[Kuzey Kutbu hakkında bilgi almak zor|Bir rehberin çok yardımcı olacağından emindim|Kuzey Kutbu'na er ya da geç kurulacağından emindim], bu yüzden $name'i ekibimize davet ettim."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name avcı"
"evt-village-recruit-select-humanoid-arcticHunter","[Bu donmuş topraklar hakkında bilgi edinmek zor|Bir rehberin bizim durumumuzda çok yardımcı olacağından emindim|Kuzey Kutbu'nda biraz zaman geçirdiğimizden emindim], bu yüzden $name'i ekibimize davet ettim."
"st-goodReputation-title","İyi İtibar"
"st-goodReputation-description","Her seferinde sabit bir bonusla başlayın."
"mod-arcticHunter-desc","Maschinen-Mensch'in bir parçası olarak ilk resmi modum. Kuzey Kutbu'nu keşfetmenize yardımcı olacak, liman ve Arktik köylerinde işe alınacak bir karakter ekler. Dövüş tecrübesi olan bir yol gösterici olan Arctic Hunter, buzun içinde hızlı bir şekilde hareket etmenize yardımcı olur ve uzak kuzeydeki kupaları avlarken paha biçilmez yardım sağlar."
