"pl-arcticHunter-title","Арктичний мисливець"
"st-pathfinder-1-title","Провідник 1"
"st-pathfinder-2-title","Провідник 2"
"st-pathfinder-3-title","Провідник 3"
"st-pathfinder-4-title","Провідник 4"
"st-pathfinder-description","Менш затратне переміщення арктичними територіями."
"evt-harbor-recruit-arcticHunter-action","Мисливець $name"
"evt-harbor-recruit-arcticHunter","[Без знання Арктики обійтися важко|Безперечно, мені буде дуже потрібен гід|Ми були впевнені, що рано чи пізно потрапимо в Арктику], тому $name тепер у нашій команді."
"evt-village-recruit-select-humanoid-arcticHunter-action","Мисливець $name"
"evt-village-recruit-select-humanoid-arcticHunter","[Без знання цих крижаних земель буде важко|Безперечно, у нашій ситуації дуже потрібен гід| Ми були впевнені, що деякий час проведемо в Арктиці], тому $name тепер у нашій команді."
"st-goodReputation-title","Добра репутація"
"st-goodReputation-description","Розпочинайте кожну експедицію з бонусом."
"mod-arcticHunter-desc","Це мій перший офіційний мод в Maschinen-Mensch. Він додає персонажа, що допомагає вам досліджувати Арктику. Його можна найняти в гавані та селищах Арктики. Провідник із бойовим досвідом, арктичний мисливець допоможе вам легко пробиратися через лід та надасть цінну допомогу в здобутті трофеїв далекої півночі."
