"pl-arcticHunter-title","极地猎人"
"st-pathfinder-1-title","寻路者1"
"st-pathfinder-2-title","寻路者2"
"st-pathfinder-3-title","寻路者3"
"st-pathfinder-4-title","寻路者4"
"st-pathfinder-description","减少极地中的移动消耗。"
"evt-harbor-recruit-arcticHunter-action","猎人$name "
"evt-harbor-recruit-arcticHunter","[很难能够遇到掌握着极地知识的人|一位向导肯定能够帮上不少忙|我们迟早会落到极地地区]，所以我将$name迎接到了队伍中。"
"evt-village-recruit-select-humanoid-arcticHunter-action","猎人$name"
"evt-village-recruit-select-humanoid-arcticHunter","[很难能够遇到掌握着关于这片冻土的知识的人|一位向导肯定能够在我们当前的处境中帮上不少忙|我们肯定会在北极待上一段时间]，所以我将$name迎接到了队伍中。"
"st-goodReputation-title","好名声"
"st-goodReputation-description","每场探险开始时获得土著关系奖励。"
"mod-arcticHunter-desc","我在Maschinen-Mensch制作组中所做的第一个官方模组。加入了一个能够帮助你探索北极的角色，可以在港口和北极村庄中招募。作为一位具有战斗经验的寻路者，北极猎人能够迅速穿过冰原并且在北地寻宝时提供非常宝贵的帮助。"
