"io-title","RIVALEN"
"io-explored","$val% entdeckt"
"io-state-world","Welt"
"io-currExped","Deine aktuelle Expedition"
"io-splash-continue","Expedition fortführen"
"io-splash-new","Neue Expedition"
"io-exped-aborted","Du hast die Expedition abgebrochen"
"io-hub-start","Start-Außenposten"
"io-player-location","Aktuelle Provinz"

"io-connection-lost","Die Verbindung zu RIVALS wurde unterbrochen. Bitte Seite neu laden."
"io-connection-newVersion","Es gibt eine neue Version von RIVALS. Bitte Seite neu laden."
"io-connection-newWorld","Die neue Welt ist bereit! Bitte Seite neu laden."

"io-newgame-start","Neue Expedition"
"io-newgame-slots","Porträt-Slots"
"io-newgame-slots-desc","Drag & Drop Explorer Porträts um das aktuelle Porträt zu speichern oder ersetzen."
"io-newgame-accessory","Erhältliches Zubehör:"
"io-newgame-packs-title","Rüste deine neue Expedition aus"
"io-newgame-packs-help","Benutze Expedition-Crates um deine Gruppe auszurüsten. Experimentiere mit verschiedenen Kombinationen."
"io-newgame-outpost-confirm","Wähle Ausrüstung"
"io-newgame-outpost-title","Wähle deinen Start-Außenposten"
"io-newgame-outpost-help","Wähle einen Außenposten auf der Weltkarte von dem deine Expedition starten soll."

"io-packs-available","Verfügbare Expedition Crates"
"io-packs-running","Deine Expedition Crates"
"io-packs-selected","Ausgewählte Expedition Crates"
"io-packs-items","Gegenstände"
"io-packs-chars","Gruppenmitglieder"
"io-packs-perks","Fähigkeiten"
"io-packs-overburden","Nicht genug Platz im Inventar!"
"io-packs-overFilled","Nicht genug Platz für weitere Mitglieder!"
"io-packs-alreadyAdded","Du hast bereits eine Crate von diesem Typ hinzugefügt!"
"io-packs-maximum","Du kannst keine weiteren Crates hinzufügen!"
"io-pack-new","Neue Expedition Crate"
"io-pack-hold","Halte Crate"
"io-pack-timer","Nicht abrufbar, wegen kürzlichem Gebrauch! Crate wird in kürze wieder verfügbar sein, in $val."

"io-medals-buy","Kaufe Medaillen"
"io-medals-buyHelp","Mit Medallien kannst du Expedition Crates halten und sie unbegrenzt wiederverwenden."
"io-medals-use","Medaillen einsetzen"
"io-medals-help","Du erhältst jeweils eine Medaille in jeder neuen Welt für das entdecken deiner ersten Region."
"io-premium-medals-help","Durch das Entdecken von Regionen erhälst du Medaillen. $val weitere Entdeckungen bis zu deiner nächsten Medaille."
"io-premium-medals-help-singular","Durch das Entdecken von Regionen erhälst du Medaillen. $val weitere Entdeckung bis zu deiner nächsten Medaille."
"io-medals-new","Neue Medaille!"
"io-medals-new-plural","$val neue Medaillen!"
"io-medals-reason-first-claim","Erhalten für das Erkunden deiner ersten Region in einer Welt."
"io-medals-reason-claim","Entdecke noch $val Regionen, um eine weitere Medaille zu erhalten."
"io-medals-reason-beta","Erhalten für deine Teilnahme an der Beta."
"io-medals-reason-xsolla","Vielen Dank für deinen Kauf!"
"io-medals-reason-foundPyramid","Belohnt für Entdeckung der Pyramide."
"io-medals-reason-topScore","Belohnt durch die Erringung eines Highscores in einer voran gegangenen Welt."
"io-medals-reason-keyActivation","Key-Aktivierung erfolgreich!"
"io-medals-reason-foundHub","Belohnt durch die Entdeckung eines Außenpostens."
"io-shop-open","Einkaufen"
"io-shop-unclaimed","Registriere dein Konto um Medaillen zu kaufen"
"io-shop-unverified","Verifiziere deine Email um Medaillen zu kaufen"
"io-shop-refresh","Neu laden"

"io-transact-selection","Deine Auswahl"
"io-transact-cost","Benötigte Medaillen"
"io-transact-noFunds","Du hast nicht genug Medaillen!"
"io-transact-crate-desc","Wenn du eine Expedition Crate hältst kannst du sie unbegrenzt in künftigen Expeditionen ausrüsten."
"io-transact-explorerSlot-desc","Mit Porträt-Plätzen kannst du ein Porträt speichern und es auf zukünftigen Expedition erneut verwenden."
"io-transact-processing","Wird verarbeitet"
"io-transact-success","Erfolgreich!"
"io-transact-failure","Übermittlung fehlgeschlagen!"

"io-ruler-west","W"
"io-ruler-east","E"
"io-ruler-north","N"
"io-ruler-south","S"

"compass-e","Osten"
"compass-ne","Nord-Osten"
"compass-n","Norden"
"compass-nw","Nord-Westen"
"compass-w","Westen"
"compass-sw","Süd-Westen"
"compass-s","Süden"
"compass-se","Süd-Osten"

"tooltip-io-news","Neuigkeiten"
"tooltip-map-claims","Entdeckungen"
"tooltip-map-hubs","Entdeckte Außenposten"
"tooltip-map-pockets","Terrain"
"tooltip-map-timeline","Historie"
"tooltip-packs-recent","Neuste"
"tooltip-packs-rarity","Seltenheit"
"tooltip-packs-type","Typ"
"tooltip-score-claims","Entdeckungen"
"tooltip-score-goals","Pyramiden"

"tile-newregion","Neue Region betreten!"
"io-claim","Region entdeckt von"
"io-unclaimed","Unentdecke Region"
"io-claimed","Region entdeckt!"
"io-discovered","Region erkundet!"
"io-manage-account","Kontoverwaltung"
"io-claim-account","Konto registrieren"
"io-evt-user","Wir [fanden|entdeckten] einige persönliche [Gegenstände|Dinge|Habseligkeiten], unter anderem auf ein [Tagebuch|Journal|Notizuch] mit dem Titel ""[Die Expedition|Das Tagebuch|Das Abenteuer|Die Reisen|Die Abenteuer] von $playerName."" Ich [hoffte|betete] dass [unser Abenteuer|unsere Expedition|unsere Reise] nicht auf diese Weise enden würde."
"io-highscores","Highscores"
"io-highscores-top","Top Scores"
"io-highscores-claims","Die meisten Entdeckungen"
"io-highscores-mine","Mein bestes Ergebnis"
"io-highscores-lifetime-score","Bestes Ergebnis"
"io-highscores-lifetime-goals","Meiste Pyramiden"
"io-highscores-lifetime-goalspeed","Schnellste Entdeckung der Pyramiden"
"io-highscores-goals","Entdeckte Pyramiden"
"io-highscores-page","Seite $page"
"io-help-standing","Ein Schlechtes Ansehen ist nicht auf Ewig. Deine Taten werden mit der Zeit vergessen"
"io-hub-name","Außenposten"
"io-hub-approach-action","Außenposten freischalten"
"io-hub-enter-action","Außenposten betreten"
"io-hub-unlocked","$val Außenposten entdeckt!"

"io-user-best-score","Ruhmreichste Expedition"
"io-user-best-claims","Höchste Anzahl an entdecken Regionen in einer einzigen Welt"
"io-user-best-pyramid-rank","Beste Pyramiden Entdeckung"
"io-user-best-pyramid-time","Schnellste Entdeckung der Pyramide"
"io-user-best-pyramid-count","Anzahl der entdeckten Pyramiden"
"io-user-best-num-expeditions","Anzahl der Expeditionen"
"io-user-best-num-worlds","Anzahl der gespielten Welten"
"io-user-best-num-claims","Gesamtzahl der Regionen"
"io-user-best-num-hubs","Anzahl der entdeckten Außenposten"

"io-pyramid-unclaimed","In der Welt von RIVALS befindet sich eine goldene Pyramide. Sobald diese entdeckt wurde, startet ein Timer, welcher dem Ende der Welt entgegen zählt."

"io-livelog-claim","Eine Region in $segment wurde von $user entdeckt ($xCoord, $yCoord)"
"io-livelog-death","[Die Expedition|Das Abenteuer|Die Reise] von $user [endete|scheiterte|schlug fehl|endete in einer Tragödie|fand ein unschönes Ende|fand ein jähes Ende] in $segment nach $days Tagen mit $fame Ruhm"
"io-livelog-newTopScore","Die [beeindruckende|unglaubliche|legendäre|sagenhafte|einmalige|wahnsinnige|halsbrecherische|wunderbare] [Expedition|Reise|Abenteuerreise] von $user ist nun die erfolgreichste mit $fame Ruhm!"
"io-livelog-newTopClaims","Die [beeindruckende|unglaubliche|legendäre|sagenhafte|einmalige|wahnsinnige|halsbrecherische|wunderbare] [Expedition|Reise|Abenteuerreise] von $user hat die meisten Entdeckungen mit $claims Regionen!"
"io-livelog-newTrek","$user hat eine neue [Expedition|Reise|Abenteuerreise] in $segment begonnen"
"io-livelog-unlockedOutpost","$oldname wurde in $newname umbenannt"
"io-livelog-foundSeal","$user hat ein goldenes Siegel in $segment $xCoord,$yCoord [gefunden|entdeckt|erkundet]."
"io-livelog-goal-unlock","$user hat die goldene Pyramide erreicht!"
"io-goldenSeal","Die Lichtsäule schien Richtung $pyramidDir zu zeigen. Nach einigen Augenblicken erlosch das Licht. [Was uns wohl in dieser Richtung erwarten würde?|Ich fragte mich ob wir in diese Richtung weiterziehen sollten.|Ich war mir sicher das in dieser Richtung nichts gutes auf uns warten würde.]"

"io-salvage-verb","Zerlegen"

