"io-title","RIVALS"
"io-explored","$val% Discovered"
"io-state-world","World"
"io-currExped","Your Current Expedition"
"io-splash-continue","Continue Expedition"
"io-splash-new","New Expedition"
"io-exped-aborted","You aborted the expedition"
"io-hub-start","Starting Outpost"
"io-player-location","Current Province"

"io-connection-lost","Lost connection to the RIVALS server, please refresh."
"io-connection-newVersion","There is a new version of RIVALS, please refresh."
"io-connection-newWorld","The new world is ready! Please refresh."

"io-newgame-start","New Expedition"
"io-newgame-slots","Portrait Slots"
"io-newgame-slots-desc","Drag & Drop Explorer portraits to store or replace the currently used one."
"io-newgame-accessory","Available Accessories:"
"io-newgame-packs-title","Equip your new Expedition"
"io-newgame-packs-help","Select expedition crates to outfit your party. Experiment with different combinations."
"io-newgame-outpost-confirm","Select Equipment"
"io-newgame-outpost-title","Choose your starting Outpost"
"io-newgame-outpost-help","Select an Outpost on the world map from where your expedition should start."

"io-packs-available","Available Expedition Crates"
"io-packs-running","Current Expedition Crates"
"io-packs-selected","Selected Expedition Crates"
"io-packs-items","Items"
"io-packs-chars","Trek Members"
"io-packs-perks","Perks"
"io-packs-overburden","Not enough inventory slots!"
"io-packs-overFilled","Not enough character slots!"
"io-packs-alreadyAdded","Already added a crate of this type!"
"io-packs-maximum","Can't add any more crates to your party!"
"io-pack-new","New Crate"
"io-pack-hold","Hold Crate"
"io-pack-timer","Locked due to recent usage! Crate will be available again in $val."

"io-medals-buy","Buy Medals"
"io-medals-buyHelp","to hold Expedition Crates for infinite use."
"io-medals-use","Use Medals"
"io-medals-help","You get one medal in each world the first time you discover a Region."
"io-premium-medals-help","You get medals by discovering Regions. $val discoveries until your next medal."
"io-premium-medals-help-singular","You get medals by discovering Regions. $val discovery until your next medal."
"io-medals-new","New Medal!"
"io-medals-new-plural","$val New Medals!"
"io-medals-reason-first-claim","Awarded for discovering your first Region in a world."
"io-medals-reason-claim","Discover $val more Regions for another medal."
"io-medals-reason-beta","Awarded for playing during the Beta."
"io-medals-reason-xsolla","Thanks for your purchase!"
"io-medals-reason-foundPyramid","Awarded for finding the Pyramid."
"io-medals-reason-topScore","Awarded for getting a top score in a previous world."
"io-medals-reason-keyActivation","Key activation successful!"
"io-medals-reason-foundHub","Awarded for Discovering an Outpost."
"io-shop-open","Shopping"
"io-shop-unclaimed","Claim your account to buy Medals"
"io-shop-unverified","Verify your email address to buy Medals"
"io-shop-refresh","Refresh my data"

"io-transact-selection","Your selection"
"io-transact-cost","Required Medals"
"io-transact-noFunds","You don't have enough Medals!"
"io-transact-crate-desc","Holding an Expedition Crate will allow you to equip it infinitely on your coming expeditions."
"io-transact-explorerSlot-desc","Portrait Slots can be used to store a Portrait so you can use it again on your coming expedition."
"io-transact-processing","Processing"
"io-transact-success","Success!"
"io-transact-failure","Transaction Failed!"

"io-ruler-west","W"
"io-ruler-east","E"
"io-ruler-north","N"
"io-ruler-south","S"

"compass-e","East"
"compass-ne","North-East"
"compass-n","North"
"compass-nw","North-West"
"compass-w","West"
"compass-sw","South-West"
"compass-s","South"
"compass-se","South-East"

"tooltip-io-news","News"
"tooltip-map-claims","Discoveries"
"tooltip-map-hubs","Discovered Outposts"
"tooltip-map-pockets","Terrain"
"tooltip-map-timeline","Timeline"
"tooltip-packs-recent","Most Recent"
"tooltip-packs-rarity","Rarity"
"tooltip-packs-type","Type"
"tooltip-score-claims","Discoveries"
"tooltip-score-goals","Pyramids"

"tile-newregion","New region entered!"
"io-claim","Region discovered by"
"io-unclaimed","Undiscovered Region"
"io-claimed","Region Discovered!"
"io-discovered","Region Explored!"
"io-manage-account","Manage Account"
"io-claim-account","Claim Account"
"io-evt-user","We [noticed|found|saw|discovered] some personal [belongings|items|things|sundries], including a [diary|journal|book] with the faded [title|words|markings|script|letters] ""The [Expedition|Journal|Journey|Trek|Adventure] of $playerName."" I [hoped|prayed] our [expedition|journey|trek|adventure] didn't end up like theirs."
"io-highscores","Highscores"
"io-highscores-top","Top Scores"
"io-highscores-claims","Most Discoveries"
"io-highscores-mine","My Best Scores"
"io-highscores-lifetime-score","Best Ever Scores"
"io-highscores-lifetime-goals","Most Pyramids"
"io-highscores-lifetime-goalspeed","Fastest Pyramids"
"io-highscores-goals","Pyramid Discoveries"
"io-highscores-page","Page $page"
"io-help-standing","Negative Standing doesn't last: bad actions will be forgotten over time"
"io-hub-name","Outpost"
"io-hub-approach-action","Discover Outpost"
"io-hub-enter-action","Enter Outpost"
"io-hub-unlocked","$val Outpost Discovered!"

"io-user-best-score","Most Famous Expedition"
"io-user-best-claims","Most Regions in a single World"
"io-user-best-pyramid-rank","Best Pyramid Discovery Rank"
"io-user-best-pyramid-time","Fastest Pyramid Discovery"
"io-user-best-pyramid-count","Number of Pyramid Discoveries"
"io-user-best-num-expeditions","Number of Expeditions"
"io-user-best-num-worlds","Number of Worlds Played"
"io-user-best-num-claims","Total Number of Regions"
"io-user-best-num-hubs","Number of Outposts Discovered"

"io-pyramid-unclaimed","There is a single Golden Pyramid in the world of RIVALS. Once it's discovered, a timer will begin that signals the end of the world."

"io-livelog-claim","A region in $segment has been discovered by $user ($xCoord, $yCoord)"
"io-livelog-death","The [expedition|trek|adventure|journey] of $user [has ended|is over|failed|finished|ended in tragedy|ended in failure|met its end] in $segment after $days days with $fame fame"
"io-livelog-newTopScore","The [incredible|impressive|wonderful|magnificent|marvellous|insane|great|beautiful] [expedition|trek|adventure|journey] of $user is now the most famous with $fame fame!"
"io-livelog-newTopClaims","The [incredible|impressive|wonderful|magnificent|marvellous|insane|great|beautiful] [expedition|trek|adventure|journey] of $user now has the most discoveries with $claims regions!"
"io-livelog-newTrek","$user started a new [expedition|trek|adventure|journey] in $segment"
"io-livelog-unlockedOutpost","$oldname is now [known as|called|named] $newname as the Outpost is discovered"
"io-livelog-foundSeal","$user has [encountered|found|discovered|explored] a Golden Seal in $segment at $xCoord, $yCoord."
"io-livelog-goal-unlock","$user has reached the Golden Pyramid!"
"io-goldenSeal","The column of light appeared to be pointing towards the $pyramidDir. It blinked off after a few moments. [What might we find if we went that way?|I wonder if we should go in that direction.|I'm sure following the light would be a bad idea.|I imagine only awful things could happen if we went that way.|If we followed the light, surely we would find glory!]"

