"io-title","RIVALS"
"io-explored","$val% découvert"
"io-state-world","Monde"
"io-currExped","Votre expédition actuelle"
"io-splash-continue","Continuer l’expédition"
"io-splash-new","Nouvelle expédition"
"io-exped-aborted","Vous avez abandonné l’expédition"
"io-hub-start","Avant-poste de départ"
"io-player-location","Province actuelle"

"io-connection-lost","Perte de connexion avec le serveur de RIVALS, veuillez actualiser la page."
"io-connection-newVersion","Il y a une nouvelle version de RIVALS, veuillez actualiser la page."
"io-connection-newWorld","Le nouveau monde est prêt ! Veuillez actualiser la page."

"io-newgame-start","Nouvelle expédition"
"io-newgame-slots","Emplacement de portrait"
"io-newgame-slots-desc","Faites glissez un portrait d'explorateur ci-dessus pour stocker ou écraser le portrait actuel."
"io-newgame-accessory","Accessoires Disponibles :"
"io-newgame-packs-title","Équiper votre nouvelle expédition"
"io-newgame-packs-help","Sélectionnez des caisses pour équiper votre expédition. Expérimenter avec différentes combinaisons."
"io-newgame-outpost-confirm","Choisir l’équipement"
"io-newgame-outpost-title","Choisissez votre avant-poste de départ"
"io-newgame-outpost-help","Choisissez un avant-poste sur la carte du monde pour définir le lieu de départ de votre expédition."

"io-packs-available","Caisses disponibles"
"io-packs-running","Caisses pour l'expédition "
"io-packs-selected","Caisses sélectionnées"
"io-packs-items","Objets"
"io-packs-chars","Membre(s) de l'expédition"
"io-packs-perks","Trait(s)"
"io-packs-overburden","Plus assez d'emplacements d'inventaire !"
"io-packs-overFilled","Plus assez d'emplacements de personnages !"
"io-packs-alreadyAdded","Vous avez déjà ajouté une caisse de ce type à votre expédition !"
"io-packs-maximum","Vous ne pouvez plus ajouter de caisses à votre expédition !"
"io-pack-new","Nouvelle caisse"
"io-pack-hold","Garder cette caisse"
"io-pack-timer","Verrouillée en raison d'une utilisation récente ! La caisse sera de nouveau disponible dans $val."

"io-medals-buy","Acheter des médailles"
"io-medals-buyHelp","afin de garder cette caisse et l'utiliser à l'infini."
"io-medals-use","Dépenser des médailles"
"io-medals-help","Vous obtenez une médaille dans chaque monde à chaque fois que vous découvrez votre première région."
"io-premium-medals-help","Vous obtenez des médailles en découvrant des régions. Encore $val découvertes avant d'obtenir votre prochaine médaille."
"io-premium-medals-help-singular","Vous obtenez des médailles en découvrant des régions. Plus qu'$val découverte avant avant d'obtenir votre prochaine médaille."
"io-medals-new","Nouvelle médaille !"
"io-medals-new-plural","$val nouvelles médailles !"
"io-medals-reason-first-claim","Décerné pour la découverte de votre première région dans ce monde."
"io-medals-reason-claim","Découvrez encore $val région(s) pour une autre médaille."
"io-medals-reason-beta","Décerné pour avoir participé à la Beta."
"io-medals-reason-xsolla","Merci pour votre achat !"
"io-medals-reason-foundPyramid","Récompense pour avoir trouvé la Pyramide."
"io-medals-reason-topScore","Récompense pour avoir obtenu un des meilleurs score dans le monde précédent."
"io-medals-reason-keyActivation","Activation de la clé réussi !"
"io-medals-reason-foundHub","Récompense pour avoir découvert un avant-poste."
"io-shop-open","Boutique"
"io-shop-unclaimed","Créer votre compte pour acheter des Médailles"
"io-shop-unverified","Vérifiez votre adresse e-mail pour acheter des Médailles"
"io-shop-refresh","Actualiser mes données"

"io-transact-selection","Votre sélection "
"io-transact-cost","Médailles requises"
"io-transact-noFunds","Vous n’avez pas assez de médailles !"
"io-transact-crate-desc","Garder une caisse vous permettra de réutiliser cette caisse à l'infini pour vos futures expéditions."
"io-transact-explorerSlot-desc","Les emplacements de portrait permettent de stocker un portrait pour le réutiliser lors d'une prochaine expédition."
"io-transact-processing","En cours de traitement..."
"io-transact-success","Succès !"
"io-transact-failure","La transaction a échoué !"

"io-ruler-west","O"
"io-ruler-east","E"
"io-ruler-north","N"
"io-ruler-south","S"

"compass-e","Est"
"compass-ne","Nord-Est"
"compass-n","Nord"
"compass-nw","Nord-Ouest"
"compass-w","Ouest"
"compass-sw","Sud-Ouest"
"compass-s","Sud"
"compass-se","Sud-Est"

"tooltip-io-news","Nouveautés"
"tooltip-map-claims","Curiosités"
"tooltip-map-hubs","Avant-postes découvert"
"tooltip-map-pockets","Terrain"
"tooltip-map-timeline","Chronologie"
"tooltip-packs-recent","Plus récent"
"tooltip-packs-rarity","Rareté"
"tooltip-packs-type","Type"
"tooltip-score-claims","Curiosités"
"tooltip-score-goals","Pyramides"

"tile-newregion","Vous entrez dans une nouvelle région !"
"io-claim","Cette région a été cartographiée par"
"io-unclaimed","Région inconnue"
"io-claimed","Une nouvelle région a été découverte !"
"io-discovered","Une nouvelle région a été cartographiée !"
"io-manage-account","Gérer votre compte"
"io-claim-account","Demande de compte"
"io-evt-user","Nous avons [remarqué|trouvé|vu|découvert] des [effets personnels|objets|choses|articles divers], ainsi qu'un [journal intime|journal|livre] avec [un vieux titre|des mots effacés|des anciens marquages|des écritures anciennes|des lettres partiellement effacés] ""[L'expédition|Le journal|Le voyage|Le périple|L'aventure] de $playerName."" J'ai [espéré|prié] que notre [expédition|voyage|excursion|aventure] ne finirait pas comme ces pauvres bougres."
"io-highscores","Palmarès"
"io-highscores-top","Meilleurs scores"
"io-highscores-claims","Curiosités révélées"
"io-highscores-mine","Mes meilleurs scores"
"io-highscores-lifetime-score","Top 20"
"io-highscores-lifetime-goals","Le plus grand nombre de Pyramides"
"io-highscores-lifetime-goalspeed","Pyramides découvertes le plus rapidement"
"io-highscores-goals","Pyramide découverte"
"io-highscores-page","Page $page"
