"io-title","RIVALI"
"io-explored","$val% Scoperto"
"io-state-world","Mondo"
"io-currExped","La tua Spedizione Attuale"
"io-splash-continue","Continua la Spedizione"
"io-splash-new","Nuova Spedizione"
"io-exped-aborted","Hai interrotto la spedizione"
"io-hub-start","Avamposto di partenza"
"io-player-location","Provincia attuale"

"io-connection-lost","Connessione persa con il server dei RIVALI, si prega di aggiornare."
"io-connection-newVersion","C’è una nuova versione dei RIVALI, si prega di aggiornare."
"io-connection-newWorld","Il nuovo mondo è pronto! Si prega di aggiornare."

"io-newgame-start","Nuova Spedizione"
"io-newgame-slots","Slot Ritratti"
"io-newgame-slots-desc","Trascina e rilascia i ritratti di Esploratore per memorizzare o sostituire quello attualmente utilizzato."
"io-newgame-accessory","Accessori disponibili:"
"io-newgame-packs-title","Equipaggia la tua nuova Spedizione"
"io-newgame-packs-help","Seleziona le casse della spedizione per equipaggiare il tuo gruppo. Sperimenta con diverse combinazioni."
"io-newgame-outpost-confirm","Scegli l'attrezzatura"
"io-newgame-outpost-title","Scegli il tuo Avamposto di partenza"
"io-newgame-outpost-help","Seleziona un Avamposto sulla mappa del mondo da cui dovrebbe partire la tua spedizione."

"io-packs-available","Casse Spedizione Disponibili"
"io-packs-running","Attuali Casse della Spedizione"
"io-packs-selected","Casse della Spedizione selezionate"
"io-packs-items","Oggetti"
"io-packs-chars","Membri dell'escursione"
"io-packs-perks","Vantaggi"
"io-packs-overburden","Spazi d’inventario non sufficienti!"
"io-packs-overFilled","Spazi del personaggio non sufficienti!"
"io-packs-alreadyAdded","È già stata aggiunta una cassa di questo tipo!"
"io-packs-maximum","Non si possono aggiungere ulteriori casse al tuo gruppo!"
"io-pack-new","Nuova Cassa"
"io-pack-hold","Tieni la Cassa"
"io-pack-timer","Locked due to recent usage! Crate will be available again in $val."

"io-medals-buy","Acquista Medaglie"
"io-medals-buyHelp","tenere le Casse di Spedizione per un utilizzo illimitato."
"io-medals-use","Usa Medaglie"
"io-medals-help","Ottieni una medaglia in ogni mondo la prima volta che scopri una Regione."
"io-premium-medals-help","Ricevi medaglie scoprendo Regioni. $val scoperte prima della prossima medaglia."
"io-premium-medals-help-singular","Ricevi medaglie scoprendo Regioni. $val scoperta prima della prossima medaglia."
"io-medals-new","Nuova Medaglia!"
"io-medals-new-plural","$val Nuove Medaglie!"
"io-medals-reason-first-claim","Premiato per aver scoperto la tua prima Regione in un Mondo."
"io-medals-reason-claim","Discover $val more Regions for another medal."
"io-medals-reason-beta","Premiato per aver giocato durante la versione Beta."
"io-medals-reason-xsolla","Grazie per il tuo acquisto!"
"io-medals-reason-foundPyramid","Awarded for finding the Pyramid."
"io-medals-reason-topScore","Awarded for getting a top score in a previous world."
"io-medals-reason-keyActivation","Attivazione chiave riuscita!"
"io-medals-reason-foundHub","Awarded for Discovering an Outpost."
"io-shop-open","Acquisti"
"io-shop-unclaimed","Richiedi il tuo account per acquistare medaglie"
"io-shop-unverified","Verifica il tuo indirizzo email per acquistare medaglie"
"io-shop-refresh","Aggiorna i miei dati"

"io-transact-selection","La tua selezione"
"io-transact-cost","Medaglie richieste"
"io-transact-noFunds","Non hai abbastanza Medaglie!"
"io-transact-crate-desc","Tenendo una Cassa di Spedizione ti permetterà di equipaggiarla all'infinito nelle tue prossime spedizioni."
"io-transact-explorerSlot-desc","Gli slot ritratto slot possono essere utilizzati per memorizzare un ritratto cosi che tu possa utilizzarlo di nuovo nella tua prossima spedizione."
"io-transact-processing","Elaborazione"
"io-transact-success","Successo!"
"io-transact-failure","Transazione Fallita!"

"io-ruler-west","W"
"io-ruler-east","E"
"io-ruler-north","N"
"io-ruler-south","S"

"compass-e","Est"
"compass-ne","Nord-Est"
"compass-n","Nord"
"compass-nw","Nord-Ovest"
"compass-w","Ovest"
"compass-sw","Sud-Ovest"
"compass-s","Sud"
"compass-se","Sud-Est"

"tooltip-io-news","Notizie"
"tooltip-map-claims","Scoperte"
"tooltip-map-hubs","Avamposti scoperti"
"tooltip-map-pockets","Terreno"
"tooltip-map-timeline","Sequenza temporale"
"tooltip-packs-recent","Più Recente"
"tooltip-packs-rarity","Rarità"
"tooltip-packs-type","Tipo"
"tooltip-score-claims","Scoperte"
"tooltip-score-goals","Piramidi"

"tile-newregion","Nuova regione inserita!"
"io-claim","Regione scoperta da"
"io-unclaimed","Regione non scoperta"
"io-claimed","Regione Scoperta!"
"io-discovered","Regione Esplorata!"
"io-manage-account","Gestisci Account"
"io-claim-account","Richiedi Account"
