"io-title","RIVALS"
"io-explored","$val% 探索済み"
"io-state-world","世界"
"io-currExped","現在の遠征"
"io-splash-continue","遠征を続ける"
"io-splash-new","新しく遠征を始める"
"io-exped-aborted","あなたは遠征を中止した。"
"io-hub-start","遠征を開始する前哨基地"
"io-player-location","現在の地方"

"io-connection-lost","RIVALSサーバとの接続が途切れました。再接続してください。"
"io-connection-newVersion","新しいバージョンのRIVALSが存在します。更新を行ってください。"
"io-connection-newWorld","新しい世界の準備ができました！ゲームを更新してください。"

"io-newgame-start","新しく遠征を始める"
"io-newgame-slots","ポートレートスロット"
"io-newgame-slots-desc","ドラッグ＆ドロップで冒険者のポートレートをセット、または現在のものと交換できます。"
"io-newgame-accessory","有効なアクセサリー："
"io-newgame-packs-title","新しい遠征を準備"
"io-newgame-packs-help","あなたのパーティーのために仕度する遠征用木箱を選択してください。ゲームのたびに様々な組み合わせを試してみてください。"
"io-newgame-outpost-confirm","装備品を選択する"
"io-newgame-outpost-title","遠征を開始する前哨基地を選択して下さい。"
"io-newgame-outpost-help","ワールドマップからあなたの遠征を開始する前哨基地を選択して下さい。"

"io-packs-available","利用可能な遠征用木箱"
"io-packs-running","現在の遠征用木箱"
"io-packs-selected","選択中の遠征用木箱"
"io-packs-items","アイテム"
"io-packs-chars","パーティーメンバー"
"io-packs-perks","パーク"
"io-packs-overburden","アイテムスロットが一杯です！"
"io-packs-overFilled","パーティーメンバーが一杯です！"
"io-packs-alreadyAdded","この木箱はすでに追加済みです！"
"io-packs-maximum","これ以上木箱を追加できません！"
"io-pack-new","新しい木箱"
"io-pack-hold","木箱を確保する"
"io-pack-timer","最近の使用によりロックされました！木箱は$valで再び利用可能になります。"

"io-medals-buy","メダルを購入する"
"io-medals-buyHelp","以降の遠征で永続的に使用するために、この木箱を確保することができます。"
"io-medals-use","メダルを使用"
"io-medals-help","それぞれの世界で新たな地域を最初に発見するたびに、メダルを手に入れることができます。"
"io-premium-medals-help","地域を発見することでメダルを獲得できます。次のメダルを獲得するためには、$valつの地域を発見しなければなりません。"
"io-premium-medals-help-singular","地域を発見することでメダルを獲得できます。次のメダルを獲得するためには、$valつの地域を発見しなければなりません。"
"io-medals-new","メダルを手に入れました！"
"io-medals-new-plural","$val枚のメダルを手に入れました！"
"io-medals-reason-first-claim","新しい地域を発見したことへの報酬"
"io-medals-reason-claim","別のメダルを獲得するには、さらに$valつの地域を発見してください。"
"io-medals-reason-beta","ベータ版を遊んだことへの報酬"
"io-medals-reason-xsolla","ご購入ありがとうございます！"
"io-medals-reason-foundPyramid","ピラミッドを見つけたことへの報酬。"
"io-medals-reason-topScore","前世界で最高スコアを取っｔたことへの報酬。"
"io-medals-reason-keyActivation","キーコードの有効化に成功しました！"
"io-medals-reason-foundHub","前哨基地を発見したことへの報酬。"
"io-shop-open","購入"
