"io-title","경쟁자"
"io-explored","$val% 발견됨"
"io-state-world","세계"
"io-currExped","현재 진행중인 탐험"
"io-splash-continue","탐험을 계속한다"
"io-splash-new","새로운 탐험"
"io-exped-aborted","당신은 탐험을 취소했습니다"
"io-hub-start","시작할 전초기지"
"io-player-location","현재 지역"

"io-connection-lost","서버와의 접속이 끊어졌습니다. 새로고침을 해 주세요."
"io-connection-newVersion","새로운 버전의 큐리어스 익스페디션: 경쟁자가 나왔습니다. 새로고침을 해 주세요."
"io-connection-newWorld","새로운 세계가 준비되었습니다! 새로고침을 해 주세요."

"io-newgame-start","새로운 탐험"
"io-newgame-slots","초상화 슬롯"
"io-newgame-slots-desc","탐험가의 초상화를 끌어 놓아 저장하거나 현재 사용중인 초상화와 바꿉니다."
"io-newgame-accessory","사용 가능한 액세서리:"
"io-newgame-packs-title","새로운 탐험대의 장비를 맞춰주세요"
"io-newgame-packs-help","당신의 탐험대를 위한 탐험 상자를 선택하세요. 다양한 조합을 실험해 보세요."
"io-newgame-outpost-confirm","장비를 선택한다"
"io-newgame-outpost-title","탐험을 시작할 전초기지를 골라주세요"
"io-newgame-outpost-help","세계 지도에서 당신의 탐험이 시작될 전초기지를 선택하세요."

"io-packs-available","사용할 수 있는 탐험 상자"
"io-packs-running","당신의 탐험 상자"
"io-packs-selected","선택된 탐험 상자"
"io-packs-items","아이템"
"io-packs-chars","탐험대원"
"io-packs-perks","특성"
"io-packs-overburden","물품 칸이 충분하지 않습니다!"
"io-packs-overFilled","캐릭터 슬롯이 충분하지 않습니다!"
"io-packs-alreadyAdded","이미 같은 종류의 상자를 추가했습니다!"
"io-packs-maximum","탐험대에 더 많은 상자를 추가할 수 없습니다!"
"io-pack-new","새로운 상자"
"io-pack-hold","상자를 고정한다"
"io-pack-timer","사용한 지 얼마 되지 않아 잠겼습니다! $val 후에 다시 사용 가능합니다."

"io-medals-buy","메달을 구매한다"
"io-medals-buyHelp","상자를 고정시켜 무한히 사용하세요."
"io-medals-use","메달을 사용한다"
"io-medals-help","당신이 처음으로 지역을 발견했을 때 세계당 하나의 메달을 얻을 수 있습니다."
"io-premium-medals-help","지역들을 발견하면 메달을 얻게 됩니다. 다음 메달을 얻으려면 $val 번만큼 더 많은 발견을 해야 합니다."
"io-premium-medals-help-singular","지역들을 발견하면 메달을 얻게 됩니다. 다음 메달을 얻으려면 $val 번만큼 더 많은 발견을 해야 합니다."
"io-medals-new","새로운 메달!"
"io-medals-new-plural","$val 개의 새로운 메달!"
"io-medals-reason-first-claim","이번 세계에서 당신이 첫 지역을 발견하여 얻었습니다."
"io-medals-reason-claim","메달을 얻으려면 $val 번만큼 더 발견해야 합니다"
"io-medals-reason-beta","베타 기간 동안 게임을 플레이하여 얻었습니다."
"io-medals-reason-xsolla","구매해 주셔서 감사합니다!"
"io-medals-reason-foundPyramid","피라미드를 찾아낸 데 대한 보상입니다."
"io-medals-reason-topScore","이전 세계에서 가장 많은 점수를 획득한 데 대한 보상입니다."
"io-medals-reason-keyActivation","키 인증 성공!"
"io-medals-reason-foundHub","전초기지를 발견하여 받은 보상입니다."
"io-shop-open","쇼핑 중"
"io-shop-unclaimed","메달을 구입하려면 계정을 등록해 주세요"
"io-shop-unverified","메달 구매를 위해 이메일을 등록해 주세요"
"io-shop-refresh","나의 데이터를 새로고침한다"

"io-transact-selection","당신의 선택"
"io-transact-cost","필요한 메달"
"io-transact-noFunds","충분한 메달을 가지고 있지 않습니다!"
"io-transact-crate-desc","탐험 상자를 고정하면 앞으로의 탐험마다 무한히 장비할 수 있습니다."
"io-transact-explorerSlot-desc","초상화 슬롯은 탐험가의 초상화를 저장하여 다음 탐험에서도 다시 사용할 수 있게 합니다."
"io-transact-processing","처리 중"
"io-transact-success","성공!"
"io-transact-failure","처리에 실패했습니다!"

"io-ruler-west","W"
"io-ruler-east","E"
"io-ruler-north","N"
"io-ruler-south","S"

"compass-e","동쪽"
"compass-ne","북동쪽"
"compass-n","북쪽"
"compass-nw","북서쪽"
"compass-w","서쪽"
"compass-sw","남서쪽"
"compass-s","남쪽"
"compass-se","남동쪽"

"tooltip-io-news","뉴스"
"tooltip-map-claims","발견한 사람"
"tooltip-map-hubs","발견한 전초기지"
"tooltip-map-pockets","지형"
"tooltip-map-timeline","타임라인"
"tooltip-packs-recent","최근에 사용"
"tooltip-packs-rarity","희귀도"
"tooltip-packs-type","종류"
"tooltip-score-claims","발견 수"
"tooltip-score-goals","피라미드"

"tile-newregion","새로운 지역에 입장했습니다!"
"io-claim","다음 탐험가가 발견한 지역:"
"io-unclaimed","알려지지 않은 지역"
"io-claimed","지역을 발견했습니다!"
"io-discovered","지역을 탐험했습니다!"
"io-manage-account","계정 관리"
"io-claim-account","계정 청구"
"io-evt-user","우리들은 ""$playerName 의 [탐험|일지|여행|여정|모험]"" 이라는 희미한 [제목이|단어가|표시가|한 줄이|글자가] 적혀 있는 [일기가|일지가|책이] 포함된 약간의 [개인 소지품을|개인 물품을|개인 물건들을|잡다한 물건들을] [확인했다|찾아냈다|보았다|발견했다]. 나는 [우리들의 탐험이|우리들의 여행이|우리들의 여정이|우리들의 모험이] 이들처럼 끝나지 않기를 [바랐다|기도했다]."
"io-highscores","최고 점수"
"io-highscores-top","최고 득점 순위"
"io-highscores-claims","최고 발견 수"
"io-highscores-mine","내 최고 점수"
"io-highscores-lifetime-score","가장 많이 얻은 점수"
"io-highscores-lifetime-goals","최대 피라미드 발견 수"
"io-highscores-lifetime-goalspeed","가장 빠른 피라미드 발견 기록"
"io-highscores-goals","피라미드 발견 순위"
"io-highscores-page","$page 장"
"io-help-standing","부정적인 평판은 유지되지 않습니다. 나쁜 행동들은 시간이 지나면서 잊힐 것입니다."
"io-hub-name","전초기지"
"io-hub-approach-action","전초기지를 연다"
"io-hub-enter-action","전초기지에 들어간다"
"io-hub-unlocked","$val 곳의 전초기지를 발견했습니다!"

"io-user-best-score","가장 명성높은 탐험"
"io-user-best-claims","하나의 세계에서 가장 많이 발견한 지역 수"
"io-user-best-pyramid-rank","가장 높은 피라미드 발견 등수"
"io-user-best-pyramid-time","가장 빠른 피라미드 발견"
"io-user-best-pyramid-count","피라미드 발견 수"
"io-user-best-num-expeditions","탐험한 횟수"
"io-user-best-num-worlds","탐험한 세계 수"
"io-user-best-num-claims","발견한 지역 수"
"io-user-best-num-hubs","발견한 전초기지 수"

"io-pyramid-unclaimed","경쟁자들의 세계에서는 오직 하나의 황금 피라미드만이 존재합니다. 피라미드가 발견된 후에는, 세계의 끝을 알리는 제한 시간이 생기게 될 것입니다."

"io-livelog-claim","$segment 의 한 지역이 다음 유저에 의해 발견되었습니다: $user ($xCoord, $yCoord)"
"io-livelog-death","$segment 에서의 $user 의 [탐험이|여정이|모험이|여행이] $days 일 동안 $fame 명성을 얻은 채로 [끝났습니다|끝나고 말았습니다|실패했습니다|끝장났습니다|비극으로 끝나고 말았습니다|실패로 끝났습니다|끝에 도달하고 말았습니다]."
"io-livelog-newTopScore","$user 의 [놀라운|감동적인|훌륭한|대단한|경이로운|말도 안되는|굉장한|아름다운] [탐험이|여행이|모험이|여정이] $fame 명성을 얻어 가장 유명해졌습니다!"
"io-livelog-newTopClaims","$user 의 [놀라운|감동적인|훌륭한|대단한|경이로운|말도 안되는|굉장한|아름다운] [탐험이|여행이|모험이|여정이] $claims 지역을 발견해 가장 많은 발견을 해냈습니다!"
"io-livelog-newTrek","$user 이(가) $segment 에서 새로운 [탐험을|여행을|모험을|여정을] 시작했습니다"
"io-livelog-unlockedOutpost","$oldname 은(는) 전초기지가 발견되면서 이제 $newname 으로 [알려지게 되었습니다|불리게 되었습니다|이름지어졌습니다]"
"io-livelog-foundSeal","$user 이/가 $segment 의 $xCoord, $yCoord 에서 황금 [봉인에 도달했습니다|봉인을 찾았습니다|봉인을 발견했습니다|봉인을 탐사했습니다]."
"io-livelog-goal-unlock","$user 이(가) 황금 피라미드에 도착했습니다!"
"io-goldenSeal","빛으로 이루어진 기둥은 $pyramidDir 으로 향하고 있는 것으로 보였다. 빛은 잠시 뒤 반짝하고 사라졌다. [만약 그쪽으로 간다면 우리들은 무엇을 찾아낼 수 있을까?|나는 우리들이 그곳으로 가야만 하는지 궁금해했다.|나는 저 빛을 따라가는 것이 좋지 못한 생각이라고 확신했다.|나는 만약 그쪽으로 가게 된다면 오직 끔찍한 일들만이 일어날 수 있을 것이라는 상상을 했다.|우리들이 저 빛을 따라간다면, 반드시 영광을 찾아낼 수 있을 것이다!]"

"io-salvage-verb","수습한다"

"io-hub-first","빠르게 흘러가는 강줄기를 따라가는 이상한 여행 끝에, 나는 _$segmentname_ 의 _전초기지에_ 도착했다. 날 이곳으로 보낸 _탐험가_ _클럽에서_ 내게 이 드넓은 땅을 탐사할 수 있는 장비들을 지급해 주기는 했지만, 내가 어째서 이런 곳에 와야 하는 지에 대해서는 별로 알려주지 않았다. 이제는 앞으로 나아갈 단 하나의 길만이 놓여 있다: 바로 나가서 탐험을 떠나는 것이다! 모험이 기다린다!"
"io-hub-enter","나는 _$segmentname_ 의 _전초기지에_ 도착하고 나서 곧바로 편안함을 느꼈다. 여기에는 내가 이용할 만한 좋은 서비스들이 많이 있었다."
"io-hub-main","나는 아직 _전초기지_ 안에 있었다. 나가기 전에 반드시 준비를 철저히 해야 한다는 것은 알고 있었다. 이제 여기서 더 해야 할 일이 무엇일까?"
"io-hub-main-action","전초기지로 돌아간다"

"io-hub-healUnits-action","병동을 방문한다"
"io-hub-healUnits-enter","나는 병동을 방문했다. 의사 한 명이 다가와서 치료가 필요한 사람이 있는지 물었다."
"io-hub-healUnits-return","의사는 나에게 더 필요한 것이 있는지 물었다."
"io-hub-healUnits-treatUnit","$name 을/를 치료한다"
"io-hub-healUnits-deal","의사는 $name 이/가 겪고 있던 모든 물리적, 정신적 고통들을 치료해 주었다. $그는 마치 새로 태어난 사람처럼 보였다."

"io-hub-ask-action","이 지역에 대해 질문한다"
"io-hub-ask-return","다른 질문을 한다"
"io-hub-ask-main","모든 전초기지들에는 _증표의_ _하인들이_ 있다. 바보같은 질문에 답하는 것이 그들의 주된 임무는 아니겠지만, 어쨌든 경멸스러운 표정을 지은 채로 답해줄 것이다."
"io-hub-ask-return-txt","_증표의_ _하인은_ 조용히 이쪽을 쳐다보았고, 다른 질문을 하도록 놔두었다."
"io-hub-ask-regions","지역에 대해 물어본다"
"io-hub-ask-outposts","전초기지에 대해 물어본다"
"io-hub-ask-pyramid","황금 피라미드에 대해 물어본다"
"io-hub-ask-crates","상자에 대해 물어본다"
"io-hub-ask-medals","메달에 대해 물어본다"
"io-hub-ask-provinces","구역에 대해 물어본다"
"io-hub-ask-badges","증표에 대해 물어본다"
"io-hub-ask-fame","명성에 대해 물어본다"
"io-hub-ask-regions-txt","하인은 다음과 같이 설명했다: 이 세계는 같은 크기의 _지역으로_ 나뉘어 있습니다. 모든 지역들에는 좌표가 할당되어 있습니다. 예를 들면, 이 전초기지는 $currentRegion 좌표에 놓여 있지요. 지역 한 곳을 완전히 발견하려면, 그냥 그 지역에 있는 모든 장소들을 발견하면 됩니다. 그렇게 된다면 그 지역은 당신, 즉 $name 께서 발견한 지역으로 표시될 것이고, 당신께선 좀 더 유명해지시게 되겠죠. 발견된 지역은 당신의 _경쟁자들에게도_ 보이게 될 것이고, 모든 사람들의 _세계_ _지도에도_ 표시될 겁니다."
"io-hub-ask-outposts-txt","하인은 다음과 같이 설명했다: _전초기지는_ 이 낮선 땅에서 _탐험가_ _클럽이_ 만들어낸 문명의 흔적이 있는 단편이라고 할 수 있지요. 이곳을 포함한 모든 전초기지는 흐르는 _강_ 안쪽에 위치해 있고, 모든 전초기지들은 그 강으로 연결되어 있습니다. 다른 전초기지를 찾으려면 강을 따라가시거나, 당신께서 가지고 계신 나침반이 발견되지 않은 전초기지들 중 가장 가까운 곳을 가리킬 테니, 그걸 확인하시는 것도 좋습니다. 만약 당신, $name 께서 전초기지를 발견하신 첫 번째 사람이시라면, 그 전초기지에는 당신의 이름이 붙게 될 겁니다! 하지만, 당신의 _경쟁자들이_ 당신 발자취를 따라서 더 쉽게 다음 탐험을 시작할 수 있게 될 수도 있겠지요."
"io-hub-ask-pyramid-txt","하인은, 눈에서 진정한 의미의 [흥분을|긴장감을|두려움을|희망을|공포를|의구심을|어리둥절함을|적대감을|지루함을] 드러내면서 다음과 같이 설명했다: 이 세계에는 오직 단 하나만의 _황금_ _피라미드가_ 존재합니다! 그걸 찾기 위해서는, 우선 황금 봉인을 찾아서 피라미드로 가는 길을 밝혀야 할 것입니다만, 봉인은 오직 가장 위험한 구역들에만 찾을 수 있다는 사실을 기억하셔야 할 겁니다. 당신 또는 _경쟁자들이_ 피라미드를 발견한다면, 이 세계의 끝이 가까워질 것입니다만, 너무 안달내실 필요는 없습니다! 새로운 세계가 곧 그 자리를 대신할 테니 말이죠."
"io-hub-ask-crates-txt","하수인이 다음과 같이 설명했다: 당신께서 탐험하면서 장소들을 계속 발견해 나가신다면, 새로운 _상자가_ 수여될 것입니다. 지금의 탐험대에는 그다지 쓸모가 없을 것입니다만, 다음 탐험 때 상자를 이용해서 탐험대의 장비를 갖추실 수 있을 겁니다."
"io-hub-ask-medals-txt","하수인은 다음과 같이 설명했다: $name, 당신께서는 지역이나 그 외 다른 것들을 발견할 때마다 그 보상으로 _메달을_ 받게 될 것입니다. 메달을 이용해서 당신께서 가진 상자들을 _고정시킬_ 수 있을 겁니다. 고정된 상자들은 한 번 사용할 때마다 없어지지 않고, 영원히 사용할 수 있을 겁니다."
"io-hub-ask-provinces-txt","하수인은 다음과 같이 설명했다: 지역들 여러 곳이 모인 것을 _구역이라고_ 합니다만, 탐험의 난이도에 따라 서로 다르게 구분되어 있지요. 이 전초기지는 $segmentname 이라고 불리는 구역에 있습니다. 당신께서 새로운 구역에 들어가시게 된다면 그 구역의 이름과 난이도가 나타나는 것을 확인하실 수 있을 겁니다. 모든 구역들에 반드시 전초기지가 존재하는 것이 아니라는 사실은 기억해 두셔야 할 겁니다."
"io-hub-ask-badges-txt","하인은 다음과 같이 설명했다: 일부 상자들은 _증표라는_ 물건을 가지고 있습죠. 증표는 새로운 탐험대에게 새로운 기회를 만들어 주기 위해 그럭저럭 잘 장비하도록 도움을 줄 수 있으니, 이 미천한 _증표의_ _하인이_ 기꺼운 마음으로 도와드리겠습니다."
