"io-title","RYWALE"
"io-explored","$val% Odkryty"
"io-state-world","Świat"
"io-currExped","Twoja obecna ekspedycja"
"io-splash-continue","Kontynuuj ekspedycję"
"io-splash-new","Nowa ekspedycja"
"io-exped-aborted","Zrezygnowałeś z wyprawy"
"io-hub-start","Miejsce Startowe"
"io-player-location","Obecna Prowincja"

"io-connection-lost","Stracono połączenie z serwerami RIVALS, proszę odświeżyć stronę."
"io-connection-newVersion","Dostępna jest nowa wersja RIVALS, proszę odświeżyć stronę."
"io-connection-newWorld","Nowy świat jest gotowy! Proszę odświeżyć stronę."

"io-newgame-start","Nowa ekspedycja"
"io-newgame-slots","Rama na portret"
"io-newgame-slots-desc","Przeciągnij & Upuść portrety Eksploratora, aby zapisać lub zastąpić aktualnie używanego."
"io-newgame-accessory","Dostępne akcesoria:"
"io-newgame-packs-title","Wyposaż swoją nową ekspedycję"
"io-newgame-packs-help","Wybierz skrzynie ekspedycji, aby wyposażyć swoją drużynę. Eksperymentuj z różnymi ich kombinacjami."
"io-newgame-outpost-confirm","Wybierz ekwipunek"
"io-newgame-outpost-title","Wybierz startowy posterunek"
"io-newgame-outpost-help","Wybierz posterunek na mapie świata, z którego Twoja ekspedycja powinna się zaczynać."

"io-packs-available","Dostępne skrzynie ekspedycji"
"io-packs-running","Bieżące Skrzynie Ekspedycyjne"
"io-packs-selected","Wybrane Skrzynie Ekspedycyjne"
"io-packs-items","Przedmioty"
"io-packs-chars","Członkowie załogi"
"io-packs-perks","Dodatki"
"io-packs-overburden","Brak miejsca w inwentarzu!"
"io-packs-overFilled","Brak miejsca na przedmioty postaci!"
"io-packs-alreadyAdded","Dodałeś już skrzynię tego typu!"
"io-packs-maximum","Nie można dodać więcej skrzyń do Twojej grupy!"
"io-pack-new","Nowa Skrzynia"
"io-pack-hold","Zachowaj Skrzynię"
"io-pack-timer","Zablokowana z powodu niedawnego użycia! Skrzynia będzie znowu dostępna za $val."

"io-medals-buy","Kup medale"
"io-medals-buyHelp","aby zachować Skrzynie ekspedycji na nieskończony czas użytkowania."
"io-medals-use","Wykorzystaj medale"
"io-medals-help","Zdobywasz jeden medal w każdym świecie, gdy pierwszy raz odkrywasz Region."
"io-premium-medals-help","Zdobywasz medale odkrywając Regiony. $val odkrycia do następnego medalu."
"io-premium-medals-help-singular","Zdobywasz medale odkrywając Regiony. $val odkrycia do następnego medalu."
"io-medals-new","Nowy medal!"
"io-medals-new-plural","$val nowych medali!"
"io-medals-reason-first-claim","Nagrodzony za odkrycie Twojego pierwszego regionu na świecie."
"io-medals-reason-claim","Odkrywaj $val więcej Regionów, aby zdobyć następny medal."
"io-medals-reason-beta","Nagrodzony za granie podczas wersji Beta gry."
"io-medals-reason-xsolla","Dziękujemy za zakup!"
"io-medals-reason-foundPyramid","Nagrodzony za znalezienie Piramidy."
"io-medals-reason-topScore","Nagrodzony za zdobycie najwyższego punktu w poprzednim świecie."
"io-medals-reason-keyActivation","Pomyślnie aktywowano klucz!"
"io-medals-reason-foundHub","Nagrodzony za odkrycie Posterunku."
"io-shop-open","Zakupy"
"io-shop-unclaimed","Załóż swoje konto, by kupić Medale"
"io-shop-unverified","Zweryfikuj swój adres e-mail, aby móc kupić medale"
"io-shop-refresh","Odśwież dane"

"io-transact-selection","Twój wybór"
"io-transact-cost","Wymagane medale"
"io-transact-noFunds","Nie masz wystarczająco dużo medali!"
"io-transact-crate-desc","Posiadanie Skrzyni Ekspedycyjnej pozwoli ci wyposażać ją w nieskończoność podczas nadchodzących wypraw."
"io-transact-explorerSlot-desc","Okienka Portretowe mogą służyć do przechowywania Portretu, dzięki czemu można go użyć ponownie podczas nadchodzącej wyprawy."
"io-transact-processing","Przetwarzanie"
"io-transact-success","Sukces!"
"io-transact-failure","Transakcja zakończyła się niepowodzeniem!"

"io-ruler-west","Zach"
"io-ruler-east","Wsch"
"io-ruler-north","Pół"
"io-ruler-south","Płd"

"compass-e","Wschód"
"compass-ne","Północny wschód"
"compass-n","Północ"
"compass-nw","Północny zachód"
"compass-w","Zachód"
"compass-sw","Południowy zachód"
"compass-s","Południe"
"compass-se","Południowy wschód"

"tooltip-io-news","Aktualności"
"tooltip-map-claims","Odkrycia"
"tooltip-map-hubs","Odnalezione posterunki"
"tooltip-map-pockets","Teren"
"tooltip-map-timeline","Oś czasu"
"tooltip-packs-recent","Ostatnie"
"tooltip-packs-rarity","Rzadkość"
"tooltip-packs-type","Typ"
"tooltip-score-claims","Odkrycia"
"tooltip-score-goals","Piramidy"

"tile-newregion","Wkroczono na nowy region!"
"io-claim","Region odkryty przez"
"io-unclaimed","Nieodkryty region"
"io-claimed","Region odkryty!"
"io-discovered","Region zbadany!"
"io-manage-account","Zarządzaj kontem"
"io-claim-account","Załóż Konto"
"io-evt-user","[Zauważyliśmy|Znaleźliśmy|Zobaczyliśmy|Odkryliśmy] trochę prywatnych [klamotów|przedmiotów|rzeczy|rozmaitości], włącznie z [pamiętnikiem|dziennikiem|książką] z [wyblakłym tytułem|wyblakłymi słowami|wyblakłymi znakami|wyblakłym rękopisem|wyblakłymi literami] ""[Ekspedycja|Dziennik|Wyprawa|Wędrówka|Przygoda] $playerName."" [Mam nadzieję|Modlę się], aby nasza [ekspedycja|wyprawa|wędrówka|przygoda] nie zakończyła się tak jak ich."
"io-highscores","Najlepsze wyniki"
"io-highscores-top","Najlepsze wyniki"
"io-highscores-claims","Najwięcej odkryć"
"io-highscores-mine","Moje najlepsze wyniki"
"io-highscores-lifetime-score","Najlepszy Wynik"
"io-highscores-lifetime-goals","Większość Piramid"
"io-highscores-lifetime-goalspeed","Najszybsze Piramidy"
"io-highscores-goals","Odkrycia piramid"
"io-highscores-page","Strona $page"
"io-help-standing","Negatywna reputacja nie utrzymuje się wiecznie: złe działania będą z czasem zapominane"
"io-hub-name","Posterunek"
"io-hub-approach-action","Odblokowane posterunki"
"io-hub-enter-action","Wejdź do posterunku"
"io-hub-unlocked","Posterunek $val odkryty!"

"io-user-best-score","Najsłynniejsza Ekspedycja"
"io-user-best-claims","Większość Regionów w jednym Świecie"
"io-user-best-pyramid-rank","Ranking Najlepszych Odkrytych Piramid"
"io-user-best-pyramid-time","Najszybciej Odkryte Piramidy"
"io-user-best-pyramid-count","Liczba Odkrytych Piramid"
"io-user-best-num-expeditions","Liczba Ekspedycji"
"io-user-best-num-worlds","Liczba zagranych światów"
"io-user-best-num-claims","Całkowita Liczba Regionów"
"io-user-best-num-hubs","Liczba Odkrytych Posterunków"

"io-pyramid-unclaimed","W świecie Rywali istnieje jedna Złota Piramida. Gdy zostanie odkryta włączy się stoper sygnalizujący koniec świata."

"io-livelog-claim","Region w $segment został odkryty przez $user ($xCoord, $yCoord)"
"io-livelog-death","[Ekspedycja|Wyprawa|Przygoda|Podróż] $user [dobiegła końca|jest zakończona|nie powiodła się|zakończyła się|zakończyła się tragicznie|zakończyła się niepowodzeniem|dobiegła końca] w $segment po $days dniach z $fame liczbą punktów sławy"
"io-livelog-newTopScore","[Niesamowita|Imponująca|Znakomita|Imponująca|Fenomenalna|Szalona|Genialna|Piękna] [ekspedycja|wyprawa|przygoda|podróż] $user jest teraz najbardziej sławną osiągając $fame punktów sławy!"
"io-livelog-newTopClaims","Ta[niesamowita|imponująca|znakomita|wspaniała|fenomenalna|szalona|genialna|piękna][ekspedycja|wyprawa|przygoda|podróż] $user użytkownika posiada teraz najwięcej odkryć osiągając$claims regionów!"
"io-livelog-newTrek","$user rozpoczął nową [ekspedycję|wyprawę|przygodę|podróż] w $segment"
"io-livelog-unlockedOutpost","$oldname jest teraz [znana jako|okrzyknięta|nazwana] $newname w związku z tym, że Posterunek został odkryty"
"io-livelog-foundSeal","$user [napotkał|znalazł|odkrył|zbadał] Złotą pieczęć w $segment na koordynatach $xCoord, $yCoord."
"io-livelog-goal-unlock","$user dotarł do Złotej piramidy!"
