"io-title","RIVALS"
"io-explored","Найдено: $val%"
"io-state-world","Мир"
"io-currExped","Ваша экспедиция"
"io-splash-continue","Продолжить экспедицию"
"io-splash-new","Новая экспедиция"
"io-exped-aborted","Вы прервали экспедицию"
"io-hub-start","Начальный аванпост"
"io-player-location","Текущая провинция"

"io-connection-lost","Нет подключения к серверу RIVALS. Восстановите подключение."
"io-connection-newVersion","Вышла новая версия RIVALS. Обновите игру."
"io-connection-newWorld","Новый мир готов! Обновите экран."

"io-newgame-start","Новая экспедиция"
"io-newgame-slots","Ячейки портретов"
"io-newgame-slots-desc","Перетаскивайте портреты, чтобы убрать или заменить текущий портрет."
"io-newgame-accessory","Доступные принадлежности:"
"io-newgame-packs-title","Оснастите новую экспедицию"
"io-newgame-packs-help","Выберите ящики, которые возьмете с собой в экспедицию. Попробуйте различные сочетания."
"io-newgame-outpost-confirm","Выберите снаряжение"
"io-newgame-outpost-title","Выберите начальный аванпост"
"io-newgame-outpost-help","Выберите на карте мире аванпост, из которого начнете экспедицию."

"io-packs-available","Доступные ящики экспедиции"
"io-packs-running","Текущие ящики экспедиции"
"io-packs-selected","Выбранные ящики экспедиции"
"io-packs-items","Предметы"
"io-packs-chars","Спутники"
"io-packs-perks","Черты"
"io-packs-overburden","Нет ячеек снаряжения!"
"io-packs-overFilled","Нет ячеек персонажей!"
"io-packs-alreadyAdded","Вы уже добавили ящик этого типа!"
"io-packs-maximum","Больше ящиков ваш отряд не унесет!"
"io-pack-new","Новый ящик"
"io-pack-hold","Сохранить ящик"
"io-pack-timer","Заблокировано ввиду недавнего использования! Ящик снова будет доступен через $val."

"io-medals-buy","Покупка медалей"
"io-medals-buyHelp","для того, чтобы использовать ящики экспедиции бесконечно."
"io-medals-use","Использовать медали"
"io-medals-help","В каждом мире вы получаете одну медаль, когда открываете новый регион."
"io-premium-medals-help","Вы получаете медали за открытие регионов. $val открытий до вашей следующей медали."
"io-premium-medals-help-singular","Вы получаете медали за открытие регионов. $val открытий до вашей следующей медали."
"io-medals-new","Новая медаль!"
"io-medals-new-plural","Новые медали: $val!"
"io-medals-reason-first-claim","Вручается за открытие первого региона."
"io-medals-reason-claim","Найдите еще $val регионов, чтобы получить медаль."
"io-medals-reason-beta","Вручается за игру в бета-версию."
"io-medals-reason-xsolla","Спасибо за покупку!"
"io-medals-reason-foundPyramid","Награда за открытие пирамиды."
"io-medals-reason-topScore","Награда за рекорд в предыдущем мире."
"io-medals-reason-keyActivation","Ключ активирован!"
"io-medals-reason-foundHub","Награда за открытие аванпоста."
"io-shop-open","Магазин"
"io-shop-unclaimed","Подтвердите учетную запись для покупки медалей"
"io-shop-unverified","Подтвердите адрес электронной почты для покупки медалей"
"io-shop-refresh","Обновить мои данные"

"io-transact-selection","Ваш выбор"
"io-transact-cost","Требуются медали"
"io-transact-noFunds","У вас недостаточно медалей!"
"io-transact-crate-desc","Сохраните ящик, чтобы использовать его постоянно в предстоящих экспедициях."
"io-transact-explorerSlot-desc","Используйте ячейки портретов для сохранения портрета. Так вы сможете снова его использовать в предстоящей экспедиции."
"io-transact-processing","Обработка"
"io-transact-success","Готово!"
"io-transact-failure","Покупка не удалась!"

"io-ruler-west","З"
"io-ruler-east","В"
"io-ruler-north","С"
"io-ruler-south","Ю"

"compass-e","Восток"
"compass-ne","Северо-восток"
"compass-n","Север"
"compass-nw","Северо-запад"
"compass-w","Запад"
"compass-sw","Юго-запад"
"compass-s","Юг"
"compass-se","Юго-восток"

"tooltip-io-news","Новости"
"tooltip-map-claims","Открытия"
"tooltip-map-hubs","Открытые аванпосты"
"tooltip-map-pockets","Местность"
"tooltip-map-timeline","Хронология"
"tooltip-packs-recent","Самые новые"
"tooltip-packs-rarity","Редкость"
"tooltip-packs-type","Тип"
"tooltip-score-claims","Открытия"
"tooltip-score-goals","Пирамиды"

"tile-newregion","Вы в новом регионе!"
"io-claim","Найден регион. Первооткрыватель:"
"io-unclaimed","Неизвестный регион"
"io-claimed","Найден регион!"
"io-discovered","Регион исследован!"
"io-manage-account","Управление учетной записью"
"io-claim-account","Подтвердить учетную запись"
"io-evt-user","Мы [замечаем|находим|видим|обнаруживаем] кое-какие [личные вещи|предметы|вещи|полезные мелочи], в том числе [дневник|журнал|книгу] с выцветшим [заголовком|названием|заглавием|текстом на обложке]: «$playerName и {его|ее} [экспедиция|мысли|путешествие|отряд|приключение]». [Надеюсь,|Пожалуйста, пусть] [наша экспедиция|наше путешествие|наш поход|наше приключение] закончится не столь плачевно."
"io-highscores","Рекорды"
"io-highscores-top","Лучшие результаты"
"io-highscores-claims","Больше всего открытий"
"io-highscores-mine","Мои рекорды"
"io-highscores-lifetime-score","Лучшие результаты"
"io-highscores-lifetime-goals","Больше всего пирамид"
"io-highscores-lifetime-goalspeed","Самые быстрые пирамиды"
"io-highscores-goals","Открытия пирамид"
"io-highscores-page","Стр. $page"
"io-help-standing","Дурная репутация не вечна. Плохие поступки со временем забываются."
"io-hub-name","Аванпост"
"io-hub-approach-action","Разблокировать аванпост"
"io-hub-enter-action","Посетить аванпост"
"io-hub-unlocked","Открыт аванпост $val!"

"io-user-best-score","Самая знаменитая экспедиция"
"io-user-best-claims","Больше всего регионов в одном мире"
"io-user-best-pyramid-rank","Лучший рейтинг открытия пирамид"
"io-user-best-pyramid-time","Самое быстрое открытие пирамиды"
"io-user-best-pyramid-count","Количество открытий пирамид"
"io-user-best-num-expeditions","Количество экспедиций"
"io-user-best-num-worlds","Пройдено миров"
"io-user-best-num-claims","Всего регионов"
"io-user-best-num-hubs","Найдено аванпостов"

"io-pyramid-unclaimed","В мире RIVALS есть одна золотая пирамида. После ее открытия запускается таймер, сигнализирующий о конце мира."

"io-livelog-claim","$user открывает регион в области света $segment по координатам $xCoord, $yCoord"
"io-livelog-death","[Экспедиция|Поход|Приключение|Путешествие] исследователя по имени $user [заканчивается|завершается|терпит неудачу|трагически обрывается|кончается трагедией|кончается неудачей|приходит к своему завершению] в области света $segment на $days-м дне странствий и приносит участникам $fame ед. славы"
