"io-title","RIVALS"
"io-explored","$val% Keşfedildi"
"io-state-world","Dünya"
"io-currExped","Şu anki seferin"
"io-splash-continue","Sefere devam et"
"io-splash-new","Yeni sefere başla"
"io-exped-aborted","Seferini iptal ettin"
"io-hub-start","Başlangıç Kampı"
"io-player-location","Mevcut Kamp"

"io-connection-lost","RIVALS sunucusu bağlantısı kesildi, lütfen yenileyin."
"io-connection-newVersion","RIVALS'in yeni sürümü mevcut, lütfen yenileyin."
"io-connection-newWorld","Yeni dünya hazır! Lütfen yenileyin."

"io-newgame-start","Yeni sefer"
"io-newgame-slots","Kayıt Yuvaları"
"io-newgame-slots-desc","Kullanılmakta olanı saklamak veya değiştirmek için Kaşif portrelerini Sürükle ve Bırak."
"io-newgame-accessory","Mevcut Aksesuarlar:"
"io-newgame-packs-title","Yeni keşiflerin için kuşan"
"io-newgame-packs-help","Partinizi desteklemek için sefer kasaları seçin. Farklı kombinasyonlarla deneme yapın."
"io-newgame-outpost-confirm","Ekipman seç"
"io-newgame-outpost-title","Başlangıç kampını seç"
"io-newgame-outpost-help","Yolculuğunuzun başlayacağı dünya haritası üzerinde bir karakol seçin."

"io-packs-available","Mevcut Sefer Kasaları"
"io-packs-running","Güncel Sefer Kasaları"
"io-packs-selected","Seçilmiş Sefer Kasaları"
"io-packs-items","Eşyalar"
"io-packs-chars","Trek Üyeleri"
"io-packs-perks","Yetenekler"
"io-packs-overburden","Yeterli stok yuvaları!"
"io-packs-overFilled","Yeterli karakter Yuvası yok!"
"io-packs-alreadyAdded","Zaten bu tür bir kasa eklendi!"
"io-packs-maximum","Partine daha fazla kasa ekleyemiyorum!"
"io-pack-new","Yeni Kasa"
"io-pack-hold","Kasa Tutun"
"io-pack-timer","Locked due to recent usage! Crate will be available again in $val."

"io-medals-buy","Madalya Satın Al"
"io-medals-buyHelp","sonsuz kullanım için Sefer Kasaları'nı tutmak."
"io-medals-use","Use Medals"
"io-medals-help","Bir Bölge'yi ilk defa keşfettiğinizde her dünyada bir madalya kazanırsınız."
"io-premium-medals-help","You get medals by discovering Regions. $val discoveries until your next medal."
"io-premium-medals-help-singular","You get medals by discovering Regions. $val discovery until your next medal."
"io-medals-new","Yeni Madalya!"
"io-medals-new-plural","$val Yeni Madalyalar!"
"io-medals-reason-first-claim","Dünyadaki ilk Bölgenizi keşfetmeye verilir."
"io-medals-reason-claim","Discover $val more Regions for another medal."
"io-medals-reason-beta","Beta sırasında oynamaya verilir."
"io-medals-reason-xsolla","Satın aldığınız için teşekkür ederiz!"
"io-medals-reason-foundPyramid","Awarded for finding the Pyramid."
"io-medals-reason-topScore","Awarded for getting a top score in a previous world."
"io-medals-reason-keyActivation","Anahtar aktivasyonu başarılı!"
"io-medals-reason-foundHub","Awarded for Discovering an Outpost."
"io-shop-open","Alışveriş"
"io-shop-unclaimed","Madalya almak için hesabınızı talep edin"
"io-shop-unverified","Madalya satın almak için e-posta hesabınızı doğrulayın"
"io-shop-refresh","Bilgilerimi yenile"

"io-transact-selection","Senin seçimin"
"io-transact-cost","Gerekli Madalyalar"
"io-transact-noFunds","Yeterli Madalyan yok!"
"io-transact-crate-desc","Bir Keşif Sandığı'nı tutmak, onu gelecek seferlerinizde sınırsız biçimde donatmanıza izin verecektir."
"io-transact-explorerSlot-desc","Portre Yuvaları, bir Portre'yi saklamak için kullanılabilir böylece onu gelecek seferinizde tekrar kullanabilirsiniz."
"io-transact-processing","İşleme"
"io-transact-success","Başarı!"
"io-transact-failure","İşlem Başarısız!"

"io-ruler-west","W"
"io-ruler-east","D"
"io-ruler-north","K"
"io-ruler-south","G"

"compass-e","Doğu"
"compass-ne","Kuzey-Doğu"
"compass-n","Kuzey"
"compass-nw","Kuzey-Batı"
"compass-w","Batı"
"compass-sw","Güney-Batı"
"compass-s","Güney"
"compass-se","Güney-Doğu"

"tooltip-io-news","Haberler"
"tooltip-map-claims","Keşifler"
"tooltip-map-hubs","Keşfedilen kamplar"
"tooltip-map-pockets","Arazi"
"tooltip-map-timeline","Zaman çizelgesi"
"tooltip-packs-recent","En son"
"tooltip-packs-rarity","Nadirlik"
"tooltip-packs-type","Tür"
"tooltip-score-claims","Keşifler"
"tooltip-score-goals","Piramitler"

"tile-newregion","Yeni bölgeye girdi!"
"io-claim","Bölgeyi keşfeden kişi"
"io-unclaimed","Keşfedilmemiş bölge"
"io-claimed","Bölge bulundu!"
"io-discovered","Bölge keşfedildi!"
"io-manage-account","Hesabı Yönet"
"io-claim-account","Hesabı talep et"
"io-evt-user","Biz soluk [başlıklı|kelimeli|işaretli|el yazılı|harfli] “$playerName'in [Seferi|Günlüğü|Yolculuğu|Göçü|Macerası]” başlıklı bir [günlük|anı defteri|kitabı] da dahil olmak üzere bazı kişisel [eşyalar|ürünler|giysiler|ufak tefek eşyalar] gördük. Ben keşif gezimizin onlarınki gibi bitmeyeceğini [ummuştum|dua etmiştim]."
"io-highscores","Yüksek skorlar"
"io-highscores-top","En Yüksek puanlar"
"io-highscores-claims","Çoğu keşifler"
"io-highscores-mine","My Best Scores"
"io-highscores-lifetime-score","Best Ever Scores"
