"io-title","СУПЕРНИКИ"
"io-explored","Відкрито $val%"
"io-state-world","Світ"
"io-currExped","Ваша поточна експедиція"
"io-splash-continue","Продовжити експедицію"
"io-splash-new","Нова експедиція"
"io-exped-aborted","Експедицію припинено"
"io-hub-start","Початкова застава"
"io-player-location","Поточна провінція"

"io-connection-lost","Немає з'єднання із сервером гри, оновіть сторінку."
"io-connection-newVersion","Є нова версія. Будь ласка, оновіть гру."
"io-connection-newWorld","Новий світ чекає на вас! Оновіть сторінку."

"io-newgame-start","Нова експедиція"
"io-newgame-slots","Фотогалерея"
"io-newgame-slots-desc","Перенесіть сюди фото дослідників, аби зберегти або змінити персонажа."
"io-newgame-accessory","Доступні предмети:"
"io-newgame-packs-title","Спорядіть нову експедицію"
"io-newgame-packs-help","Оберіть ящики для спорядження своєї команди. Поекспериментуйте з різними комбінаціями."
"io-newgame-outpost-confirm","Обрати спорядження"
"io-newgame-outpost-title","Обрати початкову заставу"
"io-newgame-outpost-help","Оберіть заставу на мапі світу, звідки почнеться ваша експедиція."

"io-packs-available","Доступні ящики для експедиції"
"io-packs-running","Наявні ящики для експедиції"
"io-packs-selected","Обрані ящики для експедиції"
"io-packs-items","Предмети"
"io-packs-chars","Учасники групи"
"io-packs-perks","Здатності"
"io-packs-overburden","Замало комірок для речей!"
"io-packs-overFilled","У персонажа замало комірок!"
"io-packs-alreadyAdded","Такий ящик вже додано!"
"io-packs-maximum","Більше ящиків до спорядження додати не можна!"
"io-pack-new","Новий ящик"
"io-pack-hold","Взяти ящик"
"io-pack-timer","Заблоковано після використання! Буде знову доступно через $val."

"io-medals-buy","Купити медалі"
"io-medals-buyHelp","щоб назавжди отримати ящики для експедицій."
"io-medals-use","Використати медалі"
"io-medals-help","Медаль можна отримати в кожному світі за першу відкриту територію."
"io-premium-medals-help","За відкриття територій здобуваєте медалі. Відкриттів до наступної медалі — $val."
"io-premium-medals-help-singular","За відкриття територій здобуваєте медалі. До наступної медалі — $val відкриття."
"io-medals-new","Нова медаль!"
"io-medals-new-plural","$val нових медалей!"
"io-medals-reason-first-claim","Нагорода за відкриття першої території у світі."
"io-medals-reason-claim","Відкрийте ще $val території, щоб здобути медаль."
"io-medals-reason-beta","Нагорода за тестування бета-версії."
"io-medals-reason-xsolla","Спасибі за покупку!"
"io-medals-reason-foundPyramid","Винагорода за знахідку Піраміди."
"io-medals-reason-topScore","Нагорода за найкращий результат у попередньому світі."
"io-medals-reason-keyActivation","Активація вдалася!"
"io-medals-reason-foundHub","Нагорода за відкриття застави."
"io-shop-open","Покупки"
"io-shop-unclaimed","Щоб купити медалі, активуйте акаунт"
"io-shop-unverified","Щоб купити медалі, підтвердьте електронну пошту"
"io-shop-refresh","Оновити свої дані"

"io-transact-selection","Ваш вибір"
"io-transact-cost","Потрібні медалі"
"io-transact-noFunds","У Вас не вистачає медалей!"
"io-transact-crate-desc","Отримавши ящик для експедицій, Ви зможете забезпечити спорядженням усі наступні експедиції."
"io-transact-explorerSlot-desc","У фотогалереї Ви можете зберегти персонажа до наступної експедиції."
"io-transact-processing","Обробка інформації"
"io-transact-success","Успіх!"
"io-transact-failure","Операція не вдалася!"

"io-ruler-west","Зх"
"io-ruler-east","Сх"
"io-ruler-north","Пн"
"io-ruler-south","Пд"

"compass-e","Схід"
"compass-ne","Північний схід"
"compass-n","Північ"
"compass-nw","Північний захід"
"compass-w","Захід"
"compass-sw","Південний захід"
"compass-s","Південь"
"compass-se","Південний схід"

"tooltip-io-news","Новини"
"tooltip-map-claims","Відкриття"
"tooltip-map-hubs","Відкриті застави"
"tooltip-map-pockets","Територія"
"tooltip-map-timeline","Хроніка"
"tooltip-packs-recent","Нещодавнє"
"tooltip-packs-rarity","Рідкість"
"tooltip-packs-type","Вид"
"tooltip-score-claims","Відкриття"
"tooltip-score-goals","Піраміди"

"tile-newregion","Ви зайшли у новий регіон!"
"io-claim","Регіон відкрито"
"io-unclaimed","Недосліджений регіон"
"io-claimed","Регіон відкрито!"
"io-discovered","Регіон досліджено!"
"io-manage-account","Керування акаунтом"
"io-claim-account","Активація акаунта"
"io-evt-user","Ми [помітили|знайшли|побачили|роздобули] чиїсь особисті [пожитки|предмети|речі|дрібнички], зокрема [щоденник|журнал|книгу] із затертим [заголовком|титульним написом|надписом|підписом|найменуванням] «$playerName: [експедиція|журнал|подорож|поїздка|пригода]». [Надіюся|сподіваюся], що наша [експедиція|подорож|поїздка|пригода] не закінчиться так, як їхня."
"io-highscores","Рекорди"
"io-highscores-top","Найкращі результати"
"io-highscores-claims","Більшість досліджень"
"io-highscores-mine","Мій найкращий рахунок"
"io-highscores-lifetime-score","Най-найкращі результати"
"io-highscores-lifetime-goals","Найбільше пірамід"
"io-highscores-lifetime-goalspeed","Найскорше знайдені піраміди"
"io-highscores-goals","Відкриття пірамід"
"io-highscores-page","Сторінка $page"
"io-help-standing","Погана репутація не вічна: погані вчинки з часом забуваються"
"io-hub-name","Застава"
"io-hub-approach-action","Розблокувати заставу"
"io-hub-enter-action","Зайти на заставу"
"io-hub-unlocked","Відкрито $val застав!"

"io-user-best-score","Найславетніша експедиція"
"io-user-best-claims","Найбільше територій за один світ"
"io-user-best-pyramid-rank","Найкращий рівень відкриття пірамід"
"io-user-best-pyramid-time","Найшвидше знаходження пірамід"
"io-user-best-pyramid-count","Кількість знайдених пірамід"
"io-user-best-num-expeditions","Кількість експедицій"
"io-user-best-num-worlds","Кількість пройдених світів"
"io-user-best-num-claims","Територій загалом"
"io-user-best-num-hubs","Кількість знайдених застав"

"io-pyramid-unclaimed","У світі RIVALS лише одна Золота піраміда. Щойно її буде знайдено, почнеться відлік до кінця світу."

"io-livelog-claim","Регіон на території $segment відкриває $user ($xCoord, $yCoord)"
"io-livelog-death","[Експедиція|Поїздка|Пригода|Подорож] під проводом мандрівника $user [завершилася|скінчилася|провалилася|закінчилася|трагічно завершилася|невдало скінчилася|добігла кінця] на території $segment за $days днів, маючи $fame слави"
"io-livelog-newTopScore","Ця [неймовірна|приголомшлива|прекрасна|чудесна|незрівнянна|шалена|чудова|дивовижна] [експедиція|поїздка|пригода|подорож], яку веде $user, стала дуже відома та має $fame слави!"
"io-livelog-newTopClaims","Ця [неймовірна|приголомшлива|прекрасна|чудесна|незрівнянна|шалена|чудова|дивовижна] [експедиція|поїздка|пригода|подорож], яку веде $user, має найбільше відкриттів — $claims регіонів!"
"io-livelog-newTrek","$user починає нову [експедицію|поїздку|пригоду|подорож] на території $segment"
"io-livelog-unlockedOutpost","Тепер, після відкриття застави, $oldname [зветься|має ім'я|іменується як] $newname"
"io-livelog-foundSeal","$user [натрапляє на|знаходить|бачить|досліджує] золоту печатку на території $segment на $xCoord, $yCoord."
"io-livelog-goal-unlock","$user знаходить золоту піраміду!"
"io-goldenSeal","З'явився стовп світла, вказуючи, де $pyramidDir, і за мить погас. [Що ми знайдемо, якщо підемо в той бік?|Цікаво, чи слід нам іти в ту сторону?|Іти за світлом — це точно погана ідея.|Мені здається, якщо ми туди підемо, може статися щось жахливе.|Якщо підемо за світлом, точно прославимося!]"

"io-salvage-verb","Урятувати"

"io-hub-first","Після дивовижної мандрівки вгору по швидкоплинній річці я бачу перед собою _Заставу $segmentname_. _Клуб дослідників_, який мене сюди послав, забезпечив мене необхідним спорядженням для дослідження цього краю, але не дуже зрозуміло навіщо конкретно. Вибір є лише один: вирушати й досліджувати! Пригоди чекають!"
"io-hub-enter","По прибуттю на _Заставу $segmentname_ мені одразу стало ліпше. Там надавали багато корисних послуг."
"io-hub-main","Я досі на _заставі_. Гадаю, треба добре підготуватися перед тим, як вирушати в дорогу. Що ще треба зробити?"
"io-hub-main-action","Повернутися до застави"

"io-hub-healUnits-action","Відвідати лазарет"
"io-hub-healUnits-enter","У лазареті до мене підходить лікар і запитує, кому потрібне лікування."
"io-hub-healUnits-return","Лікар спитав, чи може ще щось для мене зробити."
"io-hub-healUnits-treatUnit","Хай лікується $name"
"io-hub-healUnits-deal","Лікар лікує фізичні та психічні недуги, від яких $name потерпає. $He тепер почувається набагато краще."

"io-hub-ask-action","Розпитати про цей край"
"io-hub-ask-return","Запитати ще щось"
"io-hub-ask-main","На кожній заставі є _Емблемник_. Відповідати на дурні питання не є його основним завданням, але може це робити, попри неприховане презирство."
"io-hub-ask-return-txt","_Емблемник_ дивиться на Вас, мовчки заохочуючи спитати ще щось."
"io-hub-ask-regions","Спитати про території"
"io-hub-ask-outposts","Спитати про застави"
"io-hub-ask-pyramid","Спитати про Золоту піраміду"
"io-hub-ask-crates","Спитати про ящики"
"io-hub-ask-medals","Спитати про медалі"
"io-hub-ask-provinces","Спитати про провінції"
"io-hub-ask-badges","Спитати про емблеми"
"io-hub-ask-fame","Спитати про славу"
"io-hub-ask-regions-txt","Службовець пояснює: цей світ поділений на _території_ однакового розміру. Кожна територія має певні точки координат. Наприклад, ця застава розташована на території $currentRegion. Щоби відкрити територію, просто відкрийте всі локації в її межах. Тоді буде вказано, що Ви, $name, відкрили цю територію, і так здобудете більше слави. Відкриті території видно для Ваших _суперників_, їх буде позначено в кожного на _мапі світу_."
"io-hub-ask-outposts-txt","Службовець пояснює: _застави_ — це острівки цивілізації в цьому чудному краю, збудовані _клубами дослідників_. Ця та інші застави розташовані на _річці_ та сполучені між собою. Щоби знайти інші застави, просто йдіть уздовж річки або скористайтеся компасом, який вкаже на найближчу незнайдену заставу. Якщо Ви, $name, знайдете заставу швидше від усіх, то її назвуть на Вашу честь! Однак, Ваші _суперники_ можуть іти слідом за Вами та запросто почати свою наступну експедицію з тієї точки."
