"io-title","对决"
"io-explored","$val%已探索"
"io-state-world","世界"
"io-currExped","您当前的探险"
"io-splash-continue","继续探险"
"io-splash-new","新的探索"
"io-exped-aborted","你放弃了探索"
"io-hub-start","起始营地"
"io-player-location","当前领域"

"io-connection-lost","失去与《对决》服务器的连接, 请刷新。"
"io-connection-newVersion","这是一个新版本的《对决》, 请刷新。"
"io-connection-newWorld","新世界准备好了! 请刷新。"

"io-newgame-start","新的探险"
"io-newgame-slots","肖像格子"
"io-newgame-slots-desc","拖动或拖放资源管理器肖像以存储或替换当前使用的人像。"
"io-newgame-accessory","可用配件:"
"io-newgame-packs-title","为你的新的探险选择装备"
"io-newgame-packs-help","选择探险套装来装备您的队伍。试试不同组合方式。"
"io-newgame-outpost-confirm","选择装备"
"io-newgame-outpost-title","选择你的起始营地"
"io-newgame-outpost-help","在世界地图上选择一个营地以开始探险。"

"io-packs-available","可用探险套装"
"io-packs-running","当前探险套装"
"io-packs-selected","选中的探险套装"
"io-packs-items","物品"
"io-packs-chars","小队成员"
"io-packs-perks","技能"
"io-packs-overburden","物品格子已满！"
"io-packs-overFilled","角色格子已满！"
"io-packs-alreadyAdded","已经添加了一个此类别的套装！"
"io-packs-maximum","无法再为你的队伍添加更多的套装！"
"io-pack-new","新套装"
"io-pack-hold","持有套装"
"io-pack-timer","因最近使用而被锁定！套装将在$val后再次变为可用。"

"io-medals-buy","购买奖牌"
"io-medals-buyHelp","持有探险供无限次使用。"
"io-medals-use","使用奖牌"
"io-medals-help","在一个世界首次发现一个区域时，您将获得一个奖牌。"
"io-premium-medals-help","发现区域即可获得奖牌。还需$val次发现才能获得下一个奖牌。"
"io-premium-medals-help-singular","发现区域即可获得奖牌。还需$val次发现才能获得下一个奖牌。"
"io-medals-new","新奖牌！"
"io-medals-new-plural","$val个新奖牌！"
"io-medals-reason-first-claim","因在一个世界中发现首个区域而获得。"
"io-medals-reason-claim","再发现$val个区域即可获得另一个奖牌。"
"io-medals-reason-beta","因玩测试版游戏而获得。"
"io-medals-reason-xsolla","感谢您的购买！"
"io-medals-reason-foundPyramid","因找到金字塔而获得。"
"io-medals-reason-topScore","因在上个世界中获得高分而获得。"
"io-medals-reason-keyActivation","密匙激活成功！"
"io-medals-reason-foundHub","因探索一个营地而获得。"
"io-shop-open","购物"
"io-shop-unclaimed","使用您的账户来购买奖牌"
"io-shop-unverified","验证您的电子邮件地址以购买奖牌"
"io-shop-refresh","刷新我的数据"

"io-transact-selection","您的选择"
"io-transact-cost","所需奖牌"
"io-transact-noFunds","你没有足够的奖牌!"
"io-transact-crate-desc","持有探险套装将允许您在接下来的探险中无限次使用它。"
"io-transact-explorerSlot-desc","肖像格子可以用来存放肖像，以便您在下次探险中再次使用它。"
"io-transact-processing","正在处理"
"io-transact-success","成功！"
"io-transact-failure","交易失败!"

"io-ruler-west","西"
"io-ruler-east","东"
"io-ruler-north","北"
"io-ruler-south","南"

"compass-e","东"
"compass-ne","东北"
"compass-n","北"
"compass-nw","西北"
"compass-w","西"
"compass-sw","西南"
"compass-s","南"
"compass-se","东南"

"tooltip-io-news","新闻"
"tooltip-map-claims","发现"
"tooltip-map-hubs","已发现的营地"
"tooltip-map-pockets","地形"
"tooltip-map-timeline","时间线"
"tooltip-packs-recent","最近"
"tooltip-packs-rarity","稀有度"
"tooltip-packs-type","类别"
"tooltip-score-claims","发现"
"tooltip-score-goals","金字塔"

"tile-newregion","已进入新区域！"
"io-claim","该区域发现者是"
"io-unclaimed","未发现区域"
"io-claimed","已发现区域！"
"io-discovered","已探索区域！"
"io-manage-account","管理账号"
"io-claim-account","认领账户"
"io-evt-user","我们[注意到|找到|看到|发现]了某人的[所有物|物品|东西|杂物]，包括一份[标题|文字|印记|文本|字迹]已经模糊了的[日记|日志|书籍]”$playerName 的[探险|日志|旅途|旅程|冒险]。”我[希望|祈祷]我们的[探险|旅途|旅程|冒险]不会最终落得像他们那样。"
"io-highscores","高分榜"
"io-highscores-top","最高分"
"io-highscores-claims","最多发现"
"io-highscores-mine","我的最高分"
"io-highscores-lifetime-score","史上最高分"
"io-highscores-lifetime-goals","最多金字塔"
