"fxt-village-human-name","قرية البشر"
"evt-village-pillage-action","النهب والسلب"
"evt-village-huntSlaves-action","إصطد البشر"
"evt-village-evict-action","قم بتخويف السكان وابعادهم"
"evt-village-human-abandoned-action","[بعد الكثير من التخويف والتهديدات والمواقف ، قام السكان المحليون بالهرب بعيدا وأخذو معهم ممتلكاتهم القليلة | لقد أعطينا البشر إنذارًا نهائيًا للانسحاب ، وقد قبلوه بسرور. خوفًا من تهديداتنا ، جمع البشر حاجيتاهم القليلة وقامو بالهرب]. لقد تم التخلي عن الأكواخ الآن."
"evt-village-human-abandoned-morning","[حل صمت غريب على الأكواخ هذا الصباح. لم يتم رؤية أي روح | لم نبصر او نسمع أي شيء هذا الصباح] ،لقد كنا وحيدين."
"it-slaves-name","أسير بشري"
"it-slaves","إنسان بائس، تم امساكه وأسره من أجل مجد إمبراطورية القردة."
"pl-slaveCart-title","أقفاص."
"pl-slaveCart","تسمح الأقفاص ، عند تركيبها على عربة نقل ، بتكديس البشر بكفاءة أكبر مع كل ترقية. حقا انجاز مذهل من إبداع القردة!"
"st-slave-stacking-description-1","أعجوبة من تكنولوجيا القردة. تتيح لك نقل إنسان واحد في كل قفص."
"st-slave-stacking-description-2","أعجوبة من تكنولوجيا القردة. تتيح لك نقل إثنين من البشر في كل قفص."
"st-slave-stacking-description-3","أعجوبة من تكنولوجيا القردة. تتيح لك نقل ثلاثة من البشر في كل قفص."
"st-slave-stacking-description-4","أعجوبة من تكنولوجيا القردة. تتيح لك نقل أربعة من البشر في كل قفص."
"st-slave-stacking-1-title","كفاءة القردة 1"
"st-slave-stacking-2-title","كفاءة القردة 2"
"st-slave-stacking-3-title","كفاءة القردة 3"
"st-slave-stacking-4-title","كفاءة القردة 4"
"evt-human-fight","[بتعرف، البشر على نواياك ، قامو بالإستعداد للدفاع عن أنفسهم | متمسكين بالخوف من احتمال الاستعباد ، قام البشر بحمل الأسلحة التي كانت لديهم واحتشدو امامنا | رفض رجال ونساء القبيلة أن يؤخذوا بسلام]. كان القتال محتم ولا مفر منه."
"evt-human-fight-action","خذهم أحياء!"
