"fxt-village-human-name","Human village"
"evt-village-pillage-action","Loot and pillage"
"evt-village-huntSlaves-action","Hunt the Humans"
"evt-village-evict-action","Scare away the populace"
"evt-village-human-abandoned-action","[After a lot of intimidation and posturing, the local populace scampered away with what little belongings they had|We gave the Humans an ultimatum to withdraw, which they gladly accepted|Fearful of our threats, the Humans quickly packed their meagre belongings and fled]. The hovels were now abandoned."
"evt-village-human-abandoned-morning","[An eerie silence hung over the hovels this morning|Not a soul was to be seen|Neither sight nor sound this morning], we were alone."
"it-slaves-name","Human Captive"
"it-slaves","A miserable Human, captured and bound for the glory of the Great Ape Empire."
"pl-slaveCart-title","Cages"
"pl-slaveCart","The cages, when mounted on a transport cart, allow the stacking of Humans more efficiently with each upgrade. Truely an astonishing feat of Ape ingenuity!"
"st-slave-stacking-description-1","A marvel of Ape technology. Lets you transport one Human per cage."
"st-slave-stacking-description-2","A marvel of Ape technology. Lets you transport two Humans per cage."
"st-slave-stacking-description-3","A marvel of Ape technology. Lets you transport three Humans per cage."
"st-slave-stacking-description-4","A marvel of Ape technology. Lets you transport four Humans per cage."
"st-slave-stacking-1-title","Ape efficiency 1"
"st-slave-stacking-2-title","Ape efficiency 2"
"st-slave-stacking-3-title","Ape efficiency 3"
"st-slave-stacking-4-title","Ape efficiency 4"
"evt-human-fight","[The Humans, realizing your intent, made ready to defend themselves|Gripped with fear by the prospect of being enslaved, the Humans grabbed what weapons they had and arrayed themselves before us|The men and women of the tribe refused to be taken peacefully]. A fight was inevitable."
"evt-human-fight-action","Take them alive!"
"evt-human-fight-flee-action","Tactical retreat!"
"evt-human-fight-flee","We decided that these particular specimens were not worth the hassle and left for greener pastures. Emboldened, they sent a hunting party after us."
"evt-combat-loot-human-fight","[We searched the area and took anything of value with us|Being victorious, the spoils belonged to us]."
"pl-warlord-title","Warlord of the Apes"
"sp-ee-warlord","A disgraced general, Brutus will fight mercilessly to regain his status in the eyes of the Ape Emperor."
"st-warlord-title","Dominating Presence"
"pl-athena-title","Great Sage"
"sp-ee-athena","A sage of unrivalled intellect, Athena specialises in preserving weapons from the forgotten ages."
"sp-ee-marcellus","Arguably the wealthiest and best equipped Ape, besides the Ape Emperor himself."
"pl-marcellus-title","Merchant Prince"
"st-sage-title","Ancient knowledge."
"st-sage","The skill to preserve ancient weapons."
"st-merchant-title","Merchant Prince"
"st-merchant","Can afford to have one additional trek member."
"pl-bloodrider-title","Bloodrider"
"pl-bloodrider","Bloodriders are expert Human catchers and scouts. The most adept amongst them have a slim chance to join the personal guard of the Ape Emperor."
"discoverVillage-1-title","Scout Cavalry 1"
"discoverVillage-2-title","Scout Cavalry 2"
"discoverVillage-3-title","Scout Cavalry 3"
"discoverVillage-4-title","Scout Cavalry 4"
"discoverVillage-1","Reveals nearby Ape Outposts."
"pl-neophyte-title","Neophyte"
"pk-research-1-title","Novice Researcher"
"pk-research-1","Increases the quality and value of created studies."
"pk-research-2-title","Advanced Researcher"
"pk-research-3-title","Professional Researcher"
"pk-research-4-title","Master Researcher"
"pl-marauder-title","Marauder"
"pl-marauder","The Marauder revels in battle, inspiring his fellow Apes through feats of strength."
"anm-warmount-title","Warmount"
"anm-warmount","The toughest, meanest animals, bred and trained for one purpose: War."
"ruins-name","Ruins"
"evt-ruins-2-action","Examine ruins"
"evt-ruins-3","An ancient ruin towered above us. [It was in terrible condition, as the weather had been beating down on it for centuries|It looked as old as time itself|Time had taken its toll on the structure|Time had eroded what once had been a majestic sight]. [One would have to _climb up_ the face to reach the entrance|What remained of a _narrow staircase_ led to the only entrance|I could make out an entrance on an upper platform. We would have to _climb up_ the exterior walls in order to reach it]."
"evt-ruins-2","[A large structure loomed in front of us|Ancient ruins, long forgotten by Ape and Human alike, stood bathed in light before us|The structure before us warranted both fear and respect|We arrived at a long forgotten ruin|We arrived at a majestic ruin, seemingly an abandoned structure from ages past]. [Its metal walls were covered with a coat of rust|All manner of plant life grew towards the sun|It was a bold testament to the power of its creators]. [Low hanging vines partially concealed the entrance that led within|Grand stairs led up to an enormous doorway|The portal that led inside emitted an eerie chill]."
"evt-ruins-actions-action","Enter ruins"
"evt-ruins-enter","[We arrived at what seemed to be a small underground vault|Before us lay some kind of forgotten vault|We carefully entered a well-preserved storage area]. [If this place held any ancient artifacts, I knew we would find them here|We quietly looked around the rust-covered chamber]. Our steps echoed as we made our way into the vault."
"evt-ruins-enter-action","Investigate vault"
"evt-ruins-hint-ice","The metal was _cold_ to the touch. [How very interesting|There must be some scientific explanation for this phenomenon|I wondered if it somehow became resistant to warmth or if there was some other explanation]."
"evt-steal-animals-1","An array of suitable animals was paraded before us. Which one should we trade for?"
"evt-outpost-enter","[I|We|The trek|Our trek|Our group] [arrived|entered|stopped] at the outpost. We were greeted by a slaver and a court shaman. [The place was dirty|It was a place of hopelessness and sorrow|The place reeked of the dark side of humanity|It was a well-secured but mobile encampment|The camp was littered with filth|An acrid stench of human excrement brought tears to my eyes] and [cages filled with slaves were strewn throughout the area|comprised of a collection of cages filled with intimidated prisoners|several large cages were filled with all kinds of different people]."
"it-policebaton-name","Police Baton"
"it-policebaton","A very sturdy stick, really good at beating up Humans"
"it-grenade-name","Hand Grenade"
"it-grenade","A lemon shaped metal box that goes BOOM if you throw it at Humans."
"it-banana-name","Banana"
"it-banana","The glorious food of the Gods, sometimes driving Apes to increadible feats of physical activity. Not fit for consumption by Humans."
"zn-roamingNatives-name","Human Foragers"
"it-philosophersstone-name","Philosopher's Stone"
"it-philosophersstone","Athena's most precious possession: An ancient artefact of Clairvoyance."
"anm-warhog-title","War Hog"
