"fxt-village-human-name","Poblado humano"
"evt-village-pillage-action","Saquear"
"evt-village-huntSlaves-action","Cazar a los humanos"
"evt-village-evict-action","Asustar a la población local"
"evt-village-human-abandoned-action","[Tras muchas intimidaciones y amenazas, la población local huyó a toda prisa con las pocas pertenencias que pudieron llevarse consigo|Dimos a los humanos una última oportunidad para marcharse, la cual aceptaron con sumo gusto|Temerosos de nuestras amenazas, los humanos recogieron rápidamente sus escasas posesiones y huyeron como alma que lleva el Diablo]. Las chozas estaban ahora abandonadas."
"evt-village-human-abandoned-morning","[Un silencio ominoso a la par que espeluznante se cernió sobre la misión esta mañana|Durante nuestra estancia no vimos ni un alma|Ni vimos ni escuchamos a otras personas mas que a nosotros mismos]: estábamos completamente solos."
"it-slaves-name","Prisionero humano"
"it-slaves","Un humano miserable, hecho prisionero por la gloria del Gran Imperio Simio."
"pl-slaveCart-title","Jaulas"
"pl-slaveCart","Las jaulas, cuando están ensambladas sobre un carro de transporte, permiten con cada mejora el transporte de humanos de una forma más eficiente. ¡Ciertamente, es una extraordinaria proeza nacida del ingenio de los simios!"
"st-slave-stacking-description-1","Una maravilla de la tecnología simia. Permite transportar a un humano por cada jaula."
"st-slave-stacking-description-2","Una maravilla de la tecnología simia. Permite transportar a dos humanos por cada jaula."
"st-slave-stacking-description-3","Una maravilla de la tecnología simia. Permite transportar a tres humanos por cada jaula."
"st-slave-stacking-description-4","Una maravilla de la tecnología simia. Permite transportar a cuatro humanos por cada jaula."
"st-slave-stacking-1-title","Eficiencia simia 1"
"st-slave-stacking-2-title","Eficiencia simia 2"
"st-slave-stacking-3-title","Eficiencia simia 3"
"st-slave-stacking-4-title","Eficiencia simia 4"
"evt-human-fight","[Los humanos, dándose cuenta de nuestras intenciones, se prepararon para defenderse|Temerosos de ser tomados como esclavos, los humanos agarraron las armas que poseían y se enfrentaron a nosotros|Los hombres y mujeres de la tribu se negaron a ser capturados pacíficamente]. La lucha era inevitable."
"evt-human-fight-action","¡Cogedlos con vida!"
"evt-human-fight-flee-action","¡Retirada estratégica!"
"evt-human-fight-flee","Decidimos que estos especímenes en particular no merecían la molestia, así que nos fuimos a buscar pastos más verdes. Envalentonados, los humanos mandaron una partida de caza a por nosotros."
"evt-combat-loot-human-fight","[Registramos el lugar y cogimos todo lo que tuviese algún valor|Como vencedores, el botín nos pertenecía por derecho]."
"pl-warlord-title","El Señor de la Guerra de los simios"
"sp-ee-warlord","Un deshonrado general. Bruto luchará sin descanso para recuperar su antigua posición a los ojos del Emperador Simio."
"st-warlord-title","Presencia dominadora"
"pl-athena-title","La Gran Sabia"
"sp-ee-athena","Una sabia de un intelecto sin parangón. Atenea se especializa en preservar las armas de las eras olvidadas."
"sp-ee-marcellus","Posiblemente el simio más acaudalado y mejor equipado, aparte del propio Emperador Simio."
"pl-marcellus-title","El Príncipe Mercader"
"st-sage-title","Conocimiento antiguo"
"st-sage","La habilidad para preservar armas antiguas."
"st-merchant-title","El Príncipe Mercader"
"st-merchant","Permite tener un compañero adicional en el grupo."
"pl-bloodrider-title","Jinete de sangre"
"pl-bloodrider","Los jinetes de sangre son expertos batidores y cazadores de humanos. Los mejores entre ellos tienen una pequeña posibilidad de unirse a la guardia personal del Emperador Simio."
"discoverVillage-1-title","Exploración a caballo 1"
"discoverVillage-2-title","Exploración a caballo 2"
"discoverVillage-3-title","Exploración a caballo 3"
"discoverVillage-4-title","Exploración a caballo 4"
"discoverVillage-1","Revela la localización de los puestos de avanzada simios cercanos."
"pl-neophyte-title","Neófito"
"pk-research-1-title","Aprendiz de Buscador"
"pk-research-1","Aumenta la calidad y el valor de obras creadas."
"pk-research-2-title","Buscador avanzado"
"pk-research-3-title","Buscador profesional"
"pk-research-4-title","Maestro Buscador"
"pl-marauder-title","Saqueador"
"pl-marauder","El saqueador se deleita en la batalla, insuflando vigor a sus socios primates."
"anm-warmount-title","Montura de guerra"
"anm-warmount","Los más rudos, a la par que mezquinos animales engendrados y adiestrados para un único propósito: la guerra."
"ruins-name","Ruinas"
"evt-ruins-2-action","Investigar ruinas"
"evt-ruins-3","Unas ruinas de tiempos pretéritos se irguieron ante nosotros. [ Su decadente estado desvelaba la mella sufrida por el paso de los siglos |Parecía cimentar sus orígenes junto a la creación del propio tiempo |El devenir de los evos habíase cobrado un erosivo tributo en la otrora fastuosa estructura]. [Debíamos _escalar_ una de sus caras para acceder a su entrada | Los desvencijados restos de una _angosta escalera_ nos condujeron hacia la única entrada | Percibimos una apertura en la parte superior de las mismas. No quedaba sino _escalar_ los muros exteriores si aspirábamos a alcanzarla]."
"evt-ruins-2","[ Una ciclópea estructura se cernía ante nosotros| Unas ruinas antediluvianas largo tiempo olvidadas entre simios y humanos por igual eran bañadas por la luz del Sol|La estructura que presenciábamos irradiaba miedo y respeto por igual| Llegamos a unas ruinas largo tiempo olvidadas|Nos encaminábamos a unas ruinas majestuosas empero largo tiempo olvidadas|. [Sus empalizadas de metal mostrábanse cubiertas de óxido|Toda suerte de vida vegetal se alzaba en pos de un Sol inalcanzable|Nos pareció el más audaz legado realizado por de sus constructores]. [La maleza local se afanaba en ocultar sin éxito la entrada que nos permitiría el acceso al interior|Una desmesurada escalinata nos emplazó frente a un portón colosal|El portón que nos permitiría alcanzar el interior nos transmitió un inquietante escalofrío]."
"evt-ruins-actions-action","Entrar en las ruinas"
"evt-ruins-enter","[Llegamos a lo que aparentaba ser una pequeña bóveda subterránea|Ante nosotros se abría una suerte de bóveda abandonada| Cuidadosamente penetramos en un espacio bien conservado dedicado al almacenamiento]. Si este lugar preservaba algún viejo artefacto, asumí que lo encontraríamos aquí|Sin mediar palabra examinamos la deteriorada cámara]. El eco de nuestros pasos era lo único que quebrantaba el silencio a medida que nos adentrábamos en la bóveda."
"evt-ruins-enter-action","Inspeccionar bóveda"
"evt-ruins-hint-ice","El metal era_frío_al tacto.[Que interesante|Tenía que haber algún motivo científico para este fenómeno|Me pregunté si cabía la posibilidad de que repeliera el calor o si había otra explicación]."
"evt-steal-animals-1","Toda suerte de animales se encontraba expuesta ante nosotros. ¿Por cuál nos decantaríamos?"
"evt-outpost-enter","[|El grupo|La expedición|Nuestra expedición|Nuestro grupo][llegó a|entró en|se detuvo frente a|un mercado de esclavos. Fuimos saludados por un esclavista y su cortejo chamánico.[Era un lugar abyecto|Era un emplazamiento de desesperanza y melancolía |El lugar era una oda al lado más perverso que la humanidad podía ofrecer|A pesar de tratarse de un emplazamiento itinerante la seguridad del mismo era encomiable|El mercado estaba repleto de porquería|El acre hedor de las heces humanas espoleaba mis ojos lacrimosos] y[jaulas repletas con esclavos se hallaban diseminadas por toda la zona|constaba de un amplio abanico de jaulas repletas de intimidados prisioneros|varias jaulas habían sido atiborradas con los autóctonos del lugar]."
"it-policebaton-name","Porra policial"
"it-policebaton","Una vara encomiablemente firme, muy efectiva para atizar Humanos"
"it-grenade-name","Granada de mano"
"it-grenade","Una caja metálica con forma de limón que hace BUM si la lanzas a Humanos."
"it-banana-name","Plátano"
"it-banana","El néctar de los Dioses, a veces conduce a los simios a grandes proezas de índole física. No es apto para el consumo humano."
"zn-roamingNatives-name","Carroñeros humanos"
"it-philosophersstone-name","Piedra Filosofal"
"it-philosophersstone","La posesión más preciosa de Atenea: una antiguo artefacto de clarividencia."
"anm-warhog-title","Cerdos de Guerra"
"anm-warhog","Los Cerdos de Guerra primates son bestias de caza tan infames como feroces. Hay quien dice que pueden oler la carne humana a millas de distancia."
"pl-beastMaster-title","Amo de las bestias"
"pl-beastMaster","Los amos de las bestias pueden ""obligar"" a cualquier animal a superar sus limitaciones físicas. Y nunca van a una campaña sin sus leales cerdos de guerra, que son criados desde su nacimiento."
"evt-harbor-recruit-beastMasterWarhog-action","Amo de las bestias y cerdo de guerra"
"evt-harbor-recruit-beastMasterWarhog-1","Podríamos aprovechar la ayuda del [Señor de las Bestias y el cerdo de guerra|experimentado arreador y su leal bestia|domador de bestias y su leal perro|dúo dinámico|competente dueto] y les dimos la bienvenida a nuestro equipo."
"evt-steal-animals-action","Comprar pack animal"
"evt-steal-animals","Le solicitamos al puesto de avanzada que nos proveyera un pack animal adecuado."
"evt-village-steal-animal","[Exigimos un animal como tributo para el Gran Emperador Simio|Forzamos al esclavista a darnos uno de sus animales|El esclavista estaba tan impresionado que nos proveyó un animal|El animal que nos entregaron parecía ser lo único de valor que tenían|El esclavista se tragó su orgullo y se entregó a nuestras demandas|Claramente, el esclavista nos despreciaba por tomar uno de sus animales]. [Llamamos|Nombramos|Apodamos|Decidimos llamar] $name a la bestia."
"it-whisky-ape-name","Schnapps de Banana"
