"fxt-village-human-name","Village d'humain"
"evt-village-pillage-action","Prendre le butin et piller"
"evt-village-huntSlaves-action","Chasser les humains"
"evt-village-evict-action","Effrayer la population"
"evt-village-human-abandoned-action","[Après les avoir intimider grâce à nos postures, la population locale s'est enfuie avec le peu de bien qu'ils avaient|Nous avons lancé un ultimatum aux humains pour se retirer, ce qu'ils ont accepté avec joie|Terrorisé par nos menaces, les Humains ont rapidement emballé leurs maigres biens et se sont enfuis]. Leurs taudis étaient maintenant abandonnés."
"evt-village-human-abandoned-morning","[Un silence sinistre plané au-dessus des taudis ce matin|Pas la moindre âme en vue|Pas le moindre bruit dans les environs ce matin], nous étions seuls."
"it-slaves-name","Humain captif"
"it-slaves","Un misérable humain, capturé et désormais lié à la gloire de l'Empire des singes."
"pl-slaveCart-title","Cages"
"pl-slaveCart","Les cages, lorsqu'elles sont montées sur un chariot de transport, permettent d'empiler les Humains plus efficacement à chaque amélioration. C'est vraiment un exploit étonnant d'ingéniosité des singes !"
"st-slave-stacking-description-1","Une merveille de la technologie des singes. Permet de transporter un humain par cage."
"st-slave-stacking-description-2","Une merveille de la technologie des singes. Permet de transporter deux humains par cage."
"st-slave-stacking-description-3","Une merveille de la technologie des singes. Permet de transporter trois humains par cage."
"st-slave-stacking-description-4","Une merveille de la technologie des singes. Permet de transporter quatre humains par cage."
"st-slave-stacking-1-title","Efficacité des singes 1"
"st-slave-stacking-2-title","Efficacité des singes 2"
"st-slave-stacking-3-title","Efficacité des singes 3"
"st-slave-stacking-4-title","Efficacité des singes 4"
"evt-human-fight","[Les Humains, réalisant vos intentions, se tiennent prêt à se défendre|Craignant d'être réduits en esclavage, les humains se sont emparés de leurs armes et se sont rangés devant nous.|Les hommes et les femmes de la tribu ont refusé d'être pris pacifiquement]. Un combat était inévitable."
"evt-human-fight-action","Prenez-les vivants !"
"evt-human-fight-flee-action","Retraite tactique !"
"evt-human-fight-flee","Nous avons décidé que ces spécimens en particulier n'en valaient pas la peine, nous sommes partis à la recherche de pâturages plus verts. Visiblement non découragé, ils ont envoyé un groupe de chasseurs après nous."
"evt-combat-loot-human-fight","[Nous avons fouillé la zone et emporté avec nous tout ce qui avait de la valeur|Étant victorieux, le butin nous appartenait]."
"pl-warlord-title","Seigneur de guerre des singes"
"sp-ee-warlord","Général disgracié, Brutus se battra impitoyablement pour regagner son statut aux yeux de l'Empereur des singes."
"st-warlord-title","Présence dominante"
"pl-athena-title","Grand Sage"
"sp-ee-athena","Sage d'une intelligence inégalée, Athéna est spécialisée dans la conservation des armes d'une époque oubliée."
"sp-ee-marcellus","Sans doute le singe le plus riche et le mieux équipé, excepté l'Empereur des singes."
"pl-marcellus-title","Prince marchand"
"st-sage-title","Connaissances anciennes."
"st-sage","Habileté à préserver les armes anciennes."
"st-merchant-title","Prince Marchand"
"st-merchant","Peut avoir un membre supplémentaire dans l'expédition."
"pl-bloodrider-title","Cavalier sanguinaire"
"pl-bloodrider","Les cavaliers sanguinaire sont des chasseurs et éclaireurs expérimentés. Les plus habiles d'entre eux ont une mince chance de rejoindre la garde personnelle de l'Empereur des singes."
"discoverVillage-1-title","Cavalier éclaireur 1"
"discoverVillage-2-title","Cavalier éclaireur 2"
"discoverVillage-3-title","Cavalier éclaireur 3"
"discoverVillage-4-title","Cavalier éclaireur 4"
"discoverVillage-1","Révéler les postes avancés des singes à proximité."
"pl-neophyte-title","Néophyte"
"pk-research-1-title","Chercheur novice"
"pk-research-1","Augmente la qualité et la valeur des études créées."
"pk-research-2-title","Chercheur avancé"
"pk-research-3-title","Chercheur professionnel"
"pk-research-4-title","Maître Chercheur"
"pl-marauder-title","Maraudeur"
"pl-marauder","Le Maraudeur se réjouit de combattre, inspirant ses compagnons Singes par ses exploits de force."
"anm-warmount-title","Monture de guerre"
"anm-warmount","Les animaux les plus durs, les plus méchants, élevés et entraînés dans un seul but : la guerre."
"ruins-name","Ruines"
"evt-ruins-2-action","Explorer les ruines"
"evt-ruins-3","Une ruine ancienne nous surplombait. [Elle était dans un état épouvantable, la météo ayant clairement fait son oeuvre|Elle semblait aussi agée que le monde lui-même|Le temps avait fait des ravages sur la structure|Le temps avait érodé ce qui avait été un spectacle majestueux]. [Quelqu'un devait _escalader_ la devanture pour trouver l'entrée|Ce qui restait d'un _escalier étroit_ conduisait à la seule entrée possible|Je pouvais distinguer une entrée sur une plate-forme supérieure. Il faudrait _escalader_ les murs extérieurs pour pouvoir l'atteindre]."
"evt-ruins-2","[Une grande structure se dressait devant nous|Des ruines anciennes, oubliées depuis longtemps par les singes et les humains, se tenaient devant nous baignées par une lumière magnifique|La structure devant nous forçait à la fois la peur et le respect|Nous sommes arrivés à une ruine oubliée depuis longtemps|Nous sommes arrivés à une ruine majestueuse, qui semble être une structure abandonnée depuis des siècles]. [Ses murs métallique étaient recouverts d'une couche de rouille|Une forme de vie végétale s'était développée en direction du soleil|C'était un témoignage audacieux de la puissance de ses créateurs]. [les vignes basses suspendues dissimulaient partiellement l'entrée qui menait à l'intérieur.|Un grand escalier menait à une énorme porte d'entrée.|Le portail qui menait à l'intérieur dégageait un froid sinistre]."
"evt-ruins-actions-action","Entrer dans les ruines"
"evt-ruins-enter","[Nous sommes arrivés devant ce qui semblait être une petite voûte souterraine|Devant nous se trouvait une sorte de voûte oubliée|Nous sommes entrés avec soin dans une zone de stockage bien conservée]. [Si cet endroit contenait des artefacts anciens, je savais qu'on les trouverait|Nous avons tranquillement regardé la pièce recouvert de rouille]. Nos pas résonnaient lorsque nous sommes entrés dans la chambre forte."
"evt-ruins-enter-action","Enquêter sur la chambre forte"
"evt-ruins-hint-ice","Le métal était _froid au toucher. [Très intéressant|Il doit y avoir une explication scientifique à ce phénomène|Je me demandais s'il devenait résistant à la chaleur ou s'il y avait une autre explication]."
"evt-steal-animals-1","Un éventail d'animaux a paradé devant nous. Pour lequel devrions-nous négocier ?"
"evt-outpost-enter","[Je suis entré(e) dans|Nous sommes arrivés dans|L'expédition a atteint|Notre équipe s'est arrêtée dans] un avant-poste. Nous avons été accueilli par un esclave et un chaman de la cour. [L'endroit était sale|C'était un lieu de désespoir et de tristesse|L'endroit empestait le côté obscur de l'humanité|C'était un campement bien sécurisé mais mobile|Le camp était jonché de saletés|Une odeur âcre d'excréments humains en putréfaction faisait sortir des larmes de mes yeux] et [des cages remplies d'esclaves étaient éparpillées dans toute la zone|contenait une collection de cages remplies de prisonniers intimidés|plusieurs grandes cages étaient remplies de toutes sortes de personnes différentes]."
"it-policebaton-name","Bâton de Police"
"it-policebaton","Un bâton très solide, excellent pour battre les humains"
"it-grenade-name","Grenade à main"
"it-grenade","Une boîte en métal en forme de citron qui fait BOOM si vous la lancez sur des humains."
"it-banana-name","Banane"
"it-banana","La glorieuse nourriture des dieux, conduisant parfois les singes à des prouesses physique incroyable pour en acquérir. Impropre à la consommation humaine."
"zn-roamingNatives-name","Cueilleur humain"
"it-philosophersstone-name","La Pierre Philosophale"
"it-philosophersstone","Le bien le plus précieux d'Athéna : Un ancien artefact de clairvoyance."
"anm-warhog-title","Porc de guerre"
"anm-warhog","Les porcs de guerre des singes sont tristement célèbres, connue comme des bêtes de chasse féroces. Certains disent qu'ils peuvent sentir l'odeur d'un humain à plus de un kilomètre de distance."
"pl-beastMaster-title","Maître des bêtes"
"pl-beastMaster","Les Maîtres des bêtes peuvent contraindre tout animal à dépasser ses limites physiques. Ah et ils n'iraient jamais en campagne sans leurs fidèles porcs de guerre, qu'ils élèvent depuis leur naissance."
"evt-harbor-recruit-beastMasterWarhog-action","Maître des bêtes et porc de guerre"
"evt-harbor-recruit-beastMasterWarhog-1","Nous pourrions utiliser l'aide [du Maître des bêtes et de son porc de guerre|du maître animalier expérimenté et de sa bête loyale.|du dompteur de bêtes et de son fidèle porc.|de ce duo dynamique|de ce couple efficace] et les accueillir dans notre équipe."
"evt-steal-animals-action","Acheter un animal de bât"
"evt-steal-animals","Nous avons demandé à l'avant-poste de nous fournir un animal de bât approprié."
"evt-village-steal-animal","[Nous avons exigé un animal en hommage à l'Empereur des grands Singes|Nous avons forcé l'esclavagiste à nous fournir un de ses animaux|L'esclavagiste a été assez impressionné pour nous offrir un animal|L'animal qui nous a été fourni semblait être le seul digne de ce nom dans son stock|L'esclavagiste a avalé sa fierté et a cédé à nos exigences.|L'esclavagiste nous détestait clairement d'avoir pris un de ses animaux. Nous [l'avons appelé|l'avons nommé|l'avons surnommé|avons décidé de l’appeler] $name."
"it-whisky-ape-name","Liqueur de banane"
"it-whisky-ape","Distillé selon l'ordonnance de pureté des singes, il s'agit d'un boisson très intense. Impropre à la consommation humaine."
"fxt-outpost-name","Avant-poste des singes"
"evt-outpost-init-action","Entrer dans l'avant-poste des singes"
"evt-village-human-main-0","Les villageois ont été intimidés par notre présence. Les parents cachaient leurs enfants, et l'aîné du village tremblait devant nous."
"evt-village-human-main-1","Les humains nous ont regardé avec admiration. Ils savaient qu'une personnalitée puissante se tenait devant eux."
"evt-village-human-main-2","Les humains nous ont approchés dans une attitude très prudente."
"evt-village-human-main-3","Les humains ne semblaient pas vraiment nous craindre. Leur comportement était presque... malveillant."
"evt-village-human-main-4","Les Humains étaient hostiles. Certains d'entre eux exhiber même des armes en notre présence."
"evt-expedition-done-WoA-1","Après [des semaines de pillages|une telle entreprise|tout ce travail], [l'euphorie|une grande joie|une grande fierté|un soulagement énorme] m'a gagné. Je savais que mon nom $name [resterait à jamais gravé dans la mémoire|ne serait jamais oublié|sera désormais synonyme de victoire|continuera d'être écrit et cité bien après mon départ de cette terre|sera respecté à la cour impériale|restera à jamais dans les annales du peuple des singes]."
