"fxt-village-human-name","Ανθρώπινο χωριό"
"evt-village-pillage-action","Loot and pillage"
"evt-village-huntSlaves-action","Κυνήγησε τους ανθρώπους"
"evt-village-evict-action","Scare away the populace"
"evt-village-human-abandoned-action","[After a lot of intimidation and posturing, the local populace scampered away with what little belongings they had|We gave the Humans an ultimatum to withdraw, which they gladly accepted|Fearful of our threats, the Humans quickly packed their meagre belongings and fled]. The hovels were now abandoned."
"evt-village-human-abandoned-morning","[Μία πέρα για πέρα ανατριχιαστική σιωπή κρεμόταν πάνω από την αποστολή σήμερα το πρωί|Δεν υπήρχε ούτε ψυχή γύρω|Δεν υπήρχε ούτε φωνή ούτε ακρόαση σήμερα], ήμασταν απλά ολομόναχοι."
"it-slaves-name","Ανθρώπινος αιχμάλωτος"
"it-slaves","Ένας μίζερος Άνθρωπος, αιχμάλωτος και δεμένος χειροπόδαρα για την δόξα της Μεγάλης Αυτοκρατορίας των Πιθήκων."
"pl-slaveCart-title","Κλουβιά"
"pl-slaveCart","The cages, when mounted on a transport cart, allow the stacking of Humans more efficiently with each upgrade. Truely an astonishing feat of Ape ingenuity!"
"st-slave-stacking-description-1","Ένα πραγματικό θαύμα της τεχνολογίας των Πιθήκων. Επιτρέπει την μεταφορά ενός Ανθρώπου ανά κλουβί."
"st-slave-stacking-description-2","Ένα πραγματικό θαύμα της τεχνολογίας των Πιθήκων. Επιτρέπει την μεταφορά δύο Ανθρώπων ανά κλουβί."
"st-slave-stacking-description-3","Ένα πραγματικό θαύμα της τεχνολογίας των Πιθήκων. Επιτρέπει την μεταφορά τριών Ανθρώπων ανά κλουβί."
"st-slave-stacking-description-4","Ένα πραγματικό θαύμα της τεχνολογίας των Πιθήκων. Επιτρέπει την μεταφορά τεσσάρων Ανθρώπων ανά κλουβί."
"st-slave-stacking-1-title","Αποδοτικότητα πιθήκου 1"
"st-slave-stacking-2-title","Αποδοτικότητα πιθήκου 2"
"st-slave-stacking-3-title","Αποδοτικότητα πιθήκου 3"
"st-slave-stacking-4-title","Αποδοτικότητα πιθήκου 4"
"evt-human-fight","[Οι Άνθρωποι, αντιλαμβανόμενοι τις προθέσεις σας, άρχισαν να προετοιμάζονται για να αμυνθούν|Μπροστά στο μεγάλο φόβο της υποδούλωσης, οι Άνθρωποι άρπαξαν ότι είχαν από όπλο και παρατάχθηκαν μπροστά μας|Οι άντρες και οι γυναίκες της φυλής αρνήθηκαν να πέσουν χωρίς μάχη]. Η μάχη ήταν αναπόφευκτη."
"evt-human-fight-action","Πάρτους ζωντανούς!"
"evt-human-fight-flee-action","Τακτική υποχώρηση!"
"evt-human-fight-flee","We decided that these particular specimens were not worth the hassle and left for greener pastures. Emboldened, they sent a hunting party after us."
"evt-combat-loot-human-fight","[Ψάξαμε την περιοχή και πήραμε μαζί μας οτιδήποτε ήταν πολύτιμο|Η νίκη και τα λάφυρα ήταν δικά μας]."
"pl-warlord-title","Πολέμαρχος των Πιθήκων"
"sp-ee-warlord","A disgraced general, Brutus will fight mercilessly to regain his status in the eyes of the Ape Emperor."
"st-warlord-title","Dominating Presence"
"pl-athena-title","Μέγας Σοφός"
"sp-ee-athena","A sage of unrivalled intellect, Athena specialises in preserving weapons from the forgotten ages."
"sp-ee-marcellus","Arguably the wealthiest and best equipped Ape, besides the Ape Emperor himself."
"pl-marcellus-title","Merchant Prince"
"st-sage-title","Αρχαία γνώση."
"st-sage","Η ικανότητα να συντηρείς αρχαία όπλα."
"st-merchant-title","Merchant Prince"
"st-merchant","Can afford to have one additional trek member."
"pl-bloodrider-title","Bloodrider"
"pl-bloodrider","Bloodriders are expert Human catchers and scouts. The most adept amongst them have a slim chance to join the personal guard of the Ape Emperor."
"discoverVillage-1-title","Scout Cavalry 1"
"discoverVillage-2-title","Scout Cavalry 2"
"discoverVillage-3-title","Scout Cavalry 3"
"discoverVillage-4-title","Scout Cavalry 4"
"discoverVillage-1","Reveals nearby Ape Outposts."
"pl-neophyte-title","Neophyte"
"pk-research-1-title","Novice Researcher"
"pk-research-1","Increases the quality and value of created studies."
"pk-research-2-title","Advanced Researcher"
"pk-research-3-title","Professional Researcher"
"pk-research-4-title","Master Researcher"
"pl-marauder-title","Marauder"
"pl-marauder","The Marauder revels in battle, inspiring his fellow Apes through feats of strength."
"anm-warmount-title","Warmount"
"anm-warmount","The toughest, meanest animals, bred and trained for one purpose: War."
"ruins-name","Ερείπια"
"evt-ruins-2-action","Εξέτασε τα αρχαία"
