"fxt-village-human-name","כפר של בני אדם"
"evt-village-pillage-action","בזיזה ולקיחת שלל"
"evt-village-huntSlaves-action","לצוד את בני האדם"
"evt-village-evict-action","להבריח את האוכלוסייה"
"evt-village-human-abandoned-action","[אחרי איומים רבים, האוכלוסייה המקומית ברחה עם הרכוש המועט שנותר לה|נתנו לבני האדם הזדמנות לסגת והם הסכימו בשמחה|בני האדם, המבועתים מאיומינו, ארזו במהירות את רכושם הזעום וברחו].
כעת הבקתות נטושות."
"evt-village-human-abandoned-morning","[שתיקה מצמררת אפפה את הבקתות הבוקר|לא נראתה כל נפש חיה|אין כל מראה או קול הבוקר], היינו לבד."
"it-slaves-name","אסיר אנושי"
"it-slaves","בן אדם אומלל, נתפס וקשור לתהילתה של אמפריית הקופים."
"pl-slaveCart-title","כלובים"
"pl-slaveCart","כאפשר הובלו על עגלת ההובלה, שידרוג הכלובים איפשר לערימת בני האדם יותר יעילות בכל שידרוג. באמת מצבע מדהים המראה על כושר המצאה יוצא דופן של הקופים!"
"st-slave-stacking-description-1","פלא טכנולוגי של הקופים. מאפשר להעביר בן אדם אחד בכל כלוב."
"st-slave-stacking-description-2","פלא טכנולוגי של הקופים. מאפשר להעביר שני בני אדם בכל כלוב."
"st-slave-stacking-description-3","פלא טכנולוגי של הקופים. מאפשר להעביר שלושה בני אדם בכל כלוב."
"st-slave-stacking-description-4","פלא טכנולגי של הקופים. נותן לך להעביר ארבעה בני אדם בכל כלוב."
"st-slave-stacking-1-title","יעילות קוף 1"
"st-slave-stacking-2-title","יעילות קוף 2"
"st-slave-stacking-3-title","יעילות קוף 3"
"st-slave-stacking-4-title","יעילות קוף 4"
"evt-human-fight","[בהבינם את כוונתך, בני האדם התכוננו להגן על עצמם|מלאי פחד מעצם המחשבה על שעבודם, בני האדם אחזו בנשקים המעטים שהיו להם ונערכו לעמוד מולנו|הגברים והנשים של השבט סירבו להילקח בשקט]. הקרב היה בלתי נמנע."
"evt-human-fight-action","תתפסו אותם בחיים!"
"evt-human-fight-flee-action","נסיגה!"
"evt-human-fight-flee","החלטנו שהפרטים האלו לא שווים את המאמץ ועזבנו לחפש מקום ציד טוב יותר. מעודדים, הם שלחו קבוצת ציד אחרינו."
"evt-combat-loot-human-fight","[סרקנו את האזור ולקחנו איתנו כל דבר בעל ערך|אחרי הניצחון, השלל היה שייך לנו]."
"pl-warlord-title","המצביא של הקופים"
"sp-ee-warlord","ברוטוס, גנרל מבוייש ילחם ללא רחמים כדי להחזיר את מעמדו בעיניו של קיסר הקופים."
"st-warlord-title","נוכחות דומיננטית"
"pl-athena-title","חכם גדול"
"sp-ee-athena","A sage of unrivalled intellect, Athena specialises in preserving weapons from the forgotten ages."
"sp-ee-marcellus","אולי הקוף הכי עשיר ומצויד חוץ מהקוף הקיסר בעצמו."
"pl-marcellus-title","הנסיך הסוחר"
"st-sage-title","ידע עתיק."
"st-sage","היכולת לשמר כלי נשק עתיקים."
"st-merchant-title","הנסיך הסוחר"
"st-merchant","יכולים להרשות לעצמם עוד חבר נוסף למסע."
"pl-bloodrider-title","רוכב דם"
"pl-bloodrider","רוכבי הדם הם בני אדם מומחים במלכודות ובסיירות. להכי מיומן מבינהם יש סיכוי קטן להצטרף לשומר האישי של קיסר הקופים."
"discoverVillage-1-title","פרשים סיירים 1"
"discoverVillage-2-title","פרשים סיירים 2"
"discoverVillage-3-title","פרשים סיירים 3"
"discoverVillage-4-title","פרשים סיירים 4"
"discoverVillage-1","מגלה מוצב קופים בקרבת מקום."
"pl-neophyte-title","טירון"
"pk-research-1-title","חוקר מתחיל"
"pk-research-1","מעלה את האיכות והערך של המחקרים שנוצרו."
"pk-research-2-title","חוקר מתקדם"
"pk-research-3-title","חוקר מקצועי"
