"fxt-village-human-name","Villaggio Umano"
"evt-village-pillage-action","Bottino e saccheggio"
"evt-village-huntSlaves-action","Caccia gli Umani"
"evt-village-evict-action","Spaventa la popolazione"
"evt-village-human-abandoned-action","[Dopo un sacco di intimidazioni e atteggiamenti, la popolazione locale è scappata via con quei pochi possedimenti che avevano|Abbiamo dato agli Umani un ultimatum per ritirarsi, che hanno accettato felicemente|Timorosi delle nostre minacce, gli Umani hanno rapidamente imballato i loro miseri averi e sono fuggiti]. I tuguri erano ora abbandonati."
"evt-village-human-abandoned-morning","[Stamattina, un inquietante silenzio è calato sui tuguri|Non si vedeva anima viva| Non si vedeva né sentiva nessuno stamattina], eravamo soli."
"it-slaves-name","Prigioniero Umano"
"it-slaves","Un Umano miserabile, catturato e legato per la gloria del Grande Impero delle Scimmie."
"pl-slaveCart-title","Gabbie"
"pl-slaveCart","Le gabbie, quando montate su un carrello di trasporto, consentono l'accatastamento di Umani in modo più efficiente con ogni miglioramento. Davvero una prodezza sorprendente dell'ingegnosità delle Scimmie!"
"st-slave-stacking-description-1","Una meraviglia della tecnologia delle Scimmie. Ti permette di trasportare un Umano per gabbia."
"st-slave-stacking-description-2","Una meraviglia della tecnologia delle Scimmie. Ti permette di trasportare due Umani per gabbia."
"st-slave-stacking-description-3","Una meraviglia della tecnologia delle Scimmie. Ti permette di trasportare tre Umani per gabbia."
"st-slave-stacking-description-4","Una meraviglia della tecnologia delle Scimmie. Ti permette di trasportare quattro Umani per gabbia."
"st-slave-stacking-1-title","Efficienza delle Scimmie 1"
"st-slave-stacking-2-title","Efficienza delle Scimmie 2
"
"st-slave-stacking-3-title","Efficienza delle Scimmie 3
"
"st-slave-stacking-4-title","Efficienza delle Scimmie 4
"
"evt-human-fight","
[Gli Umani, rendendosi conto delle tue intenzioni, si preparano a difendersi|Colti dalla paura della possibilità di essere schiavizzati, gli Umani afferrarono le armi che avevano e si schierarono davanti a noi|Gli Uomini e le donne della tribù rifiutarono di essere presi pacificamente]. Una lotta era inevitabile.
"
"evt-human-fight-action","Prendeteli vivi!"
"evt-human-fight-flee-action","Ritirata strategica"
"evt-human-fight-flee","Abbiamo deciso che questi particolari esemplari non valevano tale scocciatura e sono partiti per pascoli più verdi. Incoraggiati, ci hanno mandato un gruppo di cacciatori alle calcagna."
"evt-combat-loot-human-fight","[Abbiamo perlustrato la zona e preso qualcosa di valore con noi|Essendo vincitori, le ricompense ci appartenevano].
"
"pl-warlord-title","Il Signore della Guerra delle Scimmie "
"sp-ee-warlord","Un disonorato generale, Bruto, combatterà senza pietà per riconquistare il suo status agli occhi dell'Imperatore Scimmia.
"
"st-warlord-title","Presenza Dominante"
"pl-athena-title","La Grande Saggia"
"sp-ee-athena","Una saggia di intelligenza senza eguali, Athena, è specializzata nel preservare le armi delle epoche dimenticate.
"
"sp-ee-marcellus","Probabilmente la Scimmia più ricca e meglio equipaggiata, senza contare l'Imperatore Scimmia stesso."
"pl-marcellus-title","Il Principe Mercante"
"st-sage-title","Antico sapere."
"st-sage","L'abilità di preservare armi antiche."
"st-merchant-title","Il Principe Mercante"
