"fxt-village-human-name","인간의 마을"
"evt-village-pillage-action","습격하고 약탈한다"
"evt-village-huntSlaves-action","인간을 사냥한다"
"evt-village-evict-action","인간들을 쫒아낸다"
"evt-village-human-abandoned-action","[수많은 협박을 하고 허세를 부린 끝에, 지역 주민들은 얼마 안되는 소지품을 가지고 황급히 자리를 떠났다|우리들은 인간들에게 떠날 것을 주문하는 최후통첩을 보냈고, 그들은 기꺼이 받아들였다|우리들의 위협을 두려워한 인간들은 재빨리 그들의 보잘것 없는 소지품을 챙겨서 달아났다]. 오두막들은 이제 버려진 곳이 되었다."
"evt-village-human-abandoned-morning","[이날 아침 소름끼치는 침묵이 오두막들을 감쌌고|아무도 보이지 않았고|이날 아침 아무런 기척이나 소리도 나지 않았고], 우리들은 혼자였다."
"it-slaves-name","인간 포로"
"it-slaves","위대한 유인원 제국의 영광을 위해 포박된 불쌍한 인간입니다."
"pl-slaveCart-title","감옥"
"pl-slaveCart","운반 수레 위에 얹혀진 감옥은 개조를 할 때마다 더욱 효율적으로 인간들을 가둘 수 있습니다. 참으로 놀라운 유인원들의 독창성을 보여줍니다!"
"st-slave-stacking-description-1","유인원 기술의 경이로움입니다. 감옥 하나 당 한 명의 인간을 운반할 수 있습니다."
"st-slave-stacking-description-2","유인원 기술의 경이로움입니다. 감옥 하나 당 두 명의 인간을 운반할 수 있습니다."
"st-slave-stacking-description-3","유인원 기술의 경이로움입니다. 감옥 하나 당 세 명의 인간을 운반할 수 있습니다."
"st-slave-stacking-description-4","유인원 기술의 경이로움입니다. 감옥 하나 당 네 명의 인간을 운반할 수 있습니다."
"st-slave-stacking-1-title","유인원의 효율성 1"
"st-slave-stacking-2-title","유인원의 효율성 2"
"st-slave-stacking-3-title","유인원의 효율성 3"
"st-slave-stacking-4-title","유인원의 효율성 4"
"evt-human-fight","[The Humans, realizing your intent, made ready to defend themselves|Gripped with fear by the prospect of being enslaved, the Humans grabbed what weapons they had and arrayed themselves before us|The men and women of the tribe refused to be taken peacefully]. A fight was inevitable."
"evt-human-fight-action","산 채로 잡아오자!"
"evt-human-fight-flee-action","전략적 후퇴다!"
"evt-human-fight-flee","우리들은 이 종족과 싸울 가치가 없다고 결정했고 푸르른 초지에 피를 묻히지 않기로 했다. 이 결정이 그들을 대담하게 만들었는지, 그들은 우리들을 사냥하기 위한 추격조를 보냈다."
"evt-combat-loot-human-fight","[우리들은 근처를 수색해 가치있을 만한 것들을 모두 챙겼다|승리의 결과로 전리품들이 우리 앞에 놓여 있었다]."
"pl-warlord-title","유인원들의 전쟁군주"
"sp-ee-warlord","실각한 장군인 브루투스는 유인원 제국의 눈에 다시 들기 위해 무자비하게 싸울 것입니다."
"st-warlord-title","지배적인 존재"
"pl-athena-title","위대한 현자"
"sp-ee-athena","누구와도 견줄 수 없는 지식을 갖춘 현자로서, 아테나는 잊혀진 시대의 무기들을 보존하는 데 특화되어 있습니다."
"sp-ee-marcellus","유인원의 황제와도 견줄 수 있다고 자부하는, 가장 부유하고 잘 무장한 유인원입니다."
"pl-marcellus-title","교역의 왕자"
"st-sage-title","고대의 지식"
"st-sage","고대의 무기들을 보존하는 기술입니다."
"st-merchant-title","교역의 왕자"
"st-merchant","한 명의 추가 탐험대원을 보유할 수 있습니다."
"pl-bloodrider-title","핏빛기수"
"pl-bloodrider","핏빛기수들은 인간 사냥 및 정찰의 전문가들입니다. 그들 중 가장 유능한 자들만이 유인원 황제의 친위대에 가입할 수 있는 좁디 좁은 문턱을 넘을 기회를 가질 수 있습니다."
"discoverVillage-1-title","정찰기병 1"
"discoverVillage-2-title","정찰기병 2"
"discoverVillage-3-title","정찰기병 3"
"discoverVillage-4-title","정찰기병 4"
"discoverVillage-1","근처의 유인원 전초 기지를 보여줍니다."
"pl-neophyte-title","견습 사제"
"pk-research-1-title","견습 연구원"
"pk-research-1","완성된 연구의 질과 가치를 높여줍니다."
"pk-research-2-title","숙련된 연구원"
"pk-research-3-title","전문 연구원"
"pk-research-4-title","연구의 달인"
"pl-marauder-title","약탈자"
"pl-marauder","약탈자는 전투를 즐기며, 강력한 무공을 통해 동료 유인원들을 고무시킵니다."
"anm-warmount-title","전쟁마"
"anm-warmount","가장 거칠고, 사나운 동물로서, 오직 하나의 목적만을 위해 키워지고 훈련받았습니다. 바로 전쟁입니다."
"ruins-name","유적"
"evt-ruins-2-action","유적을 조사한다"
"evt-ruins-3","한 고대 유적이 우리 위쪽에 세워져 있었다. [몇 세기 동안 날씨가 휩쓸고 가는 바람에 유적은 위태위태한 상태로 놓여 있었다|유적은 마치 그간 지나간 세월과 같이 낡아 보였다|지나간 시간은 유적에게 상처를 남기고 있었다|시간은 한 때는 웅장했던 유적에게 세월의 상처를 남기고 있었다]. [고대 유적의 입구를 마주하기 위해서는 절벽을 _올라가야만_ 했다|유적으로 가는 유일한 방법은 _좁은_ _계단_ 하나 뿐이었다|나는 위쪽으로 올라갈 만한 지점을 찾는 데 성공했다. 우리들은 유적에 도달하기 위해 외벽을 타고 _올라가야만_ 했다]."
"evt-ruins-2","[거대한 구조물이 우리 앞에서 서서히 나타났다|오랫동안 유인원과 인간들 모두에게 잊혔던 고대 유적이 빛에 감싸여진 채 우리 앞에 서 있었다|우리 앞에 있는 유적은 경외심과 존중심을 모두 이끌어내고 있었다|우리들은 오랫동안 잊혀 있던 유적에 도착했다|우리들은 지난 세월 동안 버려져 있었던 것으로 보이는, 한 웅장한 유적에 도착했다]. [유적의 금속으로 이루어진 벽은 녹으로 뒤덮여 있었다|모든 식생이 태양을 향하면서 자라고 있었다|그것은 유적을 건축한 사람들의 힘을 보여주는 뚜렷한 증거와도 같았다]. [낮게 걸려있는 덩굴들이 안으로 들어가는 입구를 일부분 막고 있었다|웅장한 계단들이 거대한 정문을 향해 놓여져 있었다|안으로 들어가는 통로에서는 섬뜩한 한기가 스며 나왔다]."
"evt-ruins-actions-action","유적으로 들어간다"
"evt-ruins-enter","[우리는 작은 지하 보관소로 보이는 곳에 도착했다|우리 앞에 무언가 잊힌 보관소로 보이는 곳이 놓여 있었다|우리들은 잘 보존된 저장 구역에 조심스럽게 들어왔다]. [만일 이 지역에 고대 유물이 존재한다면, 우리들은 이곳에서 그것들을 찾을 수 있다는 것을 알 수 있었다|우리들은 녹으로 뒤덮여 있는 방을 조심스럽게 둘러보았다]. 우리들의 발소리는 보관소로 향해 움직일 때마다 울려 퍼졌다."
"evt-ruins-enter-action","보관소를 조사한다."
"evt-ruins-hint-ice","금속 벽을 만졌을 때 _차가운_ 느낌이 들었다. [아주 놀라운 일이지 않은가|이 현상에 대한 무언가 과학적인 설명 방법이 반드시 존재할 것이다|나는 이 금속이 열기에 내성을 가진 건지 아니면 무언가 다른 설명이 가능할 지 의문이 들었다]."
"evt-steal-animals-1","쓸만해 보이는 동물들이 우리 앞에 진열되어 있었다. 어떤 동물을 거래해야 할까?"
"evt-outpost-enter","[나는|우리들은|탐험대는|우리 탐험대는|우리 일행은] 한 전초 기지에 [도착했다|들어갔다|멈춰섰다]. 노예상과 궁정 주술사가 우리들을 환영해 주었다. [이곳은 더러웠고|이곳은 절망과 슬픔이 느껴지는 곳이었고|이곳에서는 인간의 사악함이 느껴지는 악취가 났고|이곳은 튼튼하지만 이동하기 편리하게 되어 있는 천막이였고|천막은 더러운 오물로 뒤덮여 있었고|구역질나는 악취를 풍기는 사람의 배설물 때문에 내 눈에서 눈물이 났고] [노예들로 차 있는 감옥들은 이곳 전체에 흩어져 있었다|감옥들이 모여진 곳은 겁먹은 수감자들로 차 있었다|몇 개의 커다란 감옥들은 다양한 종류의 사람들로 차 있었다]."
"it-policebaton-name","경찰봉"
"it-policebaton","인간을 두들겨 패는 데 매우 효과적인, 아주 견고한 막대기입니다."
"it-grenade-name","수류탄"
"it-grenade","인간에게 던지면 펑 소리를 내며 터지는 레몬 모양의 금속 상자입니다."
"it-banana-name","바나나"
"it-banana","신들의 영광스러운 음식으로, 유인원들의 신체활동을 놀라울 정도로 향상시킵니다. 인간이 먹기에는 적합하지 않습니다."
"zn-roamingNatives-name","인간 채집꾼"
"it-philosophersstone-name","현자의 돌"
