"fxt-village-human-name","Vila Humana"
"evt-village-pillage-action","Saquear e pilhar"
"evt-village-huntSlaves-action","Caçar os Humanos"
"evt-village-evict-action","Assustar a população"
"evt-village-human-abandoned-action","[Depois de muita intimidação e postura, a população fugiu com seus pertences|Demos um ultimato para os Humanos retirarem, e eles aceitaram de bom grado|Com medo de nossas ameaças, os Humanos rapidamente juntaram seus escassos pertences e fugiram]. Agora, os casebres foram abandonados."
"evt-village-human-abandoned-morning","[Um silêncio perturbador pairou sobre os casebres nesta manhã|Nenhuma alma podia ser vista|Nem vista nem som nesta manhã], estávamos sozinhos."
"it-slaves-name","Humano Aprisionado"
"it-slaves","Um Humano miserável, capturado e encarcerado para a glória do Grande Império Primata."
"pl-slaveCart-title","Gaiolas"
"pl-slaveCart","As gaiolas, quando montadas num carrinho de transporte, permitem o empilhamento de Humanos mais efetivamente a cada melhora. Realmente um feito incrível pela Engenhosidade Primata!"
"st-slave-stacking-description-1","Uma maravilha da tecnologia Primata. Permite que você transporte um humano por gaiola."
"st-slave-stacking-description-2","Uma maravilha da tecnologia Primata. Permite que você transporte dois humanos por gaiola."
"st-slave-stacking-description-3","Uma maravilha da tecnologia Primata. Permite que você transporte três humanos por gaiola."
"st-slave-stacking-description-4","Uma maravilha da tecnologia Primata. Permite que você transporte quatro humano por gaiola."
"st-slave-stacking-1-title","Eficiência Primata 1"
"st-slave-stacking-2-title","Eficiência Primata 2"
"st-slave-stacking-3-title","Eficiência Primata 3"
"st-slave-stacking-4-title","Eficiência Primata 4"
"evt-human-fight","[Os Humanos, ao entenderem suas intenções, prepararam-se para se defender|Com medo da possibilidade de serem escravizados, os Humanos pegaram as armas que tinham e se posicionaram diante de nós|Os homens e as mulheres da tribo se recusaram a serem levados pacificamente]. Uma luta era inevitável."
"evt-human-fight-action","Leve-os vivos!"
"evt-human-fight-flee-action","Retirada tática!"
"evt-human-fight-flee","Nós decidimos que aqueles espécimes em particular não eram dignos da perda de tempo e saímos à procura de pastos mais verdes. Encorajados, eles mandaram caçadores atrás de nós."
"evt-combat-loot-human-fight","[Exploramos a área e levamos conosco tudo de valor|Como saímos vitoriosos, os espólios pertenciam a nós]."
"pl-warlord-title","Senhor da guerra dos Primatas"
"sp-ee-warlord","Um general desonrado, Brutus vai lutar impiedosamente para reconquistar seu status aos olhos do Imperador Primata."
"st-warlord-title","Presença Dominadora"
"pl-athena-title","Grande Sábio"
"sp-ee-athena","Um sábio de intelecto incomparável, Athena se especializa em preservar armas das eras esquecidas."
"sp-ee-marcellus","Sem dúvida o Primata mais rico e bem equipado, além do próprio Imperador Primata."
"pl-marcellus-title","Príncipe Comerciante"
"st-sage-title","Conhecimento antigo."
"st-sage","A habilidade de preservar armas antigas."
"st-merchant-title","Príncipe Comerciante"
"st-merchant","Pode permitir que haja um membro adicional para as viagens."
"pl-bloodrider-title","Cavaleiro"
"pl-bloodrider","Cavaleiros são especialistas em pegar Humanos e experientes escoteiros. Os mais adeptos dentre eles têm uma pequena chance de associar-se à guarda pessoal do Imperador Primata."
"discoverVillage-1-title","Cavalaria Escoteira 1"
"discoverVillage-2-title","Cavalaria Escoteira 2"
"discoverVillage-3-title","Cavalaria Escoteira 3"
"discoverVillage-4-title","Cavalaria Escoteira 4"
"discoverVillage-1","Revela Postos Primata próximos."
"pl-neophyte-title","Neófito"
"pk-research-1-title","Pesquisador Iniciante"
"pk-research-1","Aumenta a quantidade e valor de estudos criados."
"pk-research-2-title","Pesquisador Avançado"
"pk-research-3-title","Pesquisador Profissional"
"pk-research-4-title","Pesquisador Mestre"
"pl-marauder-title","Larápio"
"pl-marauder","O Larápio se diverte em batalha, inspirando seus companheiros Primatas por meio de força inacreditável."
"anm-warmount-title","Montaria"
"anm-warmount","Os animais mais durões e rudes, criados e treinados com um propósito: Guerra."
"ruins-name","Ruinas"
"evt-ruins-2-action","Examinar ruinas"
"evt-ruins-3","Uma antiga ruína erguia-se a nossa frente. [Estava em terríveis condições devido ao inclemente castigo do clima durante séculos|Parecia tão antigo como o próprio tempo|O tempo tinha afetado severamente a estrutura|O tempo tinha corroído o que já havia sido uma visão majestosa]. [Teríamos que _escalar_ a estrutura para alcançar a entrada|O que havia restado de uma _escada estreita_ levava à única entrada|Eu conseguia avistar uma entrada na plataforma superior. Teríamos que _escalar_ as paredes exteriores para alcançá-la]."
"evt-ruins-2","[Uma estrutura enorme agigantava-se à nossa frente|Ruínas ancestrais, há muito esquecidas por Símios e Humanos, erguiam-se à nossa frente, banhadas em luz|A estrutura à nossa frente causava tanto medo quanto respeito|Nós chegamos à uma ruína há muito esquecida|Nós chegamos a um templo majestoso, aparentemente abandonado a eras]. [Suas paredes de metal estavam cobertas com uma camada de ferrugem|Todas os tipos de planta cresciam em direção ao sol|Era um testamento do poder de seus criadores]. [Vinhas baixas cobriam parcialmente a entrada que levava ao interior|Grandes escadas levavam a uma porta enorme|O portal que levava ao interior emitia um frio assustador]."
"evt-ruins-actions-action","Adentrar ruinas"
"evt-ruins-enter","[Nós chegamos ao que parecia ser um pequeno cofre subterrâneo|Perante a nós estava uma espécie de cofre esquecido|Entramos cuidadosamente em uma área de armazenamento bem preservada]. [Se este lugar tivesse algum artefato antigo, eu sabia que os encontraríamos aqui|Nós calmamente olhamos ao redor da câmara coberta de ferrugem]. Nossos passos ecoaram quando entramos no cofre."
"evt-ruins-enter-action","Investigar cofre"
"evt-ruins-hint-ice","O metal era _frio_ ao toque. [Que interessante|Deve ter alguma explicação científica para este fenômeno|Eu indaguei se teria se tornado de alguma forma resistente ao calor ou se tinha alguma outra explicação]."
"evt-steal-animals-1","Uma fila de animais adequados estava parada diante de nós. Devemos trocar por qual?"
"evt-outpost-enter","[Eu havia|Nós haviamos|A expedição havia|Nossa expedição havia|Nosso grupo havia] [chegado|entrado|parado] no posto avançado. Fomos recebidos por um traficante de escravos e um xamã da corte. [O lugar estava sujo|Era um lugar de desesperança e tristeza|O lugar exalava o lado escuro da humanidade|Era um acampamento bem seguro mas móvel|O acampamento estava cheio de imundície|Um fedor pungente de excremento humano trouxe lágrimas para os meus olhos] e [gaiolas cheias de escravos estavam espalhadas por toda a área|por ali havia uma coleção de gaiolas cheias de prisioneiros intimidados|várias gaiolas grandes estavam cheias de todo tipo de pessoas diferentes]."
"it-policebaton-name","Cassetete de Polícia"
"it-policebaton","Uma vara muito resistente, muito boa para espancar Humanos"
"it-grenade-name","Granada de Mão"
"it-grenade","Uma caixa de metal em forma de limão que faz BOOM se você jogá-la em Humanos."
"it-banana-name","Banana"
"it-banana","A gloriosa comida dos Deuses, algumas vezes leva Primatas a níveis incríveis de atividade física. Não adequada para consumo Humano."
"zn-roamingNatives-name","Forrageiras Humanas"
"it-philosophersstone-name","Pedra Filosofal"
"it-philosophersstone","A posse mais preciosa de Athena: Um artefato antigo de Clarividência."
"anm-warhog-title","Porco de Guerra"
"anm-warhog","Porcos de Guera dos Primatas são infames como bestas de caça ferozes. Alguns dizem que eles podem cheirar um Humano a um quilômetro de distância."
"pl-beastMaster-title","Mestre de Bestas"
"pl-beastMaster","Mestres de Bestas podem 'coagir' qualquer animal a superar suas limitações físicas. E eles nunca iriam a luta sem os seus confiáveis Porcos de Guerra, que eles criam desde o nascimento."
"evt-harbor-recruit-beastMasterWarhog-action","Mestre de Bestas e Porco de Guerra"
"evt-harbor-recruit-beastMasterWarhog-1","Nós poderíamos usar a ajuda do [Mestre de Bestas e do Porco de Guerra|manipulador experiente de animais e da leal besta|domador de animais e do fiel porco|dupla dinâmica|emparelhamento eficiente] e os acolhemos na nossa equipe."
"evt-steal-animals-action","Comprar animal de carga"
"evt-steal-animals","Pedimos ao posto avançado que nos fornecesse um animal de carga adequado."
"evt-village-steal-animal","[Nós exigimos um animal como tributo ao Grande Imperador Primata|Nós coagimos o escravista a nos fornecer um de seus animais|O escravista ficou impressionado o suficiente para nos conceder um animal|O animal que nos foi fornecido parecia ser o único animal digno que eles tinham|O traficante de escravos engoliu seu orgulho e cedeu às nossas demandas|O escravista estava claramente nos detestando por pegar um de seus animais]. Nós [chamamos|nomeamos|apelidamos|decidimos chamar] a besta de $name."
"it-whisky-ape-name","Aguardente de Banana"
"it-whisky-ape","Destilado de acordo com a Lei da Pureza dos Primatas, é uma bebida seriamente intensa. Não apta para consumo por Humanos."
"fxt-outpost-name","Posto Primata"
"evt-outpost-init-action","Entrar no Posto de Comércio Primata"
"evt-village-human-main-0","Os aldeões foram intimidados pela nossa presença. Os pais esconderam os filhos e o ancião da aldeia tremia."
"evt-village-human-main-1","Os Humanos olhavam para nós com temor. Eles sabiam que uma figura de grande poder estava na frente deles."
"evt-village-human-main-2","Os Humanos se aproximaram de nós com uma conduta cautelosa."
"evt-village-human-main-3","Os Humanos não pareciam nos temer muito. Seu comportamento era quase... rancoroso."
"evt-village-human-main-4","Os humanos eram hostis. Alguns deles estavam realmente se atrevendo a carregar armas em nossa presença."
"evt-expedition-done-WoA-1","Depois de [semanas de invasão|tal empreendimento|todo esse trabalho], [euforia|grande alegria|extraordinário orgulho|tremendo alívio] tomou conta de mim. Eu sabia que [meu|este|o] nome $name [seria para sempre lembrado|não seria esquecido|seria sinônimo de vitória|seria escrito por muito tempo depois que eu partisse dessa vida|seria respeitado na corte Imperial|faria parte nos anais da história Primata]."
"evt-goal-explore-WoA-finish","[A majestosa Cidade Dourada elevou-se acima de seu ambiente|A Cidade Dourada pairou acima de todos|Finalmente chegamos à Cidade Dourada|A paisagem exótica complementou a extraordinária Cidade Dourada|Uma maravilha da arquitetura Primata, a Cidade Dourada estava ao nosso alcance|Nosso destino final nos insultou com sua glória de ouro|A cidade de ouro nos acenou para a vitória|O objetivo nos foi apresentado na forma de uma cidade feita de ouro|Lá estava a Cidade Dourada, um pináculo da engenharia Primata]."
"evt-expedition-done-WoA-action-1","[Glória aos Primatas!|Honra!|Pelo Imperador!|Pela Fama e Glória!|Avante à História!|Fama ao Infinito!|Fortuna e Glória!]"
"evt-goldenCity-approach-action","Aproxime-se da Cidade Dourada"
"fxt-goldenCity-unearthed-name","Cidade Dourada do Império"
"evt-goal-explore-WoA-finish-action","Entrar na Cidade Dourada"
"zn-fleeingHumans-name","Humanos Fugitivos"
"evt-peaceful-enslavement-action","Exigir um tributo de cativos"
"evt-peaceful-enslavement-fail","Conforme decretado por nossas antigas tradições, declaramos uma Grande Caçada. Grande glória nos aguardava se tivéssemos sucesso. Os Humanos foram forçados a fugir para a natureza e lhes foi dado uma vantagem inicial... a caçada havia começado."
"evt-peaceful-enslavement-success","Os Humanos se submeteram à nossa vontade ao perceber que oferecer uma parte de sua comunidade para nós como tributo, era a melhor chance de liberdade para o resto. Nós rapidamente carregamos o tributo Humano em nossa carroça. O resto dos Humanos não conseguiam olhá-los nos olhos, pois a vergonha era grande demais."
"evt-forceful-enslavement-action","Chamada para uma gloriosa caçada"
"evt-village-huntSlaves","Nós julgamos os Humanos e decidimos que eles fariam um tributo digno para o Grande Imperador dos Primatas. Devemos seguir nossas antigas tradições e declarar uma Grande Caçada ou tentar submetê-los de uma maneira muito menos prestigiosa?"
"evt-peaceful-enslavement-fail-2","Eles viram através de nossas ameaças e mentiras e decidiram arriscar e se defender."
"evt-shrine-14-mod","Eu cheirei o ar. [Como uma casa pública|Como fezes pútridas|Cheiro fétido, como as favelas da Cidade Primata no verão]. Ou uma vala de estrada. Então eu vi os vapores, talos sujos de gavinhas pegajosas de fumo saindo de minúsculas fissuras no chão."
"evt-buy-moonstone-title","Comprar Pedra Lunar"
"evt-buy-moonstone","Convencemos o posto avançado a nos vender o tributo necessário para entrar na Cidade Dourada local."
