"fxt-village-human-name","Деревня людей"
"evt-village-pillage-action","Грабить и мародерствовать"
"evt-village-huntSlaves-action","Охотиться на людей"
"evt-village-evict-action","Напугать население"
"evt-village-human-abandoned-action","[После долгого запугивания, человечишки в панике бежали прихватив свои жалкие пожитки|Мы поставили человекам ультиматум, чтобы они убирались. Те с радостью согласились. |Испугавшись наших угроз, человеки быстро собрали свои скудные пожитки и убежали]. Отныне их лачуги заброшены."
"evt-village-human-abandoned-morning","[Зловещая тишина висела над хижинами сегодня утром|Не было видно ни души|Ни слуху ни духу, этим утром], мы были одни."
"it-slaves-name","Пленный человек"
"it-slaves","Убогий человечишка. Пойман и скован во славу Великой Обезьяньей Империи."
"pl-slaveCart-title","Клетки"
"pl-slaveCart","Клетка, установленная на телеге, позволяет перевозить всё больше человеков с каждым улучшением. Поистине удивительна изобретательность обезьян!"
"st-slave-stacking-description-1","Прекрасный образчик обезьяньих технологий. Позволяет перевозить одного человека в клетке."
"st-slave-stacking-description-2","Удивительный пример обезьяньих технологий. Позволяет перевозить двух человеков в клетке."
"st-slave-stacking-description-3","Удивительная демонстрация обезьяньих технологий. Позволяет перевозить трёх человеков в клетке."
"st-slave-stacking-description-4","Дивный образчик обезьяньих технологий. Позволяет перевозить в клетке сразу четырёх человеков."
"st-slave-stacking-1-title","Обезьянья эффективность I"
"st-slave-stacking-2-title","Обезьянья эффективность II"
"st-slave-stacking-3-title","Обезьянья эффективность III"
"st-slave-stacking-4-title","Обезьянья эффективность IV"
"evt-human-fight","[Человеки, понимая ваши намерения, приготовились защищаться|Охваченные страхом порабощения, человеки схватились за оружие и выступили против нас|Мужчины и женщины племени отказались сдаваться]. Битва неизбежна."
"evt-human-fight-action","Брать живьём!"
"evt-human-fight-flee-action","Тактическое отступление!"
"evt-human-fight-flee","Мы решили, что эти образцы нам ни к чему, и ушли на более богатые пастбища. Осмелев, они отправили за нами группу охотников."
"evt-combat-loot-human-fight","[Мы обыскали местность, и забрали всё ценное с собой|Добыча принадлежит победителю]."
"pl-warlord-title","Военачальник обезьян"
"sp-ee-warlord","Опальный генерал Брут станет безжалостно бороться, чтобы восстановить свой статус в глазах Императора Обезьян."
"st-warlord-title","Аура величия"
"pl-athena-title","Великий мудрец"
"sp-ee-athena","Афина удивительно мудра, и специализируется на сохранении оружия из забытых эпох."
"sp-ee-marcellus","Возможно самый богатый и роскошно одетый примат среди всех, не считая самого Императора Обезьян."
"pl-marcellus-title","Принц торговцев"
"st-sage-title","Древние знания."
"st-sage","Навык сохранения древнего оружия."
"st-merchant-title","Принц торговцев"
"st-merchant","Увеличивает количество свободных мест в экспедиции."
"pl-bloodrider-title","Кровный всадник"
"pl-bloodrider","Кровные всадники мастера ловли человеков и разведки. Наиболее выдающиеся имеют шанс послужить в личной гвардии Императора Обезьян."
"discoverVillage-1-title","Верховой разведчик I"
"discoverVillage-2-title","Верховой разведчик II"
"discoverVillage-3-title","Верховой разведчик III"
"discoverVillage-4-title","Верховой разведчик IV"
"discoverVillage-1","Показывает местоположение ближайших застав обезьян."
"pl-neophyte-title","Неофит"
"pk-research-1-title","Начинающий исследователь"
"pk-research-1","Увеличивает качество и ценность проведённых исследований."
"pk-research-2-title","Продвинутый исследователь"
"pk-research-3-title","Профессиональный исследователь"
"pk-research-4-title","Главный исследователь"
"pl-marauder-title","Мародёр"
"pl-marauder","Мародёр упивается битвой, вдохновляя других обезьян на великие подвиги."
"anm-warmount-title","Боевойконь"
"anm-warmount","Самые сильные и жестокие звери, созданные и тренированные для одной цели: Войны."
"ruins-name","Руины"
"evt-ruins-2-action","Исследовать руины"
"evt-ruins-3","Древние руины возвышались над нами. [Они были в ужасном состоянии, потому что стихии атаковали их столетиями|Они выглядели старыми как само время| Время не пожалело руины| Время и эррозия уничтожили то, что когда-то было величественным зрелищем]. [Нам пришлось _залезть_ на стену, чтобы добраться до выхода|Остатки _узких ступенек_ вели к единому входу|Вход виднелся на верхнем помосте. Нам нужно было _залезть_ на наружные стены, чтобы добраться до него]."
"evt-ruins-2","[A large structure loomed in front of us|Ancient ruins, long forgotten by Ape and Human alike, stood bathed in light before us|The structure before us warranted both fear and respect|We arrived at a long forgotten ruin|We arrived at a majestic ruin, seemingly an abandoned structure from ages past]. [Its metal walls were covered with a coat of rust|All manner of plant life grew towards the sun|It was a bold testament to the power of its creators]. [Low hanging vines partially concealed the entrance that led within|Grand stairs led up to an enormous doorway|The portal that led inside emitted an eerie chill]."
"evt-ruins-actions-action","Посетить руины"
"evt-ruins-enter","[We arrived at what seemed to be a small underground vault|Before us lay some kind of forgotten vault|We carefully entered a well-preserved storage area]. [If this place held any ancient artifacts, I knew we would find them here|We quietly looked around the rust-covered chamber]. Our steps echoed as we made our way into the vault."
"evt-ruins-enter-action","Осмотреть алтарь"
"evt-ruins-hint-ice","The metal was _cold_ to the touch. [How very interesting|There must be some scientific explanation for this phenomenon|I wondered if it somehow became resistant to warmth or if there was some other explanation]."
"evt-steal-animals-1","An array of suitable animals was paraded before us. Which one should we trade for?"
"evt-outpost-enter","[I|We|The trek|Our trek|Our group] [arrived|entered|stopped] at the outpost. We were greeted by a slaver and a court shaman. [The place was dirty|It was a place of hopelessness and sorrow|The place reeked of the dark side of humanity|It was a well-secured but mobile encampment|The camp was littered with filth|An acrid stench of human excrement brought tears to my eyes] and [cages filled with slaves were strewn throughout the area|comprised of a collection of cages filled with intimidated prisoners|several large cages were filled with all kinds of different people]."
"it-policebaton-name","Полицейская дубинка"
"it-policebaton","Очень прочная палка, такой удобно избивать человеков"
"it-grenade-name","Ручная граната"
"it-grenade","Коробочка из металла с виду похожая на лимон. Делает БА-БАХ, когда бросаешь её в человеков."
"it-banana-name","Банан"
"it-banana","Знаменитая пища богов, может сподвигнуть обезьян на невероятные подвиги. Не пригодна к употреблению для человеков."
"zn-roamingNatives-name","Фуражиры-люди"
"it-philosophersstone-name","Философский камень"
"it-philosophersstone","Главная ценность Афины: древний артефакт ясновидения."
"anm-warhog-title","Боевой свин"
"anm-warhog","Боевые свины печально известны как свирепые охотничьи звери. Некоторые говорят, что они могут учуять человека за несколько километров."
"pl-beastMaster-title","Повелитель зверей"
"pl-beastMaster","Повелители зверей могут заставить любое животное превышать свои физические возможности. И они никогда не ходят в поход без своего боевого кабана, которого они растят от рождения."
"evt-harbor-recruit-beastMasterWarhog-action","Повелитель зверей и боевой кабан"
"evt-harbor-recruit-beastMasterWarhog-1","We could use the help of the [Beast Master and the War Hog|experienced animal handler and the loyal beast|beast tamer and the faithful hog|dynamic duo|efficient pairing] and welcomed them to our team."
"evt-steal-animals-action","Купить стадное животное"
"evt-steal-animals","Мы попросили аванпост предоставить нам стадное животное."
"evt-village-steal-animal","[We demanded an animal as tribute to the Great Ape Emperor|We coerced the slaver to provide us with one of his animals|The slaver was impressed enough to grant us an animal|The animal provided to us appeared to be the only worthy stock they had|The slaver swallowed his pride and gave in to our demands|The slaver was clearly loathing us for taking one of his animals]. We [called|named|dubbed|decided to call] the beast $name."
"it-whisky-ape-name","Бананобрага"
"it-whisky-ape","Destilled according to the Ape Purity Law, this is some seriously intense stuff. Not fit for consumption by Humans."
"fxt-outpost-name","Аванпост обезьян"
"evt-outpost-init-action","Посетить торговый пост обезьян"
"evt-village-human-main-0","The villagers were cowed by our presence. Parents hid their children, and the village elder was trembling."
"evt-village-human-main-1","The Humans looked at us in awe. They knew that a figure of great power was standing in front of them."
"evt-village-human-main-2","The Humans approached us with a cautious demeanour."
"evt-village-human-main-3","The Humans did not seem to fear us very much. Their demeanour was almost...spiteful."
"evt-village-human-main-4","The Humans were hostile. Some of them were actually daring to carry weapons in our presence."
"evt-expedition-done-WoA-1","After [weeks of raiding|such an endeavour|all this work], [euphoria|great joy|extraordinary pride|tremendous relief] overcame me. I knew that [my|this|the] name $name [would be forever remembered|would not be forgotten|would be synonymous with victory|would be written about long after I departed this life|would be respected at the Imperial court|would go down in the annals of Ape history]."
"evt-goal-explore-WoA-finish","[The majestic Golden City rose above its environment|The Golden City loomed above one and all|We finally arrived at the Golden City|The exotic landscape complimented the extraordinary Golden City|A marvel of Ape architecture, the Golden City was ours to reach|Our final destination taunted us with its golden glory|The city of gold beckoned us to victory|The goal was presented to us in the form of a city made of gold|There was the Golden City, a pinnacle of Ape engineering]."
"evt-expedition-done-WoA-action-1","[Слава обезьянам!|За честь!|За Императора!|Слава и честь!|Это войдёт в историю!|Безграничная слава!|Слава и успех!|Хвала обезьянам!]"
"evt-goldenCity-approach-action","Достичь Золотого Города"
"fxt-goldenCity-unearthed-name","Золотой Город Империи"
"evt-goal-explore-WoA-finish-action","Посетить Золотой Город"
"zn-fleeingHumans-name","Убегающие человеки"
"evt-peaceful-enslavement-action","Demand a tribute of captives"
"evt-peaceful-enslavement-fail","As decreed by our ancient traditions, we declared a Great Hunt. Great glory awaited as if we succeeded. The Humans were forced to flee into the wild and given a head start...the hunt was on."
"evt-peaceful-enslavement-success","The Humans submitted to our will, realising that offering a part of their community to us as tribute was the best chance for freedom for the rest. We hastily packed the Human tribute into our cart. The rest of the Humans could not look them in the eye, for their shame was too great."
"evt-forceful-enslavement-action","Call for a glorious hunt"
"evt-village-huntSlaves","We sized up the Humans and decided that they would make a worthy tribute for the Great Ape Emperor. Should we follow our ancient traditions and declare a Great Hunt or try to submit them in a far less prestigious manner?"
"evt-peaceful-enslavement-fail-2","They could see through our threats and lies and decided to take their chances and and make a stand."
"evt-shrine-14-mod","I sniffed at the air. [Like a public house|Like putrid feces|Fetid stench, like Ape City slums in summer]. Or a roadside ditch. Then I saw the vapors, foul swathes of sickly fume tendrils rising out of tiny cracks in the floor."
"evt-buy-moonstone-title","Купить Лунный Камень"
"evt-buy-moonstone","We convinced the outpost to sell us the tribute necessary to enter the local Golden City."
"evt-stoneCircle-revealSlaver-action","Reveal outposts"
"evt-pacify-success","We managed to soothe their concerns with honeyed words. The mob backed down...for now."
"evt-pacify-action","Calm the mob down"
"evt-negotiate-success","After a passionate rhetorical masterpiece, the Humans were taken aback. The mob backed down...for now."
"evt-negotiate-action","Appeal to reason"
"evt-show-of-force-success","We arrayed ourselves in all our martial splendor, weapons on display. The mob backed down...for now."
"evt-show-of-force-action","Демонстрация силы"
"evt-seal-slaves-title","Tap into Human life force"
