"fxt-village-human-name","Людське село"
"evt-village-pillage-action","Грабувати і вбивати"
"evt-village-huntSlaves-action","Полювати на людей"
"evt-village-evict-action","Відлякувати населення"
"evt-village-human-abandoned-action","[Після довгого залякування і погроз місцеве населення розбіглося з тими невеликими пожитками, що мало|Ми поставили людям ультиматум, який вони з радістю прийняли|Налякані нашими погрозами, люди швиденько склали свої нікчемні пожитки і втекли]. Хатини тепер покинуті."
"evt-village-human-abandoned-morning","[Моторошна тиша нависла над хатинами цього ранку|Не було видно ні душі|Ні виду, ні звуку], ми були самі."
"it-slaves-name","Людина-невільник"
"it-slaves","Нещасна людина, схоплена і зв'язана на славу Великої Імперії Мавп."
"pl-slaveCart-title","Клітки"
"pl-slaveCart","Клітки, встановлені на транспортному возі, з кожним поліпшенням дають змогу перевозити більше людей. Справді дивовижна винахідливість мавп!"
"st-slave-stacking-description-1","Диво технології мавп. Дає змогу транспортувати в клітці одну людину."
"st-slave-stacking-description-2","Диво технології мавп. Дає змогу транспортувати в клітці дві людини."
"st-slave-stacking-description-3","Диво технології мавп. Дає змогу транспортувати в клітці три людини."
"st-slave-stacking-description-4","Диво технології мавп. Дає змогу транспортувати в клітці чотири людини."
"st-slave-stacking-1-title","Продуктивність мавп 1"
"st-slave-stacking-2-title","Продуктивність мавп 2"
"st-slave-stacking-3-title","Продуктивність мавп 3"
"st-slave-stacking-4-title","Продуктивність мавп 4"
"evt-human-fight","[Люди, розуміючи ваші наміри, приготувалися захищатися|Охоплені страхом стати рабами, люди схопили зброю і вишикувалися перед нами|Чоловіки і жінки племені відмовилися здаватися мирно]. Битва була неминуча."
"evt-human-fight-action","Взяти їх живими!"
"evt-human-fight-flee-action","Тактичний відступ!"
"evt-human-fight-flee","Ми вирішили, що ці екземпляри не варті клопоту і пішли на на багатші пасовища. Набравшись хоробрості, вони послали за нами переслідувачів."
"evt-combat-loot-human-fight","[Ми обшукали територію і забрали все цінне з собою|Ми перемогли, уся здобич наша]."
"pl-warlord-title","Полководець мавп"
"sp-ee-warlord","Знеславлений генерал Брутус битиметься нещадно, щоб відновити свій статус в очах імператора мавп."
"st-warlord-title","Присутність величі"
"pl-athena-title","Великий мудрець"
"sp-ee-athena","Атена має неперевершений інтелект та спеціалізується на збереженні зброї забутих часів."
"sp-ee-marcellus","Можливо, найбагатша і найкраще споряджена мавпа, якщо не враховувати самого імператора мавп."
"pl-marcellus-title","Купецький князь"
"st-sage-title","Стародавні знання."
"st-sage","Уміння зберігати старовинну зброю."
"st-merchant-title","Купецький князь"
"st-merchant","Може дозволити собі одного додаткового члена групи."
"pl-bloodrider-title","Винюхувач"
"pl-bloodrider","Винюхувачі досвідчені у ловлі і вистежуванні людей. Найвправніші з них мають можливість потрапити до особистої охорони Імператора мавп."
"discoverVillage-1-title","Розвідницька кіннота 1"
"discoverVillage-2-title","Розвідницька кіннота 2"
"discoverVillage-3-title","Розвідницька кіннота 3"
"discoverVillage-4-title","Розвідницька кіннота 4"
"discoverVillage-1","Показує ближні застави мавп."
"pl-neophyte-title","Неофіт"
"pk-research-1-title","Дослідник-початківець"
"pk-research-1","Підвищує якість і цінність проведених досліджень."
"pk-research-2-title","Досвідчений дослідник"
"pk-research-3-title","Дослідник-професіонал"
"pk-research-4-title","Майстер-дослідник"
"pl-marauder-title","Мародер"
"pl-marauder","Мародер насолоджується битвою, надихаючи своїх побратимів-мавп на подвиги."
"anm-warmount-title","Бойовий кінь"
"anm-warmount","Найсильніші, і найжорстокіші тварини, створені і натреновані для одної мети: війни."
"ruins-name","Руїни"
"evt-ruins-2-action","Обстежити руїни"
"evt-ruins-3","Стародавня руїна височіла над нами. [Вона була в жахливому стані, оскільки стихії атакували її століттями|На вигляд вона була стара як сам світ|Час не пошкодував споруди|Час знищив те, що колись було величним місцем]. [Нам довелося _вилізти_ на стіну, щоби дістатися входу|Залишки _вузьких сходів_ вели до єдиного входу|Вхід виднівся на верхньому помості. Нам потрібно було _вилізти_ на зовнішні стіни, щоб дістатися до нього]."
"evt-ruins-2","[Велика споруда постала перед нашими очима|Старовинні руїни, давно забуті людством, стояли залиті світлом перед нами|Споруда перед нами вселяв і страх, і повагу|Ми прибули до давно забутих руїн|Ми прибули до величних руїн, які, схоже, були покинутою спорудою з минулих століть]. [Її металеві стіни вкрилися іржею|Геть усякі рослини тягнулися стінами до сонця|Це було яскравим свідченням могутності його творців]. [Лоза провисала донизу, частково прикриваючи вхід усередину|Широкі сходи вели до величезних дверей|Від входу всередину віяло моторошною прохолодою]."
"evt-ruins-actions-action","Увійти в руїни"
"evt-ruins-enter","Ми прийшли до чогось схожого на невелике підземне сховище|Перед нами було щось типу забутого сховища|Ми обережно увійшли у добре збережене сховище]. [Якщо в цьому місці були якісь старовинні артефакти, я знав, що ми знайдемо їх тут|Ми тихо оглянули кімнату покриту іржею]. Наші кроки відлунювалися, коли ми пробиралися до сховища."
"evt-ruins-enter-action","Оглянути сховище"
"evt-ruins-hint-ice","Метал був_холодний_на дотик. [Як цікаво|Мусить бути якесь наукове пояснення цього явища|Мені цікаво чи він якимось чином став стійким до тепла, чи є якесь інше пояснення]."
"evt-steal-animals-1","Перед нами марширувало безліч гідних тварин. Яку з них нам обміняти?"
"evt-outpost-enter","[Я|Ми|Похід|Наш похід|Наш гурт] [прибув до|увійшов до|зупинився біля] аванпосту. Нас привітав работорговець і придворний шаман. [Це місце було брудним|Це було місце безнадії та смутку|Це місце відображало темну сторону людства|Це був добре захищений але пересувний табір|Табір було захаращено всілякою мерзотою|від їдкого смороду людських екскрементів сльозилися очі] і [скрізь були розкидані клітки, заповнені рабами|повсюди виднілись клітки заповнені переляканими рабами|кілька кліток були заповнені найрізноманітнішими людьми]."
"it-policebaton-name","Поліцейський кийок"
"it-policebaton","Дуже міцна палка, нею добре бити людей"
"it-grenade-name","Ручна граната"
"it-grenade","Металева коробочка у формі лимона, яка робить БА-БАХ, якщо кинути її в людей."
"it-banana-name","Банан"
"it-banana","Славетна їжа богів, завдяки якій мавпи можуть піти на неймовірні подвиги. Не придатна для людей."
"zn-roamingNatives-name","Людські вісники"
"it-philosophersstone-name","Філософський камінь"
"it-philosophersstone","Найбільша цінність Атени: старовинний артефакт ясновидіння."
"anm-warhog-title","Бойовий кабан"
