"fxt-village-human-name","Làng của loài người"
"evt-village-pillage-action","Nhặt và cướp đồ"
"evt-village-huntSlaves-action","Săn người"
"evt-village-evict-action","Đe dọa, xua đuổi dân làng"
"evt-village-human-abandoned-action","[Sau rất nhiều mối đe dọa và nhiều lần bị đánh động, dân chúng địa phương đã đánh lừa chúng với những đồ vật nhỏ mà họ có| Chúng tôi đã đưa ra tối hậu thư cho dân làng để họ vui vẻ chấp nhận rút lui|Sợ hãi các mối đe dọa của chúng tôi, con người nhanh chóng đóng gói đồ đạc ít ỏi của họ và chạy trốn]. Các túp lều tồi tàn bây giờ đều bị bỏ hoang."
"evt-village-human-abandoned-morning","[Sáng nay, một sự im lặng đáng sợ đã bao trùm tất thảy những căn lều này|Không một linh hồn nào lảng vảng xung quanh|Vào sáng nay, không có bất kỳ thanh âm hay hình ảnh nào hiện diện trong làng], chỉ có mình chúng tôi."
"it-slaves-name","Bắt giữ người"
"it-slaves","Vì sự phồn vinh của đế chế Ape vĩ đại, chúng tôi sẽ bắt giữ một người nghèo khổ để hiến tế."
"pl-slaveCart-title","Những cái lồng giam giữ"
"pl-slaveCart","Chúng tôi gắn những chiếc lồng giam giữ trên một chiếc xe tải để có thể xếp thêm người một cách hiệu quả hơn sau mỗi lần nâng cấp. Đây thật sự là một sự kỳ công đáng kinh ngạc của các Ape khéo léo!"
"st-slave-stacking-description-1","Một điều tuyệt vời của công nghệ Ape là cho phép bạn vận chuyển một người trong một lồng."
"st-slave-stacking-description-2","Một điều tuyệt vời của công nghệ Ape là cho phép bạn vận chuyển hai người trong một lồng."
"st-slave-stacking-description-3","Một điều tuyệt vời của công nghệ Ape là cho phép bạn vận chuyển ba người trong một lồng."
"st-slave-stacking-description-4","Một điều tuyệt vời của công nghệ Ape là cho phép bạn vận chuyển bốn người trong một lồng."
"st-slave-stacking-1-title","Tính hiệu quả của công nghệ Ape 1"
"st-slave-stacking-2-title","Tính hiệu quả của công nghệ Ape 2"
"st-slave-stacking-3-title","Tính hiệu quả của công nghệ Ape 3"
"st-slave-stacking-4-title","Tính hiệu quả của công nghệ Ape 4"
"evt-human-fight","[Con người, nhận ra ý định của bạn, đã sẵn sàng tự bảo vệ bản thân họ] Bị lo sợ bởi viễn cảnh bị bắt làm nô lệ, loài người nắm lấy vũ khí mà họ có và tập trung tất cả trước chúng ta | Những người đàn ông và phụ nữ của bộ lạc chống cự một cách nhẹ nhàng việc bị bắt đi]. Một cuộc chiến là không thể tránh khỏi."
"evt-human-fight-action","Hãy bắt sống chúng!"
"evt-human-fight-flee-action","Chiến thuật rút lui!"
"evt-human-fight-flee","Chúng tôi quyết định rằng những mẫu vật đặc biệt này không đáng để gặp rắc rối và để lại cho bọn lính mới. Được khuyến lệ và tin tưởng, đám lính mới đã chiêu đã chúng tôi một bữa tiệc săn bắt thịnh soạn ngay sau đó."
"evt-combat-loot-human-fight","[Chúng tôi đã tìm kiếm toàn khu vực và lấy bất cứ thứ gì có giá trị với chúng tôi|Khi chiến thắng thì những chiến lợi phẩm thuộc về chúng tôi]."
"pl-warlord-title","Chúa tể của Loài Apes"
"sp-ee-warlord","Khi bị mất danh dự, tướng quân Brutus sẽ chiến đấu mạnh mẽ quyết liệt để lấy lại vị thế của mình trong mắt Hoàng đế Ape."
"st-warlord-title","Xuất hiện sự thống trị"
"pl-athena-title","Nhà hiền triết vĩ đại"
"sp-ee-athena","Athena là một nhà hiền triết có trí tuệ vô song, chuyên gia thu thập các vũ khí cổ xưa của thời kỳ bị quên lãng."
"sp-ee-marcellus","Có thể cho rằng ngoài bản thân Hoàng đế Ape thì nhà hiền triết vĩ đại là Ape giàu có và được trang bị tốt nhất."
"pl-marcellus-title","Hoàng tử thương gia"
"st-sage-title","Nguồn kiến thức cổ xưa."
"st-sage","Các kỹ năng để bảo vệ những vũ khí cổ xưa."
"st-merchant-title","Hoàng tử thương gia"
"st-merchant","Có khả năng bổ sung thêm một thành viên."
"pl-bloodrider-title","Huyết binh phong"
"pl-bloodrider","Các huyết binh phong là chuyên gia bắt người và đi trinh sát. Người giỏi nhất trong số họ có một cơ hội nhỏ để tham gia hộ tống cá nhân cho Hoàng đế Ape."
"discoverVillage-1-title","Kỵ binh trinh sát 1"
"discoverVillage-2-title","Kỵ binh trinh sát 2"
"discoverVillage-3-title","Kỵ binh trinh sát 3"
"discoverVillage-4-title","Kỵ binh trinh sát 4"
"discoverVillage-1","Tìm ra các trạm mốc của Ape gần đó."
"pl-neophyte-title","Tân binh"
"pk-research-1-title","Nhà nghiên cứu mới tham gia"
"pk-research-1","Tăng chất lượng và số lượng các bài nghiên cứu."
"pk-research-2-title","Nhà nghiên cứu cao cấp"
"pk-research-3-title","Chuyên gia nghiên cứu"
"pk-research-4-title","Thạc sỹ nghiên cứu"
"pl-marauder-title","Động vật ăn thịt"
"pl-marauder","Các động vật ăn thịt liên quan đến trận chiến như một lễ hội, và thông qua sức mạnh để truyền cảm hứng cho đồng minh trong cộng đồng Ape."
"anm-warmount-title","Trận chiến"
"anm-warmount","Những con vật mạnh nhất, tàn nhẫn nhất, được lai tạo và huấn luyện cho một mục đích duy nhất: Chiến tranh."
"ruins-name","Những tàn tích"
"evt-ruins-2-action","Kiểm tra những tàn tích"
"evt-ruins-3","Một tàn tích cổ đại hiện lên trước mắt chúng ta. [Nó hiện hữu trong một điều kiện thật tồi tệ, thời tiết đã làm phai mòn nó suốt hàng thế kỷ qua|Sự cổ kính của nó thể hiện dấu hiệu thời gian|Thời gian đã in hằn dấu vết lên kiến trúc|Thời gian đã làm phai mòn những cảnh tượng một thời kỳ vĩ]. [Có một ai đó đã muốn đột nhập từ bên ngoài bờ mặt_để tiếp cận lối vào| Tôi có thể tạo một lối vào từ phần sàn trên cao. Chúng tôi phải_trèo lên_từ tường ngoài sảnh để tiếp cận di tích này]."
"evt-ruins-2","[Một tòa nhà lớn xuất hiện lờ mờ trước mắt chúng tôi|Một di tích cổ xưa đã bị quên lãng bởi con người và Ape, đang đứng sừng sững trước mắt chúng tôi, đắm mình trong những ánh nắng rực rỡ|Chúng tôi cảm thấy vừa sợ hãi vừa trân trọng tòa nhà trước mắt|Chúng tôi tiến đến một tàn tích khác đã bị lãng quên trong thời gian dài|Chúng tôi tiếp cận một tòa kiến trúc thật hùng vĩ, dường như là bị bỏ hoang từ trong quá khứ]. [Các bức tường kim loại của nó được phủ một lớp gỉ sét|Tất cả các dạng thực vật đều phát triển hướng về phía ánh nắng mặt trời|Đó là một minh chứng mạnh mẽ cho sự kì diệu của Tạo hóa]. [Các cây dây leo tầm thấp hầu như bao phủ khắp lối vào| Cầu thang lớn dẫn đến một cánh cửa khổng lồ|Cổng dẫn vào bên trong đem đến một luồng khí lạnh kì lạ]."
"evt-ruins-actions-action","Bước vào khu tàn tích"
"evt-ruins-enter","[Chúng tôi đã đến nơi có vẻ là một hầm nhỏ dưới lòng đất|Trước mắt chúng tôi hiện ra một số loại hầm bị quên lãng|Chúng tôi cẩn thận bước vào một khu nhà kho được bảo quản tốt]. [Nếu nơi này giữ bất kỳ hiện vật cổ đại nào, tôi biết chúng tôi sẽ tìm thấy chúng ở đây|Chúng tôi lặng lẽ nhìn quanh căn phòng phủ đầy gỉ sắt]. Chúng tôi bước vào hầm và mỗi bước chân của chúng tôi đều có tiếng vọng lại."
"evt-ruins-enter-action","Khám phá khu hầm"
"evt-ruins-hint-ice","Kim loại này_rất lạnh_khi chạm vào. [Thật thú vị làm sao|Phải có lý thuyết khoa học nào đó có thể giải thích được hiện tượng này|Tôi tự hỏi liệu nó có phải là một thứ gì đó chống nhiệt hay liệu có một lý thuyết nào khác giải thích cho điều này]."
"evt-steal-animals-1","Trước mắt chúng tôi bày ra một loạt các loại động vật phù hợp. Chúng tôi nên giao dịch loại nào?"
"evt-outpost-enter","[Tôi|Chúng tôi|Chuyến thám thiểm|Chuyến thám hiểm của chúng tôi|Nhóm của chúng tôi] [đã đến|đã bước vào|đã dừng lại] tại đồn trạm. Chúng tôi đã được chào đón bởi một nô lệ và một pháp sư tòa án. [Nơi này bẩn thỉu] Đây là vùng đất tuyệt vọng và đau khổ|Đây là nơi mà mặt tối của bản chất con người đang hoành hành|Đây là một trại di động phòng thủ|Trại phủ đầy rác rưởi|Mùi hôi thối của con người sặc nồng mắt chúng tôi] và [lồng đầy nô lệ rải rác khắp khu vực|bao gồm cả một bộ sưu tập những chiếc lồng chứa những kẻ nô lệ đang bị đe dọa|một số lồng lớn chứa tất cả các thể loại người khác nhau]."
"it-policebaton-name","Dùi cui cảnh sát"
"it-policebaton","Một thanh rất chắc chắn, thực sự tốt trong việc đánh đập Con người"
"it-grenade-name","Lựu đạn tay"
"it-grenade","Một hộp kim loại nhỏ bằng quả chanh và sẽ phát nổ nếu bạn ném nó vào con người."
"it-banana-name","Chuối"
"it-banana","Là món ăn tuyệt vời của các vị thần, đôi khi có thể mang lại cho các Apes sức mạnh thể chất mạnh mẽ. Không thích hợp để dùng cho Con người."
"zn-roamingNatives-name","Những nhà sưu tầm con người"
"it-philosophersstone-name","Hòn đá của nhà triết học"
"it-philosophersstone","Tài sản quý giá nhất của Athena: Một hiện vật cổ xưa có khả năng nhìn thấu những điều vô hình."
"anm-warhog-title","Lợn chiến binh"
"anm-warhog","Những chú lợn chiến binh của các Ape là loài thú săn khốc liệt khét tiếng. Một số người nói rằng chúng có thể ngửi thấy con người từ một nơi cách xa cả cây số."
"pl-beastMaster-title","Tư lệnh của những con thú"
