"@authors","Maschinen-Mensch, Dennis Kogel, Luke Openshaw, Tristan Dahl"
"@vars","$he=he|she,$him=him|her,$his=his|her,$himself=himself|herself"

"name-consonants","bcdfghjklmnpqrstvwxyz"
"name-vowels","aeiou"
"act-barter-action","Barter"
"act-cancelTravel-action","Stop travel"
"act-endgame-action","Back to Main Menu"
"act-loot-action","See Items"
"act-mapShot-action","Save Screenshot"
"act-open-camp-action","Camp"
"act-report-action","See report"
"act-returnhome-action","Finish Expedition!"
"act-showStats-action","See map"
"act-stopRest-action","Stop resting"
"act-stopWait-action","Stop waiting"
"act-travel-action","Travel!"
"anm-camel-title","Camel"
"anm-camel","A stoic camel. Can carry many additional crates."
"anm-chasmosaurus-title","Chasmosaurus"
"anm-chasmosaurus","A large and rather slow herbivore dinosaur."
"anm-dog-hunting-title","Hunting dog"
"anm-dog-hunting","Man's best friend"
"anm-dog-husky-title","Husky"
"anm-dog-luis-name","Luis"
"anm-dog-luis-title","Scouting dog"
"anm-dog-luis","A small but witty dog. The loyal, four-legged companion of Tim Timster, the journalist."
"anm-dog-pug-title","Pug"
"anm-dog-pug","Kjellberg's best friend and secret therapist. Likes poetry and twerking."
"anm-donkey-title","Donkey"
"anm-donkey","Donkeys can carry many additional crates."
"anm-elephant-title","Elephant"
"anm-gorilla-title","Gorilla"
"anm-gorilla","A barely tamed gorilla. A wild animal and without the chains around its neck it would either flee or attack us on the spot."
"anm-hyena-title","Hyena"
"anm-hyena","A barely tamed hyena. A wild animal and without the chains around its neck it would either flee or attack us on the spot."
"anm-parasaurolophus-title","Parasaurolophus"
"anm-parasaurolophus","A usually very calm and friendly biped herbivore dinosaur known for its large, elaborate cranial crest."
"anm-raptor-title","Raptor"
"anm-raptor","A very intelligent but highly aggressive carnivore dinosaur."
"anm-tiger-battle-title","Battle Tiger"
"anm-tiger-battle","A barely tamed battle tiger. A wild animal and without the chains around its neck it would either flee or attack us on the spot."
"anm-tiger-title","Tiger"
"anm-tiger-white-title","White Tiger"
"anm-sabertooth-title","Sabertooth tiger"
"anm-tiger-white","A barely tamed, white tiger. A wild animal and without the chains around its neck it would either flee or attack us on the spot."
"anm-tiger","A barely tamed tiger. A wild animal and without the chains around its neck it would either flee or attack us on the spot."
"anm-tortoise-title","Giant Tortoise"
"anm-tortoise","A really large tortoise. Can carry many additional crates."
"anm-waterBuffalo-title","Water Buffalo"
"anm-waterBuffalo","A Water Buffalo. Can carry many crates."
"attack-loki-name-1","Loki's Stable Beam"
"attack-loki-name-2","Loki's Defensive Beam"
"attack-loki-name","Loki's Alternating Beam"
"attack-name-10","Punctuation"
"attack-name-11","Ripper Leap"
"attack-name-12","Flank"
"attack-name-13","Defend"
"attack-name-14","Strong Defense"
"attack-name-15","Maximum Defense"
"attack-name-16","Stable Position"
"attack-name-17","Tactical Advantage"
"attack-name-18","Evade"
"attack-name-19","Defensive Manoeuver"
"attack-name-1","Double Attack"
"attack-name-20","Outstanding Tactics"
"attack-name-21","Observation"
"attack-name-22","Lookout"
"attack-name-23","Feint"
"attack-name-24","Quick Shot"
"attack-name-26","Shotgun Blast"
"attack-name-27","Shotgun Powerblast"
"attack-name-28","Point Blank"
"attack-name-29","Stable Shot"
"attack-name-2","Triple Attack"
"attack-name-30","Stopping Shot"
"attack-name-31","Bullet Wall"
"attack-name-32","Headshot"
"attack-name-33","Aimed Shot"
"attack-name-34","Planned Shot"
"attack-name-35","Masterful Shot"
"attack-name-36","Whip Crack"
"attack-name-37","Shackling Whip"
"attack-name-38","Cutting Whip"
"attack-name-39","Rite of Healing"
"attack-name-3","Riposte"
"attack-name-40","Rite of Unity"
"attack-name-41","Curse of Poison"
"attack-name-42","Alternating Beam"
"attack-name-43","Stable Beam"
"attack-name-44","Defensive Beam"
"attack-name-45","Quick Discharge"
"attack-name-46","Spear Attack"
"attack-name-47","Spear Throw"
"attack-name-48","Spear Defense"
"attack-name-49","Power Spear"
"attack-name-4","Cutting Riposte"
"attack-name-50","Dynamite Explosion"
"attack-name-51","Precise Explosion"
"attack-name-52","Planned Explosion"
"attack-name-53","Claws"
"attack-name-54","Strong Claws"
"attack-name-55","Fierce Claws"
"attack-name-56","Fangs"
"attack-name-57","Smash"
"attack-name-58","Stomp"
"attack-name-59","Large Beak"
"attack-name-5","Shielded Riposte"
"attack-name-60","Small Beak"
"attack-name-61","Tail"
"attack-name-62","Hoof"
"attack-name-63","Ram"
"attack-name-64","Horns"
"attack-name-65","Shell"
"attack-name-66","Spider Fangs"
"attack-name-67","Piercing Legs"
"attack-name-68","Tentacle Whip"
"attack-name-69","Piercing Tentacle"
"attack-name-6","Deadly Riposte"
"attack-name-70","Poisonous Sting"
"attack-name-71","Poison"
"attack-name-72","Life Leech"
"attack-name-7","Headbutt"
"attack-name-8","Precise Attack"
"attack-name-9","Kick"
"attack-name","Attack"
"attack-name-taunt","Taunt"
